"slug","symbol","name","date","ranknow","open","high","low","close","volume","market","close_ratio","spread"
"ardor","ARDR","Ardor",2016-07-23,70,0.036725,0.03697,0.036284,0.03697,36,0,0.980000000000009,0
"ardor","ARDR","Ardor",2016-07-24,70,0.036912,0.042547,0.036834,0.042405,7,0,0.977368421052631,0.01
"ardor","ARDR","Ardor",2016-07-25,70,0.042403,0.042463,0.042117,0.042117,7,0,0,0
"ardor","ARDR","Ardor",2016-07-30,70,0.03925,0.039641,0.038929,0.039318,0,0,0.555714285714286,0
"ardor","ARDR","Ardor",2016-07-31,70,0.039315,0.039423,0.038534,0.039141,0,0,0.674444444444448,0
"ardor","ARDR","Ardor",2016-08-01,70,0.037433,0.037514,0.035419,0.035419,0,0,0,0
"ardor","ARDR","Ardor",2016-08-02,70,0.035507,0.035641,0.031106,0.032287,0,0,0.262444444444445,0
"ardor","ARDR","Ardor",2016-08-03,70,0.032245,0.033351,0.031617,0.033076,0,0,0.858235294117648,0
"ardor","ARDR","Ardor",2016-08-04,70,0.033073,0.033798,0.03303,0.033273,0,0,0.30375,0
"ardor","ARDR","Ardor",2016-08-05,70,0.03339,0.033551,0.032277,0.033272,1,0,0.765384615384618,0
"ardor","ARDR","Ardor",2016-08-06,70,0.033276,0.035706,0.033275,0.035297,0,0,0.842500000000001,0
"ardor","ARDR","Ardor",2016-08-25,70,0.027116,0.029172,0.026988,0.028799,0,0,0.823181818181818,0
"ardor","ARDR","Ardor",2016-08-26,70,0.028691,0.028778,0.028267,0.028746,0,0,0.958000000000001,0
"ardor","ARDR","Ardor",2016-08-29,70,0.036855,0.037547,0.033498,0.036526,28,0,0.757000000000001,0
"ardor","ARDR","Ardor",2016-08-30,70,0.03595,0.037836,0.031242,0.03165,24,0,0.0618181818181816,0.01
"ardor","ARDR","Ardor",2016-10-13,70,0.013997,0.034967,0.012198,0.033319,34708,0,0.926359649122807,0.02
"ardor","ARDR","Ardor",2016-10-14,70,0.033324,0.035909,0.018594,0.019724,75563,0,0.0653179190751445,0.02
"ardor","ARDR","Ardor",2016-10-15,70,0.019724,0.021981,0.016408,0.016771,87517,0,0.064821428571429,0.01
"ardor","ARDR","Ardor",2016-10-16,70,0.016774,0.01949,0.016222,0.018237,61577,0,0.61060606060606,0
"ardor","ARDR","Ardor",2016-10-17,70,0.018275,0.025507,0.016532,0.018939,1316410,18920251,0.267444444444444,0.01
"ardor","ARDR","Ardor",2016-10-18,70,0.019071,0.019249,0.015046,0.015436,281499,15420556,0.0928571428571428,0
"ardor","ARDR","Ardor",2016-10-19,70,0.015478,0.017306,0.015004,0.017017,203649,16999775,0.875217391304348,0
"ardor","ARDR","Ardor",2016-10-20,70,0.01702,0.017025,0.014863,0.015005,145587,14990187,0.0645454545454544,0
"ardor","ARDR","Ardor",2016-10-21,70,0.015028,0.015836,0.014276,0.014453,104878,14438740,0.110625,0
"ardor","ARDR","Ardor",2016-10-22,70,0.014333,0.014755,0.013484,0.013592,134767,13578601,0.0830769230769234,0
"ardor","ARDR","Ardor",2016-10-23,70,0.013587,0.014046,0.012053,0.012269,96601,12257124,0.108,0
"ardor","ARDR","Ardor",2016-10-24,70,0.012275,0.014628,0.012224,0.013997,118622,13982796,0.73875,0
"ardor","ARDR","Ardor",2016-10-25,70,0.013911,0.014547,0.012234,0.012234,82645,12222159,0,0
"ardor","ARDR","Ardor",2016-10-26,70,0.01253,0.013146,0.011117,0.012167,71104,12154427,0.525,0
"ardor","ARDR","Ardor",2016-10-27,70,0.012164,0.012388,0.010963,0.011682,76229,11670212,0.513571428571428,0
"ardor","ARDR","Ardor",2016-10-28,70,0.011661,0.011703,0.009899,0.010176,47068,10165719,0.153888888888889,0
"ardor","ARDR","Ardor",2016-10-29,70,0.010283,0.010464,0.008727,0.009032,69251,9022644,0.179411764705882,0
"ardor","ARDR","Ardor",2016-10-30,70,0.009029,0.010839,0.008368,0.009951,71488,9941514,0.6332,0
"ardor","ARDR","Ardor",2016-10-31,70,0.009941,0.011496,0.009349,0.009458,34148,9448467,0.0519047619047618,0
"ardor","ARDR","Ardor",2016-11-01,70,0.009452,0.010094,0.008928,0.009322,58375,9312783,0.328333333333334,0
"ardor","ARDR","Ardor",2016-11-02,70,0.009316,0.013097,0.00908,0.010626,99043,10615269,0.3865,0
"ardor","ARDR","Ardor",2016-11-03,70,0.010517,0.011665,0.009833,0.010276,42039,10265819,0.246111111111112,0
"ardor","ARDR","Ardor",2016-11-04,70,0.010149,0.011516,0.009811,0.011361,28405,11349433,0.911764705882353,0
"ardor","ARDR","Ardor",2016-11-05,70,0.011358,0.01152,0.010611,0.010844,25689,10832851,0.258888888888888,0
"ardor","ARDR","Ardor",2016-11-06,70,0.010846,0.011483,0.010526,0.010872,27665,10860923,0.345999999999999,0
"ardor","ARDR","Ardor",2016-11-07,70,0.010868,0.010921,0.009635,0.009876,18978,9866309,0.185384615384615,0
"ardor","ARDR","Ardor",2016-11-08,70,0.010018,0.010153,0.009681,0.009848,40719,9838607,0.334000000000001,0
"ardor","ARDR","Ardor",2016-11-09,70,0.009794,0.010191,0.009499,0.009958,28823,9948167,0.655714285714285,0
"ardor","ARDR","Ardor",2016-11-10,70,0.009965,0.010364,0.009965,0.01015,11367,10140344,0.462499999999998,0
"ardor","ARDR","Ardor",2016-11-11,70,0.010151,0.01063,0.009369,0.010211,28637,10201084,0.647692307692307,0
"ardor","ARDR","Ardor",2016-11-12,70,0.010211,0.01094,0.009893,0.010406,25928,10395789,0.513,0
