"slug","symbol","name","date","ranknow","open","high","low","close","volume","market","close_ratio","spread"
"bitcoin-cash","BCH","Bitcoin Cash",2017-07-23,6,555.89,578.97,411.78,413.06,85013,0,0.0076559602847062,167.19
"bitcoin-cash","BCH","Bitcoin Cash",2017-07-24,6,412.58,578.89,409.21,440.7,190952,0,0.185584629891561,169.68
"bitcoin-cash","BCH","Bitcoin Cash",2017-07-25,6,441.35,541.66,338.09,406.9,524908,0,0.338016407132682,203.57
"bitcoin-cash","BCH","Bitcoin Cash",2017-07-26,6,407.08,486.16,321.79,365.82,1784640,0,0.267871266046115,164.37
"bitcoin-cash","BCH","Bitcoin Cash",2017-07-27,6,417.1,460.97,367.78,385.48,533207,0,0.189934542332869,93.19
"bitcoin-cash","BCH","Bitcoin Cash",2017-07-28,6,386.65,465.18,217.06,406.05,1230160,0,0.761687892955022,248.12
"bitcoin-cash","BCH","Bitcoin Cash",2017-07-29,6,410.57,423.73,323.73,384.77,737815,0,0.6104,100
"bitcoin-cash","BCH","Bitcoin Cash",2017-07-30,6,385.14,385.14,316.25,345.66,606695,0,0.426912469153724,68.89
"bitcoin-cash","BCH","Bitcoin Cash",2017-07-31,6,346.36,347.83,266.19,294.46,1075960,0,0.346276335129838,81.64
"bitcoin-cash","BCH","Bitcoin Cash",2017-08-01,6,294.6,426.11,210.38,380.01,65988800,6263348571,0.786306957771288,215.73
"bitcoin-cash","BCH","Bitcoin Cash",2017-08-02,6,382.38,756.93,309.33,452.66,416207008,7460771889,0.320218945487042,447.6
"bitcoin-cash","BCH","Bitcoin Cash",2017-08-03,6,448.49,519.28,364.05,364.05,161518000,6000453014,0,155.23
"bitcoin-cash","BCH","Bitcoin Cash",2017-08-04,6,362.18,386.93,233.05,233.05,185038000,3841262261,0,153.88
"bitcoin-cash","BCH","Bitcoin Cash",2017-08-05,6,231.11,273.04,200.98,213.15,144043008,3513302001,0.168887038578962,72.06
"bitcoin-cash","BCH","Bitcoin Cash",2017-08-06,6,212.18,223.7,203.45,220.66,107606000,3637254889,0.849876543209877,20.25
"bitcoin-cash","BCH","Bitcoin Cash",2017-08-07,6,223.76,373.87,223.76,319.69,346545984,5270009227,0.639064685897009,150.11
"bitcoin-cash","BCH","Bitcoin Cash",2017-08-08,6,321.35,386.29,309.61,345.49,274880000,5695399910,0.4679186228482,76.68
"bitcoin-cash","BCH","Bitcoin Cash",2017-08-09,6,345.28,349.32,298.61,303.89,165032000,5010026797,0.104121475054229,50.71
"bitcoin-cash","BCH","Bitcoin Cash",2017-08-10,6,305.21,311.68,274.68,275.95,136636992,4549781986,0.0343243243243238,37
"bitcoin-cash","BCH","Bitcoin Cash",2017-08-11,6,275.88,351.16,275.02,328.24,233971008,5412173084,0.698975571315997,76.14
