"slug","symbol","name","date","ranknow","open","high","low","close","volume","market","close_ratio","spread"
"bytecoin-bcn","BCN","Bytecoin",2016-01-01,39,0.000031,0.000032,0.000028,0.000031,7178,5481033,Inf,0
"bytecoin-bcn","BCN","Bytecoin",2016-01-02,39,0.000031,0.000032,0.00003,0.000031,9892,5475438,Inf,0
"bytecoin-bcn","BCN","Bytecoin",2016-01-03,39,0.000031,0.000033,0.00003,0.000031,7362,5582986,Inf,0
"bytecoin-bcn","BCN","Bytecoin",2016-01-04,39,0.000032,0.000034,0.00003,0.000033,4896,5912480,Inf,0
"bytecoin-bcn","BCN","Bytecoin",2016-01-05,39,0.000033,0.000034,0.00003,0.000033,5243,5935866,Inf,0
"bytecoin-bcn","BCN","Bytecoin",2016-01-06,39,0.000033,0.000034,0.000031,0.000033,2398,5800610,Inf,0
"bytecoin-bcn","BCN","Bytecoin",2016-01-07,39,0.000033,0.000036,0.000032,0.000035,9922,6258182,Inf,0
"bytecoin-bcn","BCN","Bytecoin",2016-01-08,39,0.000035,0.000035,0.000031,0.000034,9013,6062805,Inf,0
"bytecoin-bcn","BCN","Bytecoin",2016-01-09,39,0.000034,0.000035,0.000032,0.000034,6492,5985230,Inf,0
"bytecoin-bcn","BCN","Bytecoin",2016-01-10,39,0.000034,0.000034,0.000032,0.000034,4199,5983200,Inf,0
"bytecoin-bcn","BCN","Bytecoin",2016-01-11,39,0.000033,0.000038,0.000032,0.000037,4292,6625943,Inf,0
"bytecoin-bcn","BCN","Bytecoin",2016-01-12,39,0.000037,0.000037,0.000033,0.000036,3914,6466533,Inf,0
"bytecoin-bcn","BCN","Bytecoin",2016-01-13,39,0.000036,0.000037,0.000032,0.000037,4471,6583075,Inf,0
"bytecoin-bcn","BCN","Bytecoin",2016-01-14,39,0.000037,0.000039,0.000036,0.000037,5345,6625914,Inf,0
"bytecoin-bcn","BCN","Bytecoin",2016-01-15,39,0.000037,0.000037,0.000031,0.000031,5988,5608403,0,0
"bytecoin-bcn","BCN","Bytecoin",2016-01-16,39,0.000031,0.000037,0.000031,0.000035,12334,6210508,Inf,0
"bytecoin-bcn","BCN","Bytecoin",2016-01-17,39,0.000035,0.000038,0.000032,0.000034,4012,6020024,Inf,0
"bytecoin-bcn","BCN","Bytecoin",2016-01-18,39,0.000034,0.000037,0.000033,0.000035,6359,6268057,Inf,0
"bytecoin-bcn","BCN","Bytecoin",2016-01-19,39,0.000035,0.000035,0.000032,0.000034,10724,5987593,Inf,0
"bytecoin-bcn","BCN","Bytecoin",2016-01-20,39,0.000033,0.000035,0.000032,0.000035,7117,6247040,Inf,0
"bytecoin-bcn","BCN","Bytecoin",2016-01-21,39,0.000035,0.000038,0.000034,0.000036,6821,6431043,Inf,0
"bytecoin-bcn","BCN","Bytecoin",2016-01-22,39,0.000036,0.000037,0.000033,0.000033,7400,5980152,0,0
"bytecoin-bcn","BCN","Bytecoin",2016-01-23,39,0.000034,0.000035,0.000032,0.000033,6053,5954022,Inf,0
"bytecoin-bcn","BCN","Bytecoin",2016-01-24,39,0.000033,0.000036,0.000032,0.000034,1566,6051215,Inf,0
"bytecoin-bcn","BCN","Bytecoin",2016-01-25,39,0.000034,0.000036,0.000032,0.000035,6386,6233781,Inf,0
"bytecoin-bcn","BCN","Bytecoin",2016-01-26,39,0.000034,0.000035,0.000028,0.000032,9206,5637265,Inf,0
"bytecoin-bcn","BCN","Bytecoin",2016-01-27,39,0.000031,0.000034,0.000028,0.000033,4265,5843149,Inf,0
"bytecoin-bcn","BCN","Bytecoin",2016-01-28,39,0.000032,0.000041,0.000031,0.000039,10068,6922407,Inf,0
"bytecoin-bcn","BCN","Bytecoin",2016-01-29,39,0.000039,0.000042,0.000035,0.000037,4314,6673833,Inf,0
"bytecoin-bcn","BCN","Bytecoin",2016-01-30,39,0.000037,0.000039,0.000036,0.000038,3841,6789823,Inf,0
"bytecoin-bcn","BCN","Bytecoin",2016-01-31,39,0.000038,0.000039,0.000032,0.000035,2346,6311425,Inf,0
"bytecoin-bcn","BCN","Bytecoin",2016-02-01,39,0.000035,0.000039,0.000035,0.000037,3917,6612668,Inf,0
"bytecoin-bcn","BCN","Bytecoin",2016-02-02,39,0.000037,0.000038,0.000036,0.000037,1468,6600733,Inf,0
"bytecoin-bcn","BCN","Bytecoin",2016-02-03,39,0.000037,0.000038,0.000035,0.000035,5500,6332593,0,0
"bytecoin-bcn","BCN","Bytecoin",2016-02-04,39,0.000036,0.000039,0.000035,0.000038,1440,6866047,Inf,0
"bytecoin-bcn","BCN","Bytecoin",2016-02-05,39,0.000038,0.000041,0.000037,0.00004,1543,7201627,Inf,0
"bytecoin-bcn","BCN","Bytecoin",2016-02-06,39,0.00004,0.00004,0.000035,0.000038,4860,6728153,Inf,0
"bytecoin-bcn","BCN","Bytecoin",2016-02-07,39,0.000038,0.000038,0.000035,0.000037,5116,6684806,Inf,0
"bytecoin-bcn","BCN","Bytecoin",2016-02-08,39,0.000037,0.00004,0.000037,0.000038,1080,6742560,Inf,0
"bytecoin-bcn","BCN","Bytecoin",2016-02-09,39,0.000038,0.00004,0.000037,0.000038,1550,6727206,Inf,0
"bytecoin-bcn","BCN","Bytecoin",2016-02-10,39,0.000038,0.000042,0.000038,0.000041,14344,7357018,Inf,0
"bytecoin-bcn","BCN","Bytecoin",2016-02-11,39,0.000041,0.000042,0.000037,0.000038,17411,6844163,Inf,0
"bytecoin-bcn","BCN","Bytecoin",2016-02-12,39,0.000038,0.000044,0.000037,0.000043,17833,7706791,Inf,0
"bytecoin-bcn","BCN","Bytecoin",2016-02-13,39,0.000043,0.000044,0.00004,0.000042,10994,7597879,Inf,0
"bytecoin-bcn","BCN","Bytecoin",2016-02-14,39,0.000043,0.000044,0.000041,0.000042,9792,7599996,Inf,0
"bytecoin-bcn","BCN","Bytecoin",2016-02-15,39,0.000042,0.000045,0.000035,0.000044,17588,7959902,Inf,0
"bytecoin-bcn","BCN","Bytecoin",2016-02-16,39,0.000044,0.000045,0.00004,0.000042,12192,7553368,Inf,0
"bytecoin-bcn","BCN","Bytecoin",2016-02-17,39,0.000042,0.000043,0.000038,0.000038,12150,6791141,0,0
