"slug","symbol","name","date","ranknow","open","high","low","close","volume","market","close_ratio","spread"
"bibox-token","BIX","Bibox Token",2017-12-24,177,0.569167,0.608587,0.569167,0.608587,5272610,0,1.0005076142132,0.04
"bibox-token","BIX","Bibox Token",2017-12-25,177,0.614027,0.62696,0.496308,0.57006,1682620,0,0.564284621270084,0.13
"bibox-token","BIX","Bibox Token",2017-12-26,177,0.570051,0.619536,0.462793,0.525915,2831540,0,0.402820676451819,0.16
"bibox-token","BIX","Bibox Token",2017-12-27,177,0.526717,0.607843,0.509767,0.604785,14102900,0,0.968583078491336,0.1
"bibox-token","BIX","Bibox Token",2017-12-28,177,0.603686,0.735428,0.558821,0.708143,24169800,0,0.845537938844847,0.18
"bibox-token","BIX","Bibox Token",2017-12-29,177,0.715784,0.743599,0.643214,0.685234,20199600,0,0.418525896414343,0.1
"bibox-token","BIX","Bibox Token",2017-12-30,177,0.684535,0.714196,0.615003,0.66704,15719900,0,0.524566532258064,0.1
"bibox-token","BIX","Bibox Token",2017-12-31,177,0.666677,0.742572,0.657199,0.715081,17563900,0,0.677775175644028,0.09
"bibox-token","BIX","Bibox Token",2018-01-01,177,0.71533,0.756974,0.69069,0.714193,17108300,0,0.354494720965308,0.07
"bibox-token","BIX","Bibox Token",2018-01-02,177,0.714412,0.794145,0.675638,0.765985,15906100,0,0.762421940928271,0.12
"bibox-token","BIX","Bibox Token",2018-01-03,177,0.765901,0.781556,0.686892,0.694793,14126500,0,0.0834318901795147,0.09
"bibox-token","BIX","Bibox Token",2018-01-04,177,0.687338,0.724879,0.631016,0.686399,14027600,0,0.589808306709265,0.09
"bibox-token","BIX","Bibox Token",2018-01-05,177,0.689047,0.846097,0.677962,0.827313,20055600,0,0.888465199286139,0.17
"bibox-token","BIX","Bibox Token",2018-01-06,177,0.824638,1.47,0.81081,1.47,36580300,0,0.999984830097087,0.66
"bibox-token","BIX","Bibox Token",2018-01-07,177,1.48,4.08,1.35,3.32,34174200,0,0.721611721611721,2.73
"bibox-token","BIX","Bibox Token",2018-01-08,177,3.31,3.5,2.37,2.95,18323200,0,0.513274336283186,1.13
"bibox-token","BIX","Bibox Token",2018-01-09,177,2.95,3.04,2.37,2.63,74981296,0,0.388059701492537,0.67
"bibox-token","BIX","Bibox Token",2018-01-10,177,2.69,2.69,1.99,2.41,57595500,0,0.6,0.7
"bibox-token","BIX","Bibox Token",2018-01-11,177,2.38,2.52,1.9,2.33,81824704,0,0.693548387096774,0.62
"bibox-token","BIX","Bibox Token",2018-01-12,177,2.41,2.93,2.31,2.83,32092500,0,0.838709677419355,0.62
"bibox-token","BIX","Bibox Token",2018-01-13,177,2.83,3.06,2.66,2.96,25695900,0,0.75,0.4
"bibox-token","BIX","Bibox Token",2018-01-14,177,2.99,3,2.25,2.59,42095900,0,0.453333333333333,0.75
"bibox-token","BIX","Bibox Token",2018-01-15,177,2.55,2.65,2.21,2.22,31988500,0,0.0227272727272733,0.44
