"slug","symbol","name","date","ranknow","open","high","low","close","volume","market","close_ratio","spread"
"binance-coin","BNB","Binance Coin",2017-07-25,10,0.115203,0.115841,0.101531,0.10587,145269,10587000,0.303426573426574,0.01
"binance-coin","BNB","Binance Coin",2017-07-26,10,0.105893,0.109013,0.099266,0.105138,200395,10513800,0.605360824742268,0.01
"binance-coin","BNB","Binance Coin",2017-07-27,10,0.105108,0.108479,0.100888,0.107737,344499,10773700,0.901184210526315,0.01
"binance-coin","BNB","Binance Coin",2017-07-28,10,0.107632,0.109019,0.101473,0.104067,342568,10406700,0.345866666666668,0.01
"binance-coin","BNB","Binance Coin",2017-07-29,10,0.104782,0.111264,0.101108,0.107811,340218,10781100,0.657156862745098,0.01
"binance-coin","BNB","Binance Coin",2017-07-30,10,0.107935,0.108138,0.103162,0.106414,224261,10641400,0.650399999999998,0
"binance-coin","BNB","Binance Coin",2017-07-31,10,0.106828,0.108349,0.1016,0.10425,240309,10425000,0.395522388059701,0.01
"binance-coin","BNB","Binance Coin",2017-08-01,10,0.104595,0.106266,0.096109,0.099867,300413,9986680,0.368431372549019,0.01
"binance-coin","BNB","Binance Coin",2017-08-02,10,0.099721,0.101211,0.097361,0.100452,256793,10045200,0.813421052631578,0
"binance-coin","BNB","Binance Coin",2017-08-03,10,0.100328,0.106978,0.09912,0.106642,293008,10664200,0.952151898734177,0.01
"binance-coin","BNB","Binance Coin",2017-08-04,10,0.106685,0.107756,0.102699,0.107494,287621,10749400,0.940196078431374,0.01
"binance-coin","BNB","Binance Coin",2017-08-05,10,0.107418,0.144653,0.10707,0.128871,542878,12887100,0.579813829787234,0.04
"binance-coin","BNB","Binance Coin",2017-08-06,10,0.129293,0.132988,0.12738,0.130999,393681,13099900,0.646250000000002,0.01
"binance-coin","BNB","Binance Coin",2017-08-07,10,0.133958,0.149765,0.1333,0.148848,748177,14884800,0.942303030303031,0.02
"binance-coin","BNB","Binance Coin",2017-08-08,10,0.148998,0.226925,0.147766,0.224421,2617340,22442100,0.967866161616162,0.08
"binance-coin","BNB","Binance Coin",2017-08-09,10,0.224748,0.260625,0.222158,0.242912,3075320,24291200,0.539064935064935,0.04
"binance-coin","BNB","Binance Coin",2017-08-10,10,0.251827,0.349976,0.245052,0.349079,4118070,34907900,0.991677788369876,0.1
"binance-coin","BNB","Binance Coin",2017-08-11,10,0.348785,0.409654,0.311067,0.392572,4413920,39257200,0.826622718052738,0.1
"binance-coin","BNB","Binance Coin",2017-08-12,10,0.392193,0.475992,0.337589,0.446365,5080760,44636500,0.785953757225434,0.14
"binance-coin","BNB","Binance Coin",2017-08-13,10,0.44599,1.02,0.44599,0.876828,13852100,87682800,0.750588850174216,0.57
"binance-coin","BNB","Binance Coin",2017-08-14,10,0.872918,1.46,0.735764,1.3,51698100,129557000,0.7791162662248,0.72
"binance-coin","BNB","Binance Coin",2017-08-15,10,1.33,1.38,0.923372,1.06,19824400,105655000,0.299229084537889,0.46
"binance-coin","BNB","Binance Coin",2017-08-16,10,1.12,1.45,1.08,1.44,31363100,143724000,0.972972972972973,0.37
"binance-coin","BNB","Binance Coin",2017-08-17,10,1.44,2.11,1.32,1.97,61296500,196715000,0.822784810126582,0.79
