"slug","symbol","name","date","ranknow","open","high","low","close","volume","market","close_ratio","spread"
"bitcoin","BTC","Bitcoin",2016-01-01,1,430.72,436.25,427.52,434.33,36278900,6529299589,0.780068728522337,8.73
"bitcoin","BTC","Bitcoin",2016-01-02,1,434.62,436.06,431.87,433.44,30096600,6517390487,0.37470167064439,4.19
"bitcoin","BTC","Bitcoin",2016-01-03,1,433.58,433.74,424.71,430.01,39633800,6467429942,0.586932447397565,9.03
"bitcoin","BTC","Bitcoin",2016-01-04,1,430.06,434.52,429.08,433.09,38477500,6515713340,0.737132352941175,5.44
"bitcoin","BTC","Bitcoin",2016-01-05,1,433.07,434.18,429.68,431.96,34522600,6500393256,0.506666666666661,4.5
"bitcoin","BTC","Bitcoin",2016-01-06,1,431.86,431.86,426.34,429.11,34042500,6458942098,0.501811594202906,5.52
"bitcoin","BTC","Bitcoin",2016-01-07,1,430.01,458.77,429.08,458.05,87562200,6896279078,0.975749410575952,29.69
"bitcoin","BTC","Bitcoin",2016-01-08,1,457.54,462.93,447.94,453.23,56993000,6825700454,0.352901934623083,14.99
"bitcoin","BTC","Bitcoin",2016-01-09,1,453.38,454.64,446.89,447.61,32278000,6742767343,0.0929032258064551,7.75
"bitcoin","BTC","Bitcoin",2016-01-10,1,448.24,448.31,440.35,447.99,35995900,6750440386,0.959798994974873,7.96
"bitcoin","BTC","Bitcoin",2016-01-11,1,448.7,450.66,443.86,448.43,40450000,6758931030,0.672058823529411,6.8
"bitcoin","BTC","Bitcoin",2016-01-12,1,448.18,448.18,435.69,435.69,115607000,6568800100,0,12.49
"bitcoin","BTC","Bitcoin",2016-01-13,1,434.67,435.19,424.44,432.37,173888000,6520360056,0.737674418604652,10.75
"bitcoin","BTC","Bitcoin",2016-01-14,1,432.29,433.32,427.85,430.31,43945500,6490638885,0.449725776965261,5.47
"bitcoin","BTC","Bitcoin",2016-01-15,1,430.26,430.26,364.33,364.33,153351008,5496598039,0,65.93
"bitcoin","BTC","Bitcoin",2016-01-16,1,365.07,390.56,354.91,387.54,120352000,5848063566,0.915287517531557,35.65
"bitcoin","BTC","Bitcoin",2016-01-17,1,387.15,390.96,380.09,382.3,45319600,5770478451,0.203311867525302,10.87
"bitcoin","BTC","Bitcoin",2016-01-18,1,381.73,388.1,376.67,387.17,54403900,5845656048,0.918635170603675,11.43
"bitcoin","BTC","Bitcoin",2016-01-19,1,387.03,387.73,378.97,380.15,46819800,5740934168,0.134703196347026,8.76
"bitcoin","BTC","Bitcoin",2016-01-20,1,379.74,425.27,376.6,420.23,121720000,6347836794,0.896445448941853,48.67
"bitcoin","BTC","Bitcoin",2016-01-21,1,419.63,422.88,406.3,410.26,68338000,6198658815,0.238841978287092,16.58
"bitcoin","BTC","Bitcoin",2016-01-22,1,409.75,410.41,375.28,382.49,91546600,5780764155,0.205237688585256,35.13
"bitcoin","BTC","Bitcoin",2016-01-23,1,382.43,394.54,381.98,387.49,56247400,5858059876,0.438694267515923,12.56
