"slug","symbol","name","date","ranknow","open","high","low","close","volume","market","close_ratio","spread"
"coss","COSS","COSS",2017-09-25,269,0.035335,0.045898,0.035211,0.045592,116130,0,0.970186915887851,0.01
"coss","COSS","COSS",2017-09-26,269,0.045576,0.04568,0.030703,0.041771,78822,0,0.737866666666667,0.01
"coss","COSS","COSS",2017-09-27,269,0.042014,0.051189,0.038906,0.048508,95201,0,0.780650406504065,0.01
"coss","COSS","COSS",2017-09-28,269,0.048479,0.05663,0.043078,0.05663,111822,0,0.996470588235294,0.01
"coss","COSS","COSS",2017-09-29,269,0.056522,0.085188,0.048873,0.061713,167990,0,0.353719008264463,0.04
"coss","COSS","COSS",2017-09-30,269,0.061729,0.081937,0.055907,0.069376,174879,0,0.518038461538461,0.03
"coss","COSS","COSS",2017-10-01,269,0.069395,0.08462,0.061762,0.065508,128001,939950,0.163580786026201,0.02
"coss","COSS","COSS",2017-10-02,269,0.062346,0.072846,0.059021,0.06258,131871,897939,0.257898550724638,0.01
"coss","COSS","COSS",2017-10-03,269,0.062722,0.072311,0.054891,0.064997,165163,932619,0.580804597701149,0.02
"coss","COSS","COSS",2017-10-04,269,0.065201,0.101756,0.062992,0.089961,494252,1290816,0.695077319587629,0.04
"coss","COSS","COSS",2017-10-05,269,0.090308,0.184738,0.08385,0.162082,1983600,3837453,0.775341922695738,0.1
"coss","COSS","COSS",2017-10-06,269,0.174414,0.19735,0.127421,0.19735,1850370,4310195,1.00041487839771,0.07
"coss","COSS","COSS",2017-10-07,269,0.193856,0.267861,0.178147,0.194409,3324310,4620176,0.181293199554069,0.09
"coss","COSS","COSS",2017-10-08,269,0.191611,0.21308,0.120388,0.136586,1914250,3406848,0.174735706580367,0.09
"coss","COSS","COSS",2017-10-09,269,0.142589,0.174847,0.125996,0.131358,1048950,3374038,0.109652351738241,0.05
"coss","COSS","COSS",2017-10-10,269,0.131321,0.210526,0.125928,0.162125,2015710,2586806,0.427860520094562,0.08
"coss","COSS","COSS",2017-10-11,269,0.160915,0.232565,0.160915,0.185209,2647940,3172505,0.339301675977654,0.07
"coss","COSS","COSS",2017-10-12,269,0.186185,0.198525,0.152349,0.158091,1978750,2871536,0.124285714285714,0.05
"coss","COSS","COSS",2017-10-13,269,0.156586,0.184278,0.143076,0.147461,1468800,2846080,0.106432038834951,0.04
"coss","COSS","COSS",2017-10-14,269,0.154731,0.279503,0.135071,0.143305,1061460,2736339,0.0570221606648199,0.14
"coss","COSS","COSS",2017-10-15,269,0.143403,0.147022,0.110768,0.140791,1054170,2744063,0.827079889807162,0.04
"coss","COSS","COSS",2017-10-16,269,0.141032,0.15419,0.106995,0.117758,890030,2426169,0.228029661016949,0.05
"coss","COSS","COSS",2017-10-17,269,0.11592,0.128749,0.104569,0.124201,736371,2453243,0.811239669421488,0.02
"coss","COSS","COSS",2017-10-18,269,0.124075,0.154137,0.106924,0.153882,834777,2908464,0.994872881355932,0.05
"coss","COSS","COSS",2017-10-19,269,0.152309,0.159904,0.134387,0.151027,727620,12535241,0.652549019607843,0.03
"coss","COSS","COSS",2017-10-20,269,0.152256,0.153232,0.11686,0.121204,906760,10059932,0.119340659340659,0.04
"coss","COSS","COSS",2017-10-21,269,0.120677,0.14028,0.112026,0.117528,574002,9754824,0.194416961130742,0.03
"coss","COSS","COSS",2017-10-22,269,0.117606,0.137239,0.106068,0.118044,528817,9797652,0.383846153846154,0.03
"coss","COSS","COSS",2017-10-23,269,0.116693,0.121937,0.102025,0.112496,596684,9337168,0.526180904522613,0.02
"coss","COSS","COSS",2017-10-24,269,0.112821,0.125045,0.097107,0.107746,744335,8942918,0.381326164874552,0.03
"coss","COSS","COSS",2017-10-25,269,0.107711,0.113385,0.097512,0.097512,533568,8093479,0,0.02
"coss","COSS","COSS",2017-10-26,269,0.097339,0.103386,0.092387,0.092387,464468,7668104,0,0.01
"coss","COSS","COSS",2017-10-27,269,0.092616,0.128837,0.092392,0.114272,569344,9484576,0.601098901098901,0.04
"coss","COSS","COSS",2017-10-28,269,0.110765,0.120627,0.094442,0.098502,447048,8175633,0.154961832061069,0.03
"coss","COSS","COSS",2017-10-29,269,0.09852,0.101602,0.091592,0.093681,379642,7775548,0.208899999999999,0.01
"coss","COSS","COSS",2017-10-30,269,0.0938,0.095609,0.081228,0.087868,333159,7293027,0.461111111111112,0.01
"coss","COSS","COSS",2017-10-31,269,0.087843,0.08908,0.071624,0.086036,308260,7140971,0.823542857142858,0.02
"coss","COSS","COSS",2017-11-01,269,0.085895,0.089201,0.073489,0.076963,329896,6387912,0.221273885350319,0.02
"coss","COSS","COSS",2017-11-02,269,0.077139,0.078822,0.060981,0.072208,309728,5993247,0.630730337078651,0.02
"coss","COSS","COSS",2017-11-03,269,0.072383,0.084956,0.066265,0.077756,232024,6453748,0.614491978609626,0.02
"coss","COSS","COSS",2017-11-04,269,0.077582,0.092712,0.077323,0.088669,183243,7359544,0.736753246753246,0.02
"coss","COSS","COSS",2017-11-05,269,0.091286,0.093387,0.07503,0.080967,250877,6720228,0.322663043478261,0.02
"coss","COSS","COSS",2017-11-06,269,0.081104,0.081552,0.071401,0.077786,151467,6456221,0.625980392156862,0.01
"coss","COSS","COSS",2017-11-07,269,0.080035,0.086325,0.068005,0.081303,245658,6748191,0.726666666666667,0.02
"coss","COSS","COSS",2017-11-08,269,0.081193,0.08696,0.074319,0.075602,199211,6274925,0.101825396825397,0.01
"coss","COSS","COSS",2017-11-09,269,0.073876,0.094081,0.073876,0.089779,229855,7451640,0.787277227722772,0.02
"coss","COSS","COSS",2017-11-10,269,0.08984,0.094105,0.080387,0.083806,159652,6955890,0.249562043795621,0.01
"coss","COSS","COSS",2017-11-11,269,0.083551,0.086688,0.071446,0.075817,256154,6292811,0.287565789473684,0.02
"coss","COSS","COSS",2017-11-12,269,0.075809,0.077833,0.063495,0.071229,130506,5911999,0.540839160839161,0.01
"coss","COSS","COSS",2017-11-13,269,0.071317,0.076036,0.06173,0.072066,139516,5981511,0.722797202797203,0.01
"coss","COSS","COSS",2017-11-14,269,0.072111,0.080772,0.064089,0.080173,175954,6654326,0.96311377245509,0.02
"coss","COSS","COSS",2017-11-15,269,0.080356,0.083368,0.06553,0.071905,114337,5968098,0.35814606741573,0.02
"coss","COSS","COSS",2017-11-16,269,0.071938,0.072639,0.066697,0.069724,175535,5787084,0.513050847457625,0.01
"coss","COSS","COSS",2017-11-17,269,0.069649,0.074286,0.065572,0.074171,161276,6156226,0.988390804597701,0.01
"coss","COSS","COSS",2017-11-18,269,0.073992,0.073992,0.065034,0.067669,155493,5616544,0.292777777777779,0.01
"coss","COSS","COSS",2017-11-19,269,0.06738,0.073999,0.065899,0.066894,71315,5552219,0.122839506172839,0.01
"coss","COSS","COSS",2017-11-20,269,0.069569,0.070943,0.054864,0.055903,210326,4639932,0.0645341614906831,0.02
"coss","COSS","COSS",2017-11-21,269,0.055832,0.065039,0.052248,0.061727,99538,5123358,0.740546874999999,0.01
"coss","COSS","COSS",2017-11-22,269,0.06178,0.078139,0.061139,0.071912,154985,5968721,0.633705882352941,0.02
"coss","COSS","COSS",2017-11-23,269,0.07243,0.076948,0.068087,0.068087,132550,5651254,0,0.01
"coss","COSS","COSS",2017-11-24,269,0.067725,0.075304,0.064957,0.073271,106264,6081460,0.807184466019418,0.01
"coss","COSS","COSS",2017-11-25,269,0.073106,0.075548,0.058879,0.062046,138555,5149826,0.189640718562874,0.02
"coss","COSS","COSS",2017-11-26,269,0.061765,0.067193,0.058888,0.059636,128793,4949796,0.0901204819277107,0.01
"coss","COSS","COSS",2017-11-27,269,0.059583,0.07474,0.056373,0.068668,169131,5699403,0.668206521739131,0.02
"coss","COSS","COSS",2017-11-28,269,0.068639,0.074015,0.061287,0.062167,247935,5159820,0.0692913385826771,0.01
"coss","COSS","COSS",2017-11-29,269,0.062195,0.070963,0.057723,0.060729,103101,5040532,0.227727272727273,0.01
"coss","COSS","COSS",2017-11-30,269,0.061555,0.064837,0.051382,0.057988,153147,4812971,0.489333333333333,0.01
"coss","COSS","COSS",2017-12-01,269,0.057427,0.063243,0.051838,0.062233,139772,5165314,0.911842105263157,0.01
"coss","COSS","COSS",2017-12-02,269,0.062588,0.06553,0.058629,0.065036,114110,5398013,0.928550724637681,0.01
"coss","COSS","COSS",2017-12-03,269,0.065059,0.092485,0.061272,0.085298,615797,7079726,0.770064102564103,0.03
"coss","COSS","COSS",2017-12-04,269,0.086205,0.090682,0.079572,0.090086,537217,7477130,0.947207207207207,0.01
"coss","COSS","COSS",2017-12-05,269,0.09018,0.110693,0.085316,0.110412,407753,9164196,0.988031496062992,0.03
"coss","COSS","COSS",2017-12-06,269,0.109918,0.121082,0.096662,0.116795,574088,9693985,0.825122950819672,0.02
"coss","COSS","COSS",2017-12-07,269,0.116904,0.122899,0.089608,0.104436,460075,8668188,0.445285285285285,0.03
"coss","COSS","COSS",2017-12-08,269,0.102589,0.10613,0.08388,0.101435,248064,8419105,0.787219730941704,0.02
"coss","COSS","COSS",2017-12-09,269,0.10148,0.114991,0.10148,0.109786,178345,9112238,0.615259259259259,0.01
"coss","COSS","COSS",2017-12-10,269,0.110235,0.115492,0.092199,0.10701,219768,8881830,0.635665236051502,0.02
"coss","COSS","COSS",2017-12-11,269,0.107824,0.125287,0.103089,0.125287,309663,10398821,0.99990990990991,0.02
"coss","COSS","COSS",2017-12-12,269,0.123732,0.139073,0.107321,0.130686,647166,10846938,0.734748427672956,0.03
"coss","COSS","COSS",2017-12-13,269,0.134605,0.148363,0.121389,0.134278,402003,8083851,0.477370370370371,0.03
"coss","COSS","COSS",2017-12-14,269,0.137965,0.162121,0.134516,0.162003,443946,9744690,0.99590579710145,0.03
"coss","COSS","COSS",2017-12-15,269,0.157681,0.164065,0.139323,0.164065,413515,9747337,1.0017004048583,0.02
"coss","COSS","COSS",2017-12-16,269,0.162969,0.189494,0.155413,0.189273,601981,11243125,0.992961876832845,0.03
"coss","COSS","COSS",2017-12-17,269,0.189841,0.223024,0.166544,0.213872,738712,12645670,0.837663716814159,0.06
"coss","COSS","COSS",2017-12-18,269,0.210603,0.304503,0.197813,0.299008,1397580,17783140,0.948406747891284,0.11
"coss","COSS","COSS",2017-12-19,269,0.301439,0.310656,0.254016,0.285389,947526,16935845,0.554293286219081,0.06
"coss","COSS","COSS",2017-12-20,269,0.28496,0.291114,0.244379,0.254227,633968,15122191,0.210877944325481,0.05
"coss","COSS","COSS",2017-12-21,269,0.253924,0.289229,0.199687,0.219965,754687,13090488,0.226569832402235,0.09
"coss","COSS","COSS",2017-12-22,269,0.218225,0.237688,0.152521,0.225997,389670,13439748,0.862394366197183,0.09
"coss","COSS","COSS",2017-12-23,269,0.21862,0.313083,0.21159,0.274081,699787,16245586,0.615674876847291,0.1
"coss","COSS","COSS",2017-12-24,269,0.27711,0.284165,0.188934,0.252564,499222,15453068,0.668382352941177,0.1
"coss","COSS","COSS",2017-12-25,269,0.253566,0.2846,0.248789,0.275925,269379,16911101,0.757988826815642,0.04
"coss","COSS","COSS",2017-12-26,269,0.274103,0.293982,0.255025,0.271682,389183,16713648,0.427102564102564,0.04
"coss","COSS","COSS",2017-12-27,269,0.272105,0.294092,0.204835,0.248704,495687,15373808,0.491254199328108,0.09
"coss","COSS","COSS",2017-12-28,269,0.248256,0.253371,0.20012,0.24858,488369,15527341,0.909193245778612,0.05
"coss","COSS","COSS",2017-12-29,269,0.250422,0.290064,0.239292,0.264119,390797,16334140,0.488720472440945,0.05
"coss","COSS","COSS",2017-12-30,269,0.264253,0.290469,0.23966,0.263568,486695,16205242,0.470629921259843,0.05
"coss","COSS","COSS",2017-12-31,269,0.25928,0.299371,0.219855,0.259029,675280,16040860,0.492754716981132,0.08
"coss","COSS","COSS",2018-01-01,269,0.256839,0.265556,0.23284,0.247997,416048,15896843,0.463516819571866,0.03
"coss","COSS","COSS",2018-01-02,269,0.248614,0.319295,0.247122,0.314702,840408,20284587,0.93601108033241,0.07
"coss","COSS","COSS",2018-01-03,269,0.315714,0.487731,0.277674,0.47798,1367100,30236517,0.953384102808187,0.21
"coss","COSS","COSS",2018-01-04,269,0.475528,0.571196,0.459838,0.534112,971898,33787368,0.66673249551167,0.11
"coss","COSS","COSS",2018-01-05,269,0.530433,0.599732,0.501435,0.549913,870837,34256876,0.493163784333673,0.1
"coss","COSS","COSS",2018-01-06,269,0.571986,1.36,0.549695,1.26,6871440,78155622,0.876595088238924,0.81
"coss","COSS","COSS",2018-01-07,269,1.27,1.83,1.06,1.81,8402680,112241828,0.974025974025974,0.77
"coss","COSS","COSS",2018-01-08,269,1.81,2.11,1.34,1.86,6704490,113910217,0.675324675324675,0.77
"coss","COSS","COSS",2018-01-09,269,1.85,1.92,1.63,1.7,4447120,106820735,0.241379310344828,0.29
"coss","COSS","COSS",2018-01-10,269,1.69,1.69,1.34,1.51,3100130,96207233,0.485714285714286,0.35
"coss","COSS","COSS",2018-01-11,269,1.51,1.58,1.29,1.58,1947590,100590072,1,0.29
"coss","COSS","COSS",2018-01-12,269,1.59,2.13,1.52,2.05,7592990,129135814,0.868852459016393,0.61
"coss","COSS","COSS",2018-01-13,269,2.05,2.86,1.99,2.86,10704200,181084940,1,0.87
"coss","COSS","COSS",2018-01-14,269,2.85,2.99,1.61,1.82,6015190,114015825,0.152173913043478,1.38
"coss","COSS","COSS",2018-01-15,269,1.88,2.17,1.41,1.55,5995430,98466546,0.18421052631579,0.76
"coss","COSS","COSS",2018-01-16,269,1.52,1.54,0.936143,1.22,3722490,77225047,0.470039741679086,0.6
"coss","COSS","COSS",2018-01-17,269,1.2,1.28,0.732142,1.02,2540320,64653696,0.525384194196021,0.55
"coss","COSS","COSS",2018-01-18,269,1.03,1.42,0.995935,1.18,2780070,73180436,0.434013204432917,0.42
"coss","COSS","COSS",2018-01-19,269,1.16,1.18,1.04,1.1,1883130,68583583,0.428571428571429,0.14
"coss","COSS","COSS",2018-01-20,269,1.11,1.23,1.05,1.06,1591850,66639362,0.0555555555555556,0.18
"coss","COSS","COSS",2018-01-21,269,1.09,1.09,0.616537,0.830055,2548950,51920669,0.450935586061246,0.47
"coss","COSS","COSS",2018-01-22,269,0.836738,0.911542,0.678461,0.785904,1970520,49245383,0.460930930930931,0.23
