"slug","symbol","name","date","ranknow","open","high","low","close","volume","market","close_ratio","spread"
"dash","DASH","Dash",2016-01-01,15,3.33,3.54,3.24,3.38,98317,20614685,0.466666666666666,0.3
"dash","DASH","Dash",2016-01-02,15,3.38,3.43,3.24,3.28,62353,20031368,0.210526315789472,0.19
"dash","DASH","Dash",2016-01-03,15,3.29,3.35,3.13,3.24,87155,19794725,0.500000000000001,0.22
"dash","DASH","Dash",2016-01-04,15,3.25,3.35,3.24,3.32,65748,20284342,0.727272727272724,0.11
"dash","DASH","Dash",2016-01-05,15,3.32,3.44,3.29,3.33,71861,20333581,0.266666666666667,0.15
"dash","DASH","Dash",2016-01-06,15,3.33,3.4,3.29,3.38,34542,20686046,0.818181818181817,0.11
"dash","DASH","Dash",2016-01-07,15,3.37,3.45,3.31,3.38,116373,20719622,0.499999999999999,0.14
"dash","DASH","Dash",2016-01-08,15,3.41,3.42,3.26,3.31,76706,20257030,0.312500000000002,0.16
"dash","DASH","Dash",2016-01-09,15,3.3,3.37,3.18,3.18,39174,19494318,0,0.19
"dash","DASH","Dash",2016-01-10,15,3.18,3.29,2.83,3.29,167678,20209363,1,0.46
"dash","DASH","Dash",2016-01-11,15,3.28,3.35,3.07,3.15,99815,19325920,0.285714285714286,0.28
"dash","DASH","Dash",2016-01-12,15,3.17,3.17,2.92,3.03,130485,18602487,0.44,0.25
"dash","DASH","Dash",2016-01-13,15,3.03,3.14,2.97,3.1,57266,19022713,0.76470588235294,0.17
"dash","DASH","Dash",2016-01-14,15,3.1,3.58,3.09,3.4,176887,20879755,0.63265306122449,0.49
"dash","DASH","Dash",2016-01-15,15,3.36,3.71,3.31,3.36,431794,20628777,0.125,0.4
"dash","DASH","Dash",2016-01-16,15,3.34,4.4,3.34,3.89,1878320,23918027,0.518867924528302,1.06
"dash","DASH","Dash",2016-01-17,15,3.88,5.19,3.76,4.95,560892,30466582,0.832167832167833,1.43
"dash","DASH","Dash",2016-01-18,15,4.94,4.94,4.27,4.37,464263,26901104,0.149253731343284,0.67
"dash","DASH","Dash",2016-01-19,15,4.4,4.54,3.87,3.87,277216,23818939,0,0.67
"dash","DASH","Dash",2016-01-20,15,3.86,4.83,3.79,4.77,307278,29398210,0.942307692307692,1.04
"dash","DASH","Dash",2016-01-21,15,4.76,5.15,4.52,5.15,289153,31696913,1,0.63
"dash","DASH","Dash",2016-01-22,15,5.22,6.29,4.73,5.13,1096190,31585577,0.256410256410256,1.56
"dash","DASH","Dash",2016-01-23,15,5.05,5.14,4.22,4.49,677578,27702270,0.293478260869566,0.92
"dash","DASH","Dash",2016-01-24,15,4.51,4.82,4.14,4.4,320311,27109170,0.382352941176472,0.68
"dash","DASH","Dash",2016-01-25,15,4.41,4.41,3.63,4.02,410300,24785820,0.5,0.78
"dash","DASH","Dash",2016-01-26,15,3.98,4.69,3.88,4.52,298849,27885552,0.790123456790123,0.81
"dash","DASH","Dash",2016-01-27,15,4.49,4.67,4.05,4.2,301964,25906350,0.241935483870968,0.62
"dash","DASH","Dash",2016-01-28,15,4.19,4.37,4.02,4.22,185032,26090467,0.571428571428572,0.35
"dash","DASH","Dash",2016-01-29,15,4.25,4.47,4.06,4.39,126718,27124420,0.804878048780488,0.41
"dash","DASH","Dash",2016-01-30,15,4.39,4.44,4.11,4.29,136278,26503067,0.545454545454545,0.33
"dash","DASH","Dash",2016-01-31,15,4.29,4.32,3.96,4.11,147359,25420328,0.416666666666668,0.36
"dash","DASH","Dash",2016-02-01,15,4.11,4.23,4.01,4.12,61713,25486511,0.500000000000001,0.22
"dash","DASH","Dash",2016-02-02,15,4.14,4.24,4.05,4.11,125829,25405289,0.315789473684213,0.19
"dash","DASH","Dash",2016-02-03,15,4.1,9.34,4.01,4.18,85544,25856141,0.0318949343339587,5.33
"dash","DASH","Dash",2016-02-04,15,4.18,4.36,4.12,4.29,100963,26595865,0.708333333333333,0.24
"dash","DASH","Dash",2016-02-05,15,4.29,4.38,4.23,4.28,56705,26495584,0.333333333333332,0.15
"dash","DASH","Dash",2016-02-06,15,4.32,4.32,4.15,4.19,70855,26025544,0.235294117647059,0.17
"dash","DASH","Dash",2016-02-07,15,4.21,4.38,4.14,4.21,108239,26137315,0.291666666666668,0.24
"dash","DASH","Dash",2016-02-08,15,4.18,4.31,4.11,4.16,70569,25844085,0.249999999999999,0.2
"dash","DASH","Dash",2016-02-09,15,4.16,4.19,3.95,3.97,164368,24677092,0.0833333333333334,0.24
