"slug","symbol","name","date","ranknow","open","high","low","close","volume","market","close_ratio","spread"
"eos","EOS","EOS",2017-07-01,4,1.03,1.07,0.989566,1.01,13613000,0,0.254154228855722,0.08
"eos","EOS","EOS",2017-07-02,4,0.996521,2.88,0.822648,2.71,320452000,0,0.91734810926412,2.06
"eos","EOS","EOS",2017-07-03,4,2.72,5.4,2.63,4.09,414950016,654930711,0.527075812274368,2.77
"eos","EOS","EOS",2017-07-04,4,4.1,4.19,2.93,3.37,218559008,550155157,0.349206349206349,1.26
"eos","EOS","EOS",2017-07-05,4,3.36,3.52,2.73,3,124339000,500626422,0.341772151898734,0.79
"eos","EOS","EOS",2017-07-06,4,3.01,3.87,3.01,3.36,177463008,568361515,0.406976744186047,0.86
"eos","EOS","EOS",2017-07-07,4,3.35,3.35,2.71,2.8,96596496,481139483,0.140625,0.64
"eos","EOS","EOS",2017-07-08,4,2.82,2.9,2.09,2.59,151162000,489397507,0.617283950617284,0.81
"eos","EOS","EOS",2017-07-09,4,2.6,2.69,2.19,2.29,87525104,472683190,0.2,0.5
"eos","EOS","EOS",2017-07-10,4,2.25,2.39,1.72,1.83,79608800,381951141,0.164179104477612,0.67
"eos","EOS","EOS",2017-07-11,4,1.79,1.82,1.42,1.66,111023000,348448761,0.6,0.4
"eos","EOS","EOS",2017-07-12,4,1.64,2.09,1.54,2.07,104621000,440930500,0.963636363636363,0.55
"eos","EOS","EOS",2017-07-13,4,2.08,2.13,1.71,1.74,51203900,373156762,0.0714285714285715,0.42
"eos","EOS","EOS",2017-07-14,4,1.73,1.77,1.54,1.55,41025200,337481682,0.0434782608695653,0.23
"eos","EOS","EOS",2017-07-15,4,1.55,1.55,1.3,1.3,34208800,286962322,0,0.25
"eos","EOS","EOS",2017-07-16,4,1.29,1.35,1.19,1.25,30802800,278730236,0.375,0.16
"eos","EOS","EOS",2017-07-17,4,1.25,1.57,1.25,1.54,62295100,344935476,0.90625,0.32
"eos","EOS","EOS",2017-07-18,4,1.54,1.75,1.48,1.7,58108000,383913353,0.814814814814815,0.27
"eos","EOS","EOS",2017-07-19,4,1.7,1.79,1.54,1.56,55057600,355988649,0.0800000000000001,0.25
"eos","EOS","EOS",2017-07-20,4,1.57,1.76,1.57,1.74,45949800,401980353,0.894736842105263,0.19
"eos","EOS","EOS",2017-07-21,4,1.76,2.02,1.73,1.82,58164900,422992713,0.310344827586207,0.29
"eos","EOS","EOS",2017-07-22,4,1.82,2,1.81,1.96,41809000,459569043,0.789473684210526,0.19
"eos","EOS","EOS",2017-07-23,4,1.96,2.14,1.74,1.87,60205000,441892481,0.325,0.4
"eos","EOS","EOS",2017-07-24,4,1.88,1.95,1.82,1.87,36585400,448035488,0.384615384615385,0.13
"eos","EOS","EOS",2017-07-25,4,1.88,1.89,1.55,1.65,42547000,397191785,0.294117647058823,0.34
"eos","EOS","EOS",2017-07-26,4,1.64,1.74,1.47,1.74,48693200,422142814,1,0.27
"eos","EOS","EOS",2017-07-27,4,1.75,1.98,1.73,1.95,69371696,478828804,0.88,0.25
"eos","EOS","EOS",2017-07-28,4,1.96,2.01,1.85,1.85,64730400,456314168,0,0.16
"eos","EOS","EOS",2017-07-29,4,1.83,1.84,1.66,1.83,44021100,456657340,0.944444444444445,0.18
"eos","EOS","EOS",2017-07-30,4,1.83,1.84,1.71,1.78,27580200,448515327,0.538461538461539,0.13
"eos","EOS","EOS",2017-07-31,4,1.77,1.79,1.71,1.74,29657700,441239071,0.375,0.08
"eos","EOS","EOS",2017-08-01,4,1.75,1.81,1.68,1.78,39175500,455131357,0.76923076923077,0.13
"eos","EOS","EOS",2017-08-02,4,1.78,1.82,1.76,1.78,28880800,458117403,0.333333333333334,0.06
"eos","EOS","EOS",2017-08-03,4,1.78,1.81,1.75,1.8,25878000,468308118,0.833333333333334,0.06
"eos","EOS","EOS",2017-08-04,4,1.8,1.85,1.8,1.81,34183300,472252295,0.2,0.05
"eos","EOS","EOS",2017-08-05,4,1.8,1.98,1.76,1.91,52324800,503269011,0.681818181818181,0.22
"eos","EOS","EOS",2017-08-06,4,1.9,1.9,1.72,1.74,38436700,463462640,0.111111111111111,0.18
"eos","EOS","EOS",2017-08-07,4,1.73,1.83,1.71,1.81,46022400,487115009,0.833333333333334,0.12
"eos","EOS","EOS",2017-08-08,4,1.81,2.04,1.79,1.88,76270800,509761999,0.359999999999999,0.25
"eos","EOS","EOS",2017-08-09,4,1.88,1.95,1.81,1.83,36813700,500066743,0.142857142857143,0.14
"eos","EOS","EOS",2017-08-10,4,1.83,1.89,1.83,1.83,43519300,502700731,0,0.06
"eos","EOS","EOS",2017-08-11,4,1.83,1.87,1.77,1.79,49178400,495512659,0.2,0.1
"eos","EOS","EOS",2017-08-12,4,1.79,1.82,1.66,1.67,38131800,466348455,0.0625000000000001,0.16
"eos","EOS","EOS",2017-08-13,4,1.67,1.68,1.58,1.62,40514200,455024880,0.4,0.1
"eos","EOS","EOS",2017-08-14,4,1.61,1.67,1.54,1.66,39205300,470416145,0.923076923076922,0.13
"eos","EOS","EOS",2017-08-15,4,1.66,1.81,1.59,1.65,58304700,470283317,0.272727272727272,0.22
"eos","EOS","EOS",2017-08-16,4,1.64,1.64,1.59,1.6,24022000,459649947,0.2,0.05
"eos","EOS","EOS",2017-08-17,4,1.6,1.61,1.52,1.55,25713300,447917223,0.333333333333334,0.09
"eos","EOS","EOS",2017-08-18,4,1.54,1.54,1.4,1.42,26841700,414574831,0.142857142857143,0.14
"eos","EOS","EOS",2017-08-19,4,1.42,1.44,1.32,1.4,24769900,412400643,0.666666666666665,0.12
"eos","EOS","EOS",2017-08-20,4,1.4,1.42,1.36,1.37,15673200,405019822,0.166666666666667,0.06
"eos","EOS","EOS",2017-08-21,4,1.37,1.38,1.33,1.34,20152300,399079604,0.2,0.05
"eos","EOS","EOS",2017-08-22,4,1.34,1.34,1.26,1.28,23774300,384648800,0.25,0.08
