"slug","symbol","name","date","ranknow","open","high","low","close","volume","market","close_ratio","spread"
"ethereum-classic","ETC","Ethereum Classic",2016-07-24,18,0.752345,0.959354,0.737342,0.928814,17769300,76439027,0.862486486486486,0.22
"ethereum-classic","ETC","Ethereum Classic",2016-07-25,18,0.931993,0.932862,0.452446,0.602402,9308400,49576150,0.312148209825146,0.48
"ethereum-classic","ETC","Ethereum Classic",2016-07-26,18,0.604737,2.85,0.600358,2.55,103066000,210144900,0.866661628733997,2.25
"ethereum-classic","ETC","Ethereum Classic",2016-07-27,18,2.46,2.46,1.26,1.6,62645700,131842989,0.283333333333333,1.2
"ethereum-classic","ETC","Ethereum Classic",2016-07-28,18,1.56,1.92,1.37,1.73,40291300,142411628,0.654545454545454,0.55
"ethereum-classic","ETC","Ethereum Classic",2016-07-29,18,1.71,1.8,1.55,1.64,20745500,134614767,0.359999999999999,0.25
"ethereum-classic","ETC","Ethereum Classic",2016-07-30,18,1.66,1.71,1.55,1.57,10061600,129128819,0.125,0.16
"ethereum-classic","ETC","Ethereum Classic",2016-07-31,18,1.57,1.91,1.56,1.8,29167500,148016084,0.685714285714286,0.35
"ethereum-classic","ETC","Ethereum Classic",2016-08-01,18,1.79,2.34,1.78,2.34,45924200,192669859,1,0.56
"ethereum-classic","ETC","Ethereum Classic",2016-08-02,18,2.36,3.53,2.31,2.76,147855008,227567915,0.368852459016393,1.22
"ethereum-classic","ETC","Ethereum Classic",2016-08-03,18,2.78,3.2,2.36,2.6,74184496,214270712,0.285714285714286,0.84
"ethereum-classic","ETC","Ethereum Classic",2016-08-04,18,2.59,2.76,2.1,2.34,43516500,193153903,0.363636363636363,0.66
"ethereum-classic","ETC","Ethereum Classic",2016-08-05,18,2.35,2.6,2.28,2.59,20254400,213166457,0.96875,0.32
"ethereum-classic","ETC","Ethereum Classic",2016-08-06,18,2.59,2.86,2.57,2.7,22874700,222272437,0.448275862068967,0.29
"ethereum-classic","ETC","Ethereum Classic",2016-08-07,18,2.7,2.74,2.06,2.15,31153900,177588505,0.13235294117647,0.68
"ethereum-classic","ETC","Ethereum Classic",2016-08-08,18,2.16,2.38,2.05,2.19,15781200,180876018,0.424242424242425,0.33
"ethereum-classic","ETC","Ethereum Classic",2016-08-09,18,2.17,2.22,1.79,1.95,23612300,161349946,0.372093023255814,0.43
"ethereum-classic","ETC","Ethereum Classic",2016-08-10,18,1.94,2.04,1.64,1.71,20082200,141789917,0.175,0.4
"ethereum-classic","ETC","Ethereum Classic",2016-08-11,18,1.72,1.96,1.59,1.85,17263000,153354618,0.702702702702703,0.37
"ethereum-classic","ETC","Ethereum Classic",2016-08-12,18,1.84,2.09,1.8,1.85,15418800,153301252,0.172413793103448,0.29
"ethereum-classic","ETC","Ethereum Classic",2016-08-13,18,1.86,1.93,1.82,1.87,3822490,155312878,0.454545454545455,0.11
"ethereum-classic","ETC","Ethereum Classic",2016-08-14,18,1.87,1.98,1.87,1.93,6985300,159903688,0.545454545454544,0.11
"ethereum-classic","ETC","Ethereum Classic",2016-08-15,18,1.93,2,1.83,1.86,7282060,154389754,0.176470588235294,0.17
"ethereum-classic","ETC","Ethereum Classic",2016-08-16,18,1.87,1.9,1.8,1.86,4062150,154159207,0.600000000000001,0.1
"ethereum-classic","ETC","Ethereum Classic",2016-08-17,18,1.86,1.87,1.72,1.74,5087980,144369254,0.133333333333333,0.15
"ethereum-classic","ETC","Ethereum Classic",2016-08-18,18,1.74,1.78,1.65,1.69,4469650,140245161,0.307692307692308,0.13
"ethereum-classic","ETC","Ethereum Classic",2016-08-19,18,1.68,1.81,1.61,1.79,6186480,148591343,0.9,0.2
"ethereum-classic","ETC","Ethereum Classic",2016-08-20,18,1.78,1.78,1.68,1.74,3315060,145053898,0.600000000000001,0.1
"ethereum-classic","ETC","Ethereum Classic",2016-08-21,18,1.75,1.77,1.7,1.72,1866780,143211684,0.285714285714286,0.07
"ethereum-classic","ETC","Ethereum Classic",2016-08-22,18,1.73,1.74,1.62,1.67,4757220,138836116,0.416666666666665,0.12
"ethereum-classic","ETC","Ethereum Classic",2016-08-23,18,1.67,1.68,1.56,1.6,6292880,133557451,0.333333333333334,0.12
