"slug","symbol","name","date","ranknow","open","high","low","close","volume","market","close_ratio","spread"
"ethereum","ETH","Ethereum",2016-01-01,2,0.933712,0.954822,0.931442,0.948024,206062,71980386,0.708632478632478,0.02
"ethereum","ETH","Ethereum",2016-01-02,2,0.947401,0.969637,0.93656,0.937124,255504,71176658,0.0170392749244716,0.03
"ethereum","ETH","Ethereum",2016-01-03,2,0.93843,0.991362,0.934313,0.971905,407632,73843292,0.659508771929826,0.06
"ethereum","ETH","Ethereum",2016-01-04,2,0.972045,0.976438,0.929835,0.95448,346245,72543707,0.528862660944207,0.05
"ethereum","ETH","Ethereum",2016-01-05,2,0.953147,0.970597,0.946543,0.950176,219833,72240974,0.150746887966805,0.02
"ethereum","ETH","Ethereum",2016-01-06,2,0.950028,0.960659,0.935708,0.95086,308791,72317149,0.606080000000002,0.02
"ethereum","ETH","Ethereum",2016-01-07,2,0.955801,0.974623,0.93583,0.942005,647462,71667152,0.159149484536081,0.04
"ethereum","ETH","Ethereum",2016-01-08,2,0.942752,0.991825,0.939715,0.986789,545600,75099809,0.903531669865644,0.05
"ethereum","ETH","Ethereum",2016-01-09,2,0.985501,0.992345,0.9736,0.986833,226281,75128312,0.707647058823526,0.02
"ethereum","ETH","Ethereum",2016-01-10,2,0.985557,1,0.975099,0.999231,390888,76097646,0.969156626506021,0.02
"ethereum","ETH","Ethereum",2016-01-11,2,0.999216,1.07,0.999216,1.06,1011920,80874514,0.858531073446329,0.07
"ethereum","ETH","Ethereum",2016-01-12,2,1.07,1.28,1.05,1.14,2898760,86951446,0.391304347826086,0.23
"ethereum","ETH","Ethereum",2016-01-13,2,1.14,1.15,1.08,1.13,1005910,85775572,0.714285714285712,0.07
"ethereum","ETH","Ethereum",2016-01-14,2,1.12,1.19,1.1,1.19,751961,90714399,0.999999999999998,0.09
"ethereum","ETH","Ethereum",2016-01-15,2,1.18,1.32,1.14,1.21,3910550,92149709,0.388888888888889,0.18
"ethereum","ETH","Ethereum",2016-01-16,2,1.22,1.31,1.17,1.22,2462630,93117298,0.357142857142857,0.14
"ethereum","ETH","Ethereum",2016-01-17,2,1.22,1.33,1.21,1.33,1171150,101329330,1,0.12
"ethereum","ETH","Ethereum",2016-01-18,2,1.33,1.54,1.32,1.43,4278930,108912542,0.499999999999999,0.22
"ethereum","ETH","Ethereum",2016-01-19,2,1.42,1.46,1.31,1.37,2446740,104750746,0.4,0.15
"ethereum","ETH","Ethereum",2016-01-20,2,1.36,1.62,1.35,1.53,2933220,117043472,0.666666666666666,0.27
"ethereum","ETH","Ethereum",2016-01-21,2,1.53,1.59,1.49,1.55,1614960,118743869,0.600000000000001,0.1
"ethereum","ETH","Ethereum",2016-01-22,2,1.55,1.58,1.47,1.5,1567240,114784065,0.272727272727273,0.11
"ethereum","ETH","Ethereum",2016-01-23,2,1.5,2.03,1.5,1.97,7370980,150874912,0.886792452830189,0.53
"ethereum","ETH","Ethereum",2016-01-24,2,1.9,2.3,1.9,2.14,9669770,163819884,0.600000000000001,0.4
"ethereum","ETH","Ethereum",2016-01-25,2,2.15,2.66,2.06,2.5,10739300,191276220,0.733333333333333,0.6
"ethereum","ETH","Ethereum",2016-01-26,2,2.53,2.84,1.99,2.28,13939200,174275656,0.341176470588235,0.85
"ethereum","ETH","Ethereum",2016-01-27,2,2.25,2.59,2.19,2.39,6961080,182923580,0.5,0.4
"ethereum","ETH","Ethereum",2016-01-28,2,2.41,2.68,2.34,2.53,4903850,193551356,0.558823529411764,0.34
"ethereum","ETH","Ethereum",2016-01-29,2,2.54,2.61,2.3,2.49,6662340,191198055,0.612903225806453,0.31
"ethereum","ETH","Ethereum",2016-01-30,2,2.51,2.61,2.4,2.45,3725080,187435391,0.238095238095239,0.21
"ethereum","ETH","Ethereum",2016-01-31,2,2.44,2.53,2.19,2.31,5847500,176834424,0.352941176470589,0.34
"ethereum","ETH","Ethereum",2016-02-01,2,2.32,2.32,2.12,2.21,3994100,169654871,0.449999999999999,0.2
"ethereum","ETH","Ethereum",2016-02-02,2,2.22,2.45,2.16,2.44,3451270,187200922,0.96551724137931,0.29
"ethereum","ETH","Ethereum",2016-02-03,2,2.43,2.54,2.34,2.53,3987750,194099730,0.95,0.2
"ethereum","ETH","Ethereum",2016-02-04,2,2.53,2.63,2.44,2.58,3552320,197953037,0.736842105263159,0.19
"ethereum","ETH","Ethereum",2016-02-05,2,2.57,2.61,2.47,2.54,2636700,195018592,0.499999999999999,0.14
"ethereum","ETH","Ethereum",2016-02-06,2,2.53,2.56,2.47,2.53,1921240,194733892,0.666666666666662,0.09
"ethereum","ETH","Ethereum",2016-02-07,2,2.54,3.06,2.54,2.96,7007060,227838892,0.807692307692307,0.52
"ethereum","ETH","Ethereum",2016-02-08,2,2.97,3.27,2.88,3.18,9725690,244479014,0.76923076923077,0.39
"ethereum","ETH","Ethereum",2016-02-09,2,3.17,4.04,3.17,4.04,17954000,311075408,1,0.87
"ethereum","ETH","Ethereum",2016-02-10,2,4,4.86,3.78,4.44,28640400,341305129,0.611111111111112,1.08
"ethereum","ETH","Ethereum",2016-02-11,2,4.5,6.29,4.34,6.01,26408200,462770855,0.856410256410256,1.95
"ethereum","ETH","Ethereum",2016-02-12,2,5.95,6.58,5.07,5.55,23360800,427037697,0.317880794701986,1.51
"ethereum","ETH","Ethereum",2016-02-13,2,5.69,5.72,4.19,5.39,24218800,414729231,0.784313725490196,1.53
"ethereum","ETH","Ethereum",2016-02-14,2,5.4,5.47,4.45,5.24,11226500,403647764,0.774509803921569,1.02
"ethereum","ETH","Ethereum",2016-02-15,2,5.33,5.89,5.02,5.29,13934200,407524960,0.310344827586207,0.87
"ethereum","ETH","Ethereum",2016-02-16,2,5.33,5.47,4.03,4.32,15889100,332648533,0.201388888888889,1.44
"ethereum","ETH","Ethereum",2016-02-17,2,4.29,4.77,3.5,3.76,15451000,289721943,0.204724409448819,1.27
"ethereum","ETH","Ethereum",2016-02-18,2,3.77,4.77,3.42,4.4,17054000,339328346,0.725925925925926,1.35
"ethereum","ETH","Ethereum",2016-02-19,2,4.38,4.79,4.27,4.74,7666320,365577845,0.903846153846155,0.52
"ethereum","ETH","Ethereum",2016-02-20,2,4.68,4.75,4.13,4.34,8631090,335088727,0.338709677419355,0.62
"ethereum","ETH","Ethereum",2016-02-21,2,4.36,4.71,4.23,4.65,6413550,359310563,0.875,0.48
"ethereum","ETH","Ethereum",2016-02-22,2,4.66,5.65,4.64,5.62,15056200,433798974,0.970297029702971,1.01
"ethereum","ETH","Ethereum",2016-02-23,2,5.68,5.95,5.39,5.59,13380600,431598157,0.357142857142857,0.56
"ethereum","ETH","Ethereum",2016-02-24,2,5.6,6.24,5.51,6.24,11426500,481995066,1,0.73
"ethereum","ETH","Ethereum",2016-02-25,2,6.19,6.65,5.55,6.1,21471800,471975064,0.5,1.1
"ethereum","ETH","Ethereum",2016-02-26,2,6.04,6.27,5.74,5.92,9526860,457966535,0.339622641509433,0.53
"ethereum","ETH","Ethereum",2016-02-27,2,5.96,6.53,5.92,6.43,8903210,497119698,0.836065573770492,0.61
"ethereum","ETH","Ethereum",2016-02-28,2,6.41,6.62,6.24,6.47,9851660,500569665,0.605263157894736,0.38
"ethereum","ETH","Ethereum",2016-02-29,2,6.46,6.61,6.05,6.34,7648020,490556570,0.517857142857143,0.56
"ethereum","ETH","Ethereum",2016-03-01,2,6.32,7.91,6.31,7.65,23098100,592677993,0.8375,1.6
"ethereum","ETH","Ethereum",2016-03-02,2,7.63,8.75,7.37,8.47,29130200,655748796,0.797101449275363,1.38
"ethereum","ETH","Ethereum",2016-03-03,2,8.44,10.1,8.33,9.29,40314900,720179291,0.542372881355932,1.77
"ethereum","ETH","Ethereum",2016-03-04,2,9.24,10.41,8.48,10.41,35520100,806593727,1,1.93
"ethereum","ETH","Ethereum",2016-03-05,2,10.37,12.27,9.97,11,56439600,853205226,0.447826086956521,2.3
"ethereum","ETH","Ethereum",2016-03-06,2,11.2,11.84,9.99,11.38,39112000,882886756,0.751351351351352,1.85
"ethereum","ETH","Ethereum",2016-03-07,2,11.43,11.65,9.31,9.55,34085100,741166643,0.102564102564103,2.34
"ethereum","ETH","Ethereum",2016-03-08,2,9.58,10.17,8.82,9.85,25524300,764269545,0.762962962962962,1.35
"ethereum","ETH","Ethereum",2016-03-09,2,9.79,12.05,9.67,11.9,27540500,923733301,0.936974789915967,2.38
"ethereum","ETH","Ethereum",2016-03-10,2,11.88,12.24,10.99,11.31,26851500,877988473,0.256,1.25
"ethereum","ETH","Ethereum",2016-03-11,2,11.22,11.6,10.39,11.08,21002700,861012043,0.570247933884297,1.21
"ethereum","ETH","Ethereum",2016-03-12,2,11.13,13.53,11.09,13.53,48957300,1051728778,1,2.44
"ethereum","ETH","Ethereum",2016-03-13,2,13.51,15.26,13.47,14.48,43915100,1125287882,0.564245810055866,1.79
"ethereum","ETH","Ethereum",2016-03-14,2,14.51,15.01,11.58,12.45,58385100,968384041,0.253644314868804,3.43
"ethereum","ETH","Ethereum",2016-03-15,2,13,13.2,12.05,13.01,28404500,1012119266,0.834782608695651,1.15
"ethereum","ETH","Ethereum",2016-03-16,2,13.02,13.73,12.5,12.52,24335500,974447125,0.0162601626016257,1.23
"ethereum","ETH","Ethereum",2016-03-17,2,12.56,12.64,10.44,11.08,41650600,865792703,0.290909090909091,2.2
"ethereum","ETH","Ethereum",2016-03-18,2,11.11,11.18,8.52,11,53956800,859618881,0.932330827067669,2.66
"ethereum","ETH","Ethereum",2016-03-19,2,11.2,11.2,9.78,10.53,26735700,823422650,0.528169014084507,1.42
"ethereum","ETH","Ethereum",2016-03-20,2,10.52,10.9,9.57,10.32,17651100,807256577,0.56390977443609,1.33
"ethereum","ETH","Ethereum",2016-03-21,2,10.3,12.01,10.16,11.86,28572600,928428770,0.918918918918919,1.85
"ethereum","ETH","Ethereum",2016-03-22,2,11.88,12.03,11.18,11.27,19730300,883434497,0.105882352941176,0.85
"ethereum","ETH","Ethereum",2016-03-23,2,11.33,12.43,11.24,12.42,19353200,973296475,0.991596638655462,1.19
"ethereum","ETH","Ethereum",2016-03-24,2,12.44,12.5,10.8,11.23,26081800,881027910,0.252941176470588,1.7
"ethereum","ETH","Ethereum",2016-03-25,2,11.26,11.37,10.53,10.74,13782000,842804289,0.250000000000001,0.84
"ethereum","ETH","Ethereum",2016-03-26,2,10.77,11.18,10.59,10.97,9425480,861261383,0.644067796610171,0.59
"ethereum","ETH","Ethereum",2016-03-27,2,10.99,11.05,10.11,10.42,16744800,818048967,0.329787234042554,0.94
"ethereum","ETH","Ethereum",2016-03-28,2,10.43,11.86,10.41,11.67,23188300,916272916,0.868965517241379,1.45
"ethereum","ETH","Ethereum",2016-03-29,2,11.75,11.91,11.35,11.66,17684200,915917612,0.553571428571429,0.56
"ethereum","ETH","Ethereum",2016-03-30,2,11.61,12.18,11.47,11.95,19351200,939593767,0.676056338028167,0.71
"ethereum","ETH","Ethereum",2016-03-31,2,11.92,12.01,11.32,11.4,14966700,896764774,0.115942028985507,0.69
"ethereum","ETH","Ethereum",2016-04-01,2,11.4,11.85,11.4,11.66,11373100,917590806,0.577777777777777,0.45
"ethereum","ETH","Ethereum",2016-04-02,2,11.63,11.69,11.4,11.6,8682620,912861404,0.689655172413791,0.29
"ethereum","ETH","Ethereum",2016-04-03,2,11.63,11.71,11.51,11.62,5580550,914757199,0.549999999999997,0.2
"ethereum","ETH","Ethereum",2016-04-04,2,11.62,11.62,11.02,11.16,9599070,878817015,0.233333333333334,0.6
"ethereum","ETH","Ethereum",2016-04-05,2,11.21,11.21,10.13,10.44,20557300,822498173,0.287037037037036,1.08
"ethereum","ETH","Ethereum",2016-04-06,2,10.45,10.97,10.28,10.69,16997100,842318789,0.594202898550725,0.69
"ethereum","ETH","Ethereum",2016-04-07,2,10.7,10.81,9.95,10.07,13464500,794097554,0.139534883720931,0.86
"ethereum","ETH","Ethereum",2016-04-08,2,10.08,10.39,9.66,9.72,14660600,766797893,0.0821917808219185,0.73
"ethereum","ETH","Ethereum",2016-04-09,2,9.69,10.09,9.07,9.15,16194800,722193576,0.0784313725490197,1.02
"ethereum","ETH","Ethereum",2016-04-10,2,9.15,9.22,7.46,8.94,42613400,705565730,0.840909090909091,1.76
"ethereum","ETH","Ethereum",2016-04-11,2,8.94,8.95,8,8.64,15138100,682735835,0.673684210526316,0.95
"ethereum","ETH","Ethereum",2016-04-12,2,8.64,8.64,7.15,7.44,23190100,588069234,0.194630872483222,1.49
"ethereum","ETH","Ethereum",2016-04-13,2,7.44,8.72,7.07,8.04,31403300,635899507,0.587878787878787,1.65
"ethereum","ETH","Ethereum",2016-04-14,2,8.08,8.76,8.02,8.39,13590700,663262434,0.500000000000001,0.74
"ethereum","ETH","Ethereum",2016-04-15,2,8.39,8.62,8.1,8.24,12179000,652099781,0.26923076923077,0.52
"ethereum","ETH","Ethereum",2016-04-16,2,8.24,8.65,8.11,8.61,9888460,681383666,0.925925925925926,0.54
"ethereum","ETH","Ethereum",2016-04-17,2,8.62,9.7,8.56,9.31,24619600,737045140,0.657894736842105,1.14
"ethereum","ETH","Ethereum",2016-04-18,2,9.33,9.51,8.5,9.04,21084100,715710193,0.534653465346534,1.01
"ethereum","ETH","Ethereum",2016-04-19,2,9.08,9.31,8.6,8.71,12899100,690548723,0.15492957746479,0.71
"ethereum","ETH","Ethereum",2016-04-20,2,8.69,8.83,8.31,8.47,15634700,671081004,0.307692307692308,0.52
"ethereum","ETH","Ethereum",2016-04-21,2,8.45,8.72,7.96,8.1,13355400,642511137,0.184210526315789,0.76
"ethereum","ETH","Ethereum",2016-04-22,2,8.15,8.27,7.67,7.82,13309300,620481616,0.250000000000001,0.6
"ethereum","ETH","Ethereum",2016-04-23,2,7.79,8.55,7.74,8.29,14565200,658310822,0.679012345679011,0.81
"ethereum","ETH","Ethereum",2016-04-24,2,8.29,8.47,7.96,8,10786400,635274078,0.0784313725490197,0.51
