"slug","symbol","name","date","ranknow","open","high","low","close","volume","market","close_ratio","spread"
"huobi-token","HT","Huobi Token",2018-02-03,67,1.49,1.51,1.42,1.43,80901800,0,0.111111111111111,0.09
"huobi-token","HT","Huobi Token",2018-02-04,67,1.43,1.52,1.34,1.4,88995400,0,0.333333333333332,0.18
"huobi-token","HT","Huobi Token",2018-02-05,67,1.39,1.4,1.19,1.2,73913504,0,0.0476190476190477,0.21
"huobi-token","HT","Huobi Token",2018-02-06,67,1.21,1.35,1.13,1.35,130838000,0,1,0.22
"huobi-token","HT","Huobi Token",2018-02-07,67,1.34,1.39,1.22,1.29,74229696,0,0.411764705882353,0.17
"huobi-token","HT","Huobi Token",2018-02-08,67,1.28,1.49,1.28,1.43,140400992,0,0.714285714285714,0.21
"huobi-token","HT","Huobi Token",2018-02-09,67,1.43,1.59,1.38,1.59,305078016,0,1,0.21
"huobi-token","HT","Huobi Token",2018-02-10,67,1.58,1.59,1.48,1.55,125255000,0,0.636363636363637,0.11
"huobi-token","HT","Huobi Token",2018-02-11,67,1.55,1.58,1.45,1.54,107127000,0,0.692307692307693,0.13
"huobi-token","HT","Huobi Token",2018-02-12,67,1.54,1.59,1.54,1.57,113683000,0,0.600000000000001,0.05
"huobi-token","HT","Huobi Token",2018-02-13,67,1.58,2.43,1.56,2.19,185762000,0,0.724137931034483,0.87
"huobi-token","HT","Huobi Token",2018-02-14,67,2.19,2.83,2.05,2.83,308817984,0,1,0.78
"huobi-token","HT","Huobi Token",2018-02-15,67,2.78,2.81,2.34,2.37,303590016,0,0.0638297872340431,0.47
"huobi-token","HT","Huobi Token",2018-02-16,67,2.36,2.53,2.26,2.49,177184992,0,0.851851851851853,0.27
"huobi-token","HT","Huobi Token",2018-02-17,67,2.49,2.62,2.44,2.56,158970000,0,0.666666666666667,0.18
"huobi-token","HT","Huobi Token",2018-02-18,67,2.57,2.57,2.32,2.35,141112992,0,0.120000000000001,0.25
"huobi-token","HT","Huobi Token",2018-02-19,67,2.34,2.58,2.34,2.51,137335008,0,0.708333333333333,0.24
"huobi-token","HT","Huobi Token",2018-02-20,67,2.5,2.67,2.42,2.43,156439008,0,0.0400000000000009,0.25
"huobi-token","HT","Huobi Token",2018-02-21,67,2.43,2.48,2.31,2.36,146902000,0,0.294117647058822,0.17
"huobi-token","HT","Huobi Token",2018-02-22,67,2.36,2.48,2.14,2.17,166988000,0,0.0882352941176465,0.34
"huobi-token","HT","Huobi Token",2018-02-23,67,2.16,2.32,2.05,2.3,168072000,0,0.925925925925926,0.27
"huobi-token","HT","Huobi Token",2018-02-24,67,2.3,2.4,2.2,2.27,163304992,0,0.349999999999999,0.2
"huobi-token","HT","Huobi Token",2018-02-25,67,2.27,2.33,2.17,2.24,125886000,0,0.437500000000002,0.16
"huobi-token","HT","Huobi Token",2018-02-26,67,2.24,2.33,2.17,2.31,121620000,0,0.875000000000001,0.16
