"slug","symbol","name","date","ranknow","open","high","low","close","volume","market","close_ratio","spread"
"icon","ICX","ICON",2017-10-27,46,0.408919,0.571872,0.403292,0.497052,71509,0,0.556109134045077,0.17
"icon","ICX","ICON",2017-10-28,46,0.497721,0.582964,0.397951,0.477654,68469,0,0.430827027027027,0.19
"icon","ICX","ICON",2017-10-29,46,0.477424,0.491858,0.431237,0.455864,27956,0,0.406386138613862,0.06
"icon","ICX","ICON",2017-10-30,46,0.453817,0.578122,0.42357,0.565623,21873,0,0.918842173350582,0.15
"icon","ICX","ICON",2017-10-31,46,0.534153,0.764108,0.5135,0.685691,110856,0,0.687114924181964,0.25
"icon","ICX","ICON",2017-11-01,46,0.665505,1.22,0.661789,1.08,241493,0,0.749213543532784,0.56
"icon","ICX","ICON",2017-11-02,46,1.08,1.24,0.879071,1.17,276079,0,0.80612080908839,0.36
"icon","ICX","ICON",2017-11-03,46,1.18,1.35,0.990123,1.35,51631,0,0.999936093359267,0.36
"icon","ICX","ICON",2017-11-04,46,1.35,1.41,1.15,1.4,55451,0,0.961538461538461,0.26
"icon","ICX","ICON",2017-11-05,46,1.24,1.61,1.23,1.58,88534,0,0.921052631578948,0.38
"icon","ICX","ICON",2017-11-06,46,1.59,2.07,1.39,1.73,348604,0,0.5,0.68
"icon","ICX","ICON",2017-11-07,46,1.73,2.01,0.763202,1.41,476528,0,0.518766442091755,1.25
"icon","ICX","ICON",2017-11-08,46,1.41,1.41,0.971682,1.32,126020,0,0.794702258726899,0.44
"icon","ICX","ICON",2017-11-09,46,1.31,1.56,1.16,1.22,88687,0,0.15,0.4
"icon","ICX","ICON",2017-11-10,46,1.23,1.36,0.854839,0.916497,172543,0,0.122046714172605,0.51
"icon","ICX","ICON",2017-11-11,46,0.913627,1.05,0.731008,1.05,87265,0,0.999974921630094,0.32
"icon","ICX","ICON",2017-11-12,46,1.05,1.1,0.800991,1.04,63451,0,0.799361204013378,0.3
"icon","ICX","ICON",2017-11-13,46,1.04,1.12,0.922808,0.957364,26404,0,0.175233265720081,0.2
"icon","ICX","ICON",2017-11-14,46,0.958108,1.1,0.9053,1.06,35891,0,0.794555726759117,0.19
"icon","ICX","ICON",2017-11-15,46,1.06,1.09,0.976417,1,36238,0,0.207596830985916,0.11
"icon","ICX","ICON",2017-11-16,46,1,1.12,0.985271,1.04,32680,0,0.40630289532294,0.13
"icon","ICX","ICON",2017-11-17,46,1.03,1.11,0.891679,0.975336,31045,0,0.383220338983051,0.22
"icon","ICX","ICON",2017-11-18,46,0.973898,1.13,0.87775,0.978447,42698,0,0.399274385408406,0.25
"icon","ICX","ICON",2017-11-19,46,0.969894,1.12,0.907682,1,17206,0,0.434846914743288,0.21
"icon","ICX","ICON",2017-11-20,46,1,1.13,0.919725,0.964074,37446,0,0.210884450784593,0.21
"icon","ICX","ICON",2017-11-21,46,0.963688,1.06,0.878585,1.05,53901,0,0.944955898566704,0.18
"icon","ICX","ICON",2017-11-22,46,1.06,1.09,0.946389,1.09,29666,0,1.00007660167131,0.14
"icon","ICX","ICON",2017-11-23,46,1.09,1.14,0.936029,1.01,39387,0,0.362602941176471,0.2
"icon","ICX","ICON",2017-11-24,46,1.01,1.11,0.973021,1.1,63073,0,0.926854014598541,0.14
"icon","ICX","ICON",2017-11-25,46,1.1,1.2,1.09,1.19,12393,0,0.909090909090908,0.11
"icon","ICX","ICON",2017-11-26,46,1.13,1.18,0.959147,1,52840,0,0.184938886373925,0.22
"icon","ICX","ICON",2017-11-27,46,1,1.66,1,1.45,126392,0,0.681818181818182,0.66
"icon","ICX","ICON",2017-11-28,46,1.4,1.63,1.4,1.62,117213,0,0.956521739130436,0.23
"icon","ICX","ICON",2017-11-29,46,1.63,1.74,1.09,1.1,90903,0,0.0153846153846154,0.65
"icon","ICX","ICON",2017-11-30,46,1.12,1.63,1.11,1.35,23448,0,0.461538461538462,0.52
"icon","ICX","ICON",2017-12-01,46,1.35,1.65,1.26,1.46,97184,0,0.512820512820513,0.39
"icon","ICX","ICON",2017-12-02,46,1.46,1.64,1.46,1.62,25697,0,0.88888888888889,0.18
"icon","ICX","ICON",2017-12-03,46,1.62,1.65,1.43,1.55,37541,0,0.545454545454546,0.22
"icon","ICX","ICON",2017-12-04,46,1.55,1.59,1.15,1.16,95590,0,0.0227272727272727,0.44
"icon","ICX","ICON",2017-12-05,46,1.16,1.68,1.16,1.58,62904,0,0.807692307692308,0.52
"icon","ICX","ICON",2017-12-06,46,1.58,1.81,1.57,1.75,216482,0,0.75,0.24
"icon","ICX","ICON",2017-12-07,46,1.75,2.07,1.64,1.9,199030,0,0.604651162790698,0.43
"icon","ICX","ICON",2017-12-08,46,1.78,1.84,1.51,1.78,87178,0,0.818181818181818,0.33
"icon","ICX","ICON",2017-12-09,46,1.78,1.91,1.59,1.88,68996,0,0.906249999999999,0.32
"icon","ICX","ICON",2017-12-10,46,1.88,1.93,1.61,1.76,83091,0,0.46875,0.32
"icon","ICX","ICON",2017-12-11,46,1.75,2.05,1.69,1.98,76913,0,0.805555555555556,0.36
"icon","ICX","ICON",2017-12-12,46,1.97,2.35,1.9,2.11,162836,0,0.466666666666667,0.45
"icon","ICX","ICON",2017-12-13,46,2.11,2.31,1.86,2.03,60800,0,0.377777777777777,0.45
"icon","ICX","ICON",2017-12-14,46,2.02,2.13,1.92,2.02,35517,0,0.476190476190477,0.21
"icon","ICX","ICON",2017-12-15,46,2.03,2.7,1.9,2.4,130752,0,0.625,0.8
"icon","ICX","ICON",2017-12-16,46,2.4,3.26,2.37,2.6,209230,0,0.258426966292135,0.89
"icon","ICX","ICON",2017-12-17,46,2.6,3.24,2.25,2.83,219214,0,0.585858585858586,0.99
"icon","ICX","ICON",2017-12-18,46,2.83,3.54,1.55,2.16,206304992,0,0.306532663316583,1.99
"icon","ICX","ICON",2017-12-19,46,2.14,2.44,2.04,2.14,52223100,0,0.25,0.4
"icon","ICX","ICON",2017-12-20,46,2.14,2.21,1.88,2.16,46317300,0,0.848484848484849,0.33
"icon","ICX","ICON",2017-12-21,46,2.16,2.99,2.14,2.91,86107904,0,0.905882352941176,0.85
"icon","ICX","ICON",2017-12-22,46,2.94,3.13,1.97,2.73,55008500,0,0.655172413793104,1.16
"icon","ICX","ICON",2017-12-23,46,2.75,4.39,2.75,4.06,96608400,0,0.798780487804878,1.64
"icon","ICX","ICON",2017-12-24,46,4.12,4.34,3.25,4.34,51895300,0,1,1.09
"icon","ICX","ICON",2017-12-25,46,4.4,7.1,4.4,6.91,200710000,1976421483,0.929629629629629,2.7
"icon","ICX","ICON",2017-12-26,46,6.99,7.34,4.97,6.18,217604992,1766587955,0.510548523206751,2.37
"icon","ICX","ICON",2017-12-27,46,6.28,6.28,4.83,5.19,124386000,1483225928,0.248275862068966,1.45
"icon","ICX","ICON",2017-12-28,46,5.13,6.04,4.44,5.79,143200992,1989942656,0.84375,1.6
"icon","ICX","ICON",2017-12-29,46,5.84,6.04,5.2,5.51,72316600,2077451481,0.369047619047619,0.84
"icon","ICX","ICON",2017-12-30,46,5.53,5.53,4.77,5.2,65365800,1961218428,0.565789473684211,0.76
"icon","ICX","ICON",2017-12-31,46,5.18,5.51,5.02,5.35,62230900,2017629580,0.673469387755102,0.49
"icon","ICX","ICON",2018-01-01,46,5.35,6.43,4.98,6.16,103225000,2320436263,0.813793103448276,1.45
"icon","ICX","ICON",2018-01-02,46,6.18,7.11,5.68,6.49,159428992,2450731463,0.566433566433567,1.43
"icon","ICX","ICON",2018-01-03,46,6.48,7.41,6.25,7.34,147000000,2772339400,0.939655172413793,1.16
"icon","ICX","ICON",2018-01-04,46,7.4,8.08,6.78,7.24,160103008,2740824825,0.353846153846154,1.3
"icon","ICX","ICON",2018-01-05,46,7.31,7.89,6.37,6.84,161902000,2589781583,0.309210526315789,1.52
"icon","ICX","ICON",2018-01-06,46,6.89,7.94,6.76,7.76,149783008,2938194405,0.847457627118644,1.18
"icon","ICX","ICON",2018-01-07,46,7.79,10.5,7.76,9.92,283777984,3754428287,0.788321167883212,2.74
"icon","ICX","ICON",2018-01-08,46,9.86,11.28,8.87,10.41,227863008,3941826992,0.639004149377594,2.41
"icon","ICX","ICON",2018-01-09,46,10.38,12.64,10.34,12.19,259024000,4613857939,0.804347826086956,2.3
"icon","ICX","ICON",2018-01-10,46,12.27,12.33,10.31,11.04,151608992,4180499617,0.361386138613861,2.02
"icon","ICX","ICON",2018-01-11,46,11.07,11.68,7.76,9.2,200895008,3481970519,0.36734693877551,3.92
"icon","ICX","ICON",2018-01-12,46,9.2,10.35,8.66,9.96,114801000,3771137263,0.76923076923077,1.69
"icon","ICX","ICON",2018-01-13,46,9.92,10.42,9.41,9.92,107243000,3756979680,0.504950495049505,1.01
"icon","ICX","ICON",2018-01-14,46,9.91,10.83,9.47,10.59,106777000,4024106525,0.823529411764705,1.36
"icon","ICX","ICON",2018-01-15,46,10.61,10.78,9.49,9.87,95147400,3752571970,0.294573643410852,1.29
"icon","ICX","ICON",2018-01-16,46,9.89,9.91,5.82,7.51,113491000,2854316601,0.41320293398533,4.09
"icon","ICX","ICON",2018-01-17,46,7.45,8.12,4.99,7.47,106760000,2838715754,0.792332268370607,3.13
"icon","ICX","ICON",2018-01-18,46,7.5,8.7,6.95,7.93,91459000,3014779203,0.56,1.75
"icon","ICX","ICON",2018-01-19,46,7.86,8.77,7.38,8.43,77194800,3203821189,0.755395683453237,1.39
"icon","ICX","ICON",2018-01-20,46,8.54,10.68,8.54,10.33,118950000,3926282941,0.836448598130841,2.14
"icon","ICX","ICON",2018-01-21,46,10.29,10.33,8.38,8.88,79298200,3375559726,0.256410256410256,1.95
"icon","ICX","ICON",2018-01-22,46,9.02,9.3,7.38,8.16,85710096,3100300730,0.40625,1.92
"icon","ICX","ICON",2018-01-23,46,8.12,8.73,7.18,8.12,87696600,3084407248,0.606451612903225,1.55
"icon","ICX","ICON",2018-01-24,46,8.1,9.3,7.51,8.34,184779008,3168176768,0.463687150837989,1.79
"icon","ICX","ICON",2018-01-25,46,8.38,8.73,7.65,7.84,84307600,2979568033,0.175925925925925,1.08
"icon","ICX","ICON",2018-01-26,46,7.82,8.1,6.94,7.94,65230500,3017986783,0.862068965517241,1.16
"icon","ICX","ICON",2018-01-27,46,7.93,8.07,7.67,7.86,42756600,2988563698,0.475000000000001,0.4
"icon","ICX","ICON",2018-01-28,46,7.94,9.63,7.91,9.41,154715008,3576766952,0.872093023255814,1.72
"icon","ICX","ICON",2018-01-29,46,9.43,9.63,8.62,9.47,120820000,3609494262,0.841584158415843,1.01
"icon","ICX","ICON",2018-01-30,46,9.52,10.08,7.94,8.27,205956992,3152450126,0.154205607476635,2.14
"icon","ICX","ICON",2018-01-31,46,8.27,8.82,7.15,7.68,178996992,2929600984,0.317365269461077,1.67
"icon","ICX","ICON",2018-02-01,46,7.72,7.75,5.43,6.09,128136000,2322883872,0.28448275862069,2.32
"icon","ICX","ICON",2018-02-02,46,6.08,6.08,3.77,5.3,94399400,2021925254,0.662337662337662,2.31
"icon","ICX","ICON",2018-02-03,46,5.3,5.96,4.71,5.43,47213900,2070945736,0.576,1.25
"icon","ICX","ICON",2018-02-04,46,5.44,5.48,4.03,4.36,54855100,1661696907,0.227586206896552,1.45
"icon","ICX","ICON",2018-02-05,46,4.27,4.35,2.58,3.08,83113104,1173616001,0.282485875706215,1.77
"icon","ICX","ICON",2018-02-06,46,3.08,4.7,2.4,4.41,163330000,1683003404,0.873913043478261,2.3
"icon","ICX","ICON",2018-02-07,46,4.38,4.84,3.74,3.81,90748200,1453896573,0.0636363636363635,1.1
"icon","ICX","ICON",2018-02-08,46,3.82,4.5,3.82,4.33,99461296,1653365056,0.75,0.68
"icon","ICX","ICON",2018-02-09,46,4.35,4.58,4.1,4.57,10375600,1744927674,0.979166666666668,0.48
"icon","ICX","ICON",2018-02-10,46,4.57,4.71,3.78,4.09,57370900,1559002264,0.333333333333333,0.93
"icon","ICX","ICON",2018-02-11,46,4.04,4.15,3.42,3.8,55951900,1450787389,0.520547945205479,0.73
"icon","ICX","ICON",2018-02-12,46,3.86,4.48,3.86,4.25,51677700,1620617524,0.629032258064516,0.62
