"slug","symbol","name","date","ranknow","open","high","low","close","volume","market","close_ratio","spread"
"kucoin-shares","KCS","KuCoin Shares",2017-10-24,79,0.692158,0.726134,0.692158,0.724746,2017060,0,0.958470588235293,0.03
"kucoin-shares","KCS","KuCoin Shares",2017-10-25,79,0.716824,1.14,0.709968,0.860783,3404580,0,0.350732558139535,0.43
"kucoin-shares","KCS","KuCoin Shares",2017-10-26,79,0.816446,0.871237,0.778963,0.814167,1784580,0,0.381408450704226,0.09
"kucoin-shares","KCS","KuCoin Shares",2017-10-27,79,0.841573,0.895561,0.78919,0.894017,1523440,0,0.985216165413534,0.11
"kucoin-shares","KCS","KuCoin Shares",2017-10-28,79,0.89267,0.996267,0.815472,0.95063,3648650,0,0.747555309734513,0.18
"kucoin-shares","KCS","KuCoin Shares",2017-10-29,79,0.947845,0.994032,0.871372,0.919535,1853410,0,0.392526487367563,0.12
"kucoin-shares","KCS","KuCoin Shares",2017-10-30,79,0.917524,0.933216,0.807256,0.811372,1559350,0,0.0326666666666667,0.13
"kucoin-shares","KCS","KuCoin Shares",2017-10-31,79,0.828303,0.836717,0.76287,0.812084,1546320,0,0.666856368563685,0.07
"kucoin-shares","KCS","KuCoin Shares",2017-11-01,79,0.79765,0.802883,0.634786,0.648378,1792300,0,0.0808566329565738,0.17
"kucoin-shares","KCS","KuCoin Shares",2017-11-02,79,0.644748,0.68256,0.560945,0.649124,1594320,0,0.72515625,0.12
"kucoin-shares","KCS","KuCoin Shares",2017-11-03,79,0.653982,0.790925,0.628233,0.718425,1270970,65407622,0.554345421020282,0.16
"kucoin-shares","KCS","KuCoin Shares",2017-11-04,79,0.697847,0.780875,0.696314,0.745875,745641,0,0.585827423167848,0.08
"kucoin-shares","KCS","KuCoin Shares",2017-11-05,79,0.74495,0.770424,0.697926,0.701647,912388,0,0.0513241379310341,0.07
"kucoin-shares","KCS","KuCoin Shares",2017-11-06,79,0.702829,0.715416,0.65003,0.660741,832052,60155893,0.163776758409786,0.07
"kucoin-shares","KCS","KuCoin Shares",2017-11-07,79,0.660032,0.684822,0.637738,0.675723,664839,61519900,0.806475583864117,0.05
"kucoin-shares","KCS","KuCoin Shares",2017-11-08,79,0.666174,0.762702,0.643663,0.742394,906238,67589833,0.829672268907563,0.12
"kucoin-shares","KCS","KuCoin Shares",2017-11-09,79,0.742669,0.759107,0.678203,0.708345,783159,64489908,0.372583436341162,0.08
"kucoin-shares","KCS","KuCoin Shares",2017-11-10,79,0.708949,0.746257,0.637264,0.643426,738533,58579482,0.0565321100917431,0.11
"kucoin-shares","KCS","KuCoin Shares",2017-11-11,79,0.640535,0.670578,0.605406,0.617541,1181340,56222832,0.186119631901841,0.07
"kucoin-shares","KCS","KuCoin Shares",2017-11-12,79,0.617196,0.617196,0.534593,0.555259,577273,50552487,0.250193704600484,0.08
"kucoin-shares","KCS","KuCoin Shares",2017-11-13,79,0.556067,0.613144,0.544102,0.581123,469831,52907225,0.536536231884058,0.07
"kucoin-shares","KCS","KuCoin Shares",2017-11-14,79,0.581439,0.60158,0.531919,0.548587,424516,49945048,0.239139167862267,0.07
"kucoin-shares","KCS","KuCoin Shares",2017-11-15,79,0.545852,0.568452,0.505715,0.555834,902104,50604837,0.799346092503988,0.06
"kucoin-shares","KCS","KuCoin Shares",2017-11-16,79,0.560148,0.780133,0.560148,0.645261,1471310,58746546,0.386877272727273,0.22
"kucoin-shares","KCS","KuCoin Shares",2017-11-17,79,0.640038,0.670643,0.602721,0.611706,705094,55691596,0.132326951399117,0.07
"kucoin-shares","KCS","KuCoin Shares",2017-11-18,79,0.629621,0.673985,0.585989,0.654619,516701,59598527,0.779886363636363,0.09
"kucoin-shares","KCS","KuCoin Shares",2017-11-19,79,0.655342,0.67698,0.617194,0.625842,356011,56978581,0.144615384615384,0.06
"kucoin-shares","KCS","KuCoin Shares",2017-11-20,79,0.623782,0.695231,0.610144,0.658254,728223,59929469,0.565334900117509,0.09
"kucoin-shares","KCS","KuCoin Shares",2017-11-21,79,0.656753,0.66106,0.590135,0.625799,630773,56974666,0.503018335684062,0.07
"kucoin-shares","KCS","KuCoin Shares",2017-11-22,79,0.626271,0.63483,0.574463,0.59003,626906,53718146,0.257731788079472,0.06
"kucoin-shares","KCS","KuCoin Shares",2017-11-23,79,0.585081,0.611303,0.547921,0.559698,940973,50956628,0.185757097791799,0.06
"kucoin-shares","KCS","KuCoin Shares",2017-11-24,79,0.558026,0.586872,0.508441,0.564021,1134370,51350207,0.708928571428571,0.08
"kucoin-shares","KCS","KuCoin Shares",2017-11-25,79,0.564712,0.597503,0.531484,0.560301,1223110,51011527,0.436621212121214,0.07
"kucoin-shares","KCS","KuCoin Shares",2017-11-26,79,0.556473,0.577325,0.55325,0.559883,1271950,50973471,0.275228215767635,0.02
"kucoin-shares","KCS","KuCoin Shares",2017-11-27,79,0.559136,0.579724,0.474614,0.518438,1225500,47200190,0.41697431018078,0.11
"kucoin-shares","KCS","KuCoin Shares",2017-11-28,79,0.518246,0.522229,0.478684,0.482498,1045810,43928102,0.0876781609195399,0.04
"kucoin-shares","KCS","KuCoin Shares",2017-11-29,79,0.481828,0.561054,0.44705,0.448891,1227570,40868417,0.0161491228070174,0.11
"kucoin-shares","KCS","KuCoin Shares",2017-11-30,79,0.459544,0.499125,0.412428,0.45514,751141,41437346,0.492641291810842,0.09
