"slug","symbol","name","date","ranknow","open","high","low","close","volume","market","close_ratio","spread"
"latoken","LA","LATOKEN",2017-10-25,129,0.217856,0.304995,0.217856,0.282686,163778,0,0.744316877152698,0.09
"latoken","LA","LATOKEN",2017-10-26,129,0.261675,0.294792,0.19269,0.203819,94909,0,0.109000979431929,0.1
"latoken","LA","LATOKEN",2017-10-27,129,0.203424,0.223151,0.196096,0.20876,44620,0,0.467306273062731,0.03
"latoken","LA","LATOKEN",2017-10-28,129,0.208916,0.211826,0.177914,0.182373,169300,0,0.131533923303835,0.03
"latoken","LA","LATOKEN",2017-10-29,129,0.182293,0.204654,0.166256,0.176697,371769,0,0.271901041666667,0.04
"latoken","LA","LATOKEN",2017-10-30,129,0.176341,0.188365,0.127585,0.137675,75396,0,0.165953947368421,0.06
"latoken","LA","LATOKEN",2017-10-31,129,0.137909,0.281375,0.120103,0.188174,134972,0,0.422014879107254,0.16
"latoken","LA","LATOKEN",2017-11-01,129,0.187828,0.187828,0.127933,0.130348,63247,0,0.0403171953255426,0.06
"latoken","LA","LATOKEN",2017-11-02,129,0.130708,0.158288,0.118092,0.137264,166937,0,0.476915422885572,0.04
"latoken","LA","LATOKEN",2017-11-03,129,0.13795,0.149073,0.128902,0.143688,211073,0,0.731980198019803,0.02
"latoken","LA","LATOKEN",2017-11-04,129,0.143714,0.151258,0.136499,0.143353,214625,0,0.463108108108108,0.01
"latoken","LA","LATOKEN",2017-11-05,129,0.143542,0.146483,0.133735,0.135813,311346,0,0.163622047244094,0.01
"latoken","LA","LATOKEN",2017-11-06,129,0.13594,0.14483,0.118323,0.136692,39709,2777993,0.693169811320755,0.03
"latoken","LA","LATOKEN",2017-11-07,129,0.136897,0.143448,0.116045,0.130119,32077,2644410,0.513649635036497,0.03
"latoken","LA","LATOKEN",2017-11-08,129,0.129949,0.148597,0.119517,0.13553,69805,2754378,0.550274914089347,0.03
"latoken","LA","LATOKEN",2017-11-09,129,0.134795,0.166904,0.132134,0.146218,53955,2971590,0.404712643678161,0.03
"latoken","LA","LATOKEN",2017-11-10,129,0.146287,0.161755,0.134477,0.139843,54039,2842031,0.196556776556776,0.03
"latoken","LA","LATOKEN",2017-11-11,129,0.139479,0.154393,0.135606,0.14344,17775,2915133,0.416702127659575,0.02
"latoken","LA","LATOKEN",2017-11-12,129,0.143425,0.151532,0.110808,0.110825,29738,2252298,0.000417690417690494,0.04
"latoken","LA","LATOKEN",2017-11-13,129,0.111001,0.148139,0.109787,0.130023,48950,2642459,0.526979166666667,0.04
"latoken","LA","LATOKEN",2017-11-14,129,0.130017,0.149797,0.11746,0.135975,15938,5482921,0.573219814241487,0.03
"latoken","LA","LATOKEN",2017-11-15,129,0.136049,0.172562,0.117262,0.139784,50308,5636512,0.407269439421338,0.06
"latoken","LA","LATOKEN",2017-11-16,129,0.13967,0.148728,0.126702,0.145105,28610,5851070,0.8365,0.02
"latoken","LA","LATOKEN",2017-11-17,129,0.145002,0.145002,0.113215,0.11678,34377,4708921,0.112106918238994,0.03
"latoken","LA","LATOKEN",2017-11-18,129,0.116585,0.128928,0.113293,0.119169,18948,4805253,0.376666666666666,0.02
"latoken","LA","LATOKEN",2017-11-19,129,0.118846,0.178697,0.117859,0.13597,51372,5482720,0.297878289473684,0.06
"latoken","LA","LATOKEN",2017-11-20,129,0.13581,0.13834,0.11666,0.125691,30986,5068239,0.416175115207373,0.02
"latoken","LA","LATOKEN",2017-11-21,129,0.125493,0.130195,0.109761,0.124766,25567,5030941,0.735539215686275,0.02
"latoken","LA","LATOKEN",2017-11-22,129,0.124956,0.160931,0.12111,0.155113,44326,6254623,0.854346733668342,0.04
"latoken","LA","LATOKEN",2017-11-23,129,0.155462,0.214868,0.147778,0.195824,49530,7896213,0.716035767511177,0.07
"latoken","LA","LATOKEN",2017-11-24,129,0.194844,0.197756,0.173334,0.186823,37749,7533266,0.552827868852459,0.02
"latoken","LA","LATOKEN",2017-11-25,129,0.186802,0.19727,0.161074,0.169001,29733,6814629,0.218977900552487,0.04
"latoken","LA","LATOKEN",2017-11-26,129,0.168976,0.192491,0.158529,0.180983,13097,7297779,0.660411764705882,0.03
