"slug","symbol","name","date","ranknow","open","high","low","close","volume","market","close_ratio","spread"
"lykke","LKK","Lykke",2016-11-14,1174,0.04787,0.04787,0.047747,0.047747,74389,0,0,0
"lykke","LKK","Lykke",2016-11-15,1174,0.047797,0.047798,0.047337,0.047466,148901,0,0.258000000000008,0
"lykke","LKK","Lykke",2016-11-16,1174,0.047466,0.047553,0.047288,0.047469,165986,0,0.603333333333335,0
"lykke","LKK","Lykke",2016-11-17,1174,0.047469,0.047469,0.047244,0.047261,174691,0,0.0849999999999809,0
"lykke","LKK","Lykke",2016-11-18,1174,0.04719,0.047446,0.047079,0.047088,109794,0,0.0224999999999878,0
"lykke","LKK","Lykke",2016-11-19,1174,0.047156,0.047156,0.046935,0.046935,32027,0,0,0
"lykke","LKK","Lykke",2016-11-20,1174,0.046935,0.046935,0.046857,0.046857,37019,0,0,0
"lykke","LKK","Lykke",2016-11-21,1174,0.046863,0.047009,0.046799,0.046799,55514,0,0,0
"lykke","LKK","Lykke",2016-11-22,1174,0.046875,0.046875,0.046638,0.046715,126665,0,0.385000000000003,0
"lykke","LKK","Lykke",2016-11-23,1174,0.046733,0.046734,0.046547,0.046686,47841,0,0.695000000000001,0
"lykke","LKK","Lykke",2016-11-24,1174,0.046683,0.046709,0.0453,0.045652,149585,0,0.25142857142857,0
"lykke","LKK","Lykke",2016-11-25,1174,0.045639,0.045687,0.04527,0.045271,104415,0,0.0025000000000025,0
"lykke","LKK","Lykke",2016-11-26,1174,0.045271,0.046432,0.045271,0.046432,4421,0,0.967500000000002,0
"lykke","LKK","Lykke",2016-11-27,1174,0.046432,0.04651,0.046178,0.04651,6,0,1.10666666666669,0
"lykke","LKK","Lykke",2016-11-28,1174,0.04651,0.04651,0.046156,0.046156,62,0,0,0
"lykke","LKK","Lykke",2016-11-29,1174,0.046151,0.04648,0.046087,0.04648,557,1394403,0.982499999999994,0
"lykke","LKK","Lykke",2016-11-30,1174,0.046563,0.046563,0.045725,0.045725,53045,1371762,0,0
"lykke","LKK","Lykke",2016-12-01,1174,0.045725,0.045727,0.04572,0.045727,50987,1371804,Inf,0
"lykke","LKK","Lykke",2016-12-02,1174,0.045729,0.046729,0.045729,0.046729,7131,1401882,1,0
"lykke","LKK","Lykke",2016-12-03,1174,0.046722,0.046746,0.046722,0.046746,7115,1402371,Inf,0
"lykke","LKK","Lykke",2016-12-04,1174,0.046746,0.04678,0.046745,0.04678,2140,1403400,Inf,0
"lykke","LKK","Lykke",2016-12-05,1174,0.04668,0.04669,0.04668,0.046682,6628,1400472,Inf,0
"lykke","LKK","Lykke",2016-12-06,1174,0.046814,0.046936,0.046814,0.046913,38981,1407378,0.990000000000019,0
"lykke","LKK","Lykke",2016-12-07,1174,0.046908,0.04694,0.0469,0.04694,24862,1408200,Inf,0
"lykke","LKK","Lykke",2016-12-08,1174,0.04694,0.04694,0.046596,0.046737,2215,1402113,0.470000000000007,0
"lykke","LKK","Lykke",2016-12-09,1174,0.046471,0.046671,0.04645,0.046566,44900,1396992,0.580000000000025,0
"lykke","LKK","Lykke",2016-12-10,1174,0.046651,0.046898,0.046634,0.046898,193695,1406937,0.880000000000001,0
"lykke","LKK","Lykke",2016-12-11,1174,0.046898,0.047224,0.046598,0.047224,124986,1416711,1.04333333333334,0
"lykke","LKK","Lykke",2016-12-12,1174,0.047211,0.047665,0.047189,0.0475,265630,1424997,0.621999999999998,0
"lykke","LKK","Lykke",2016-12-13,1174,0.047572,0.048454,0.04726,0.048415,633687,1452450,0.962499999999997,0
"lykke","LKK","Lykke",2016-12-14,1174,0.048343,0.057512,0.048343,0.057497,12883,1724919,0.995,0.01
"lykke","LKK","Lykke",2016-12-15,1174,0.056805,0.056805,0.048076,0.048244,737,1447317,0.0193103448275864,0.01
"lykke","LKK","Lykke",2016-12-16,1174,0.048197,0.048981,0.047226,0.048034,11528,1441029,0.448888888888891,0
"lykke","LKK","Lykke",2016-12-17,1174,0.047988,0.052482,0.047986,0.052369,142,1571058,0.974,0
"lykke","LKK","Lykke",2016-12-18,1174,0.052369,0.05237,0.047902,0.048065,60,1441953,0.0362222222222214,0
"lykke","LKK","Lykke",2016-12-19,1174,0.048062,0.048453,0.048057,0.04845,2453,1453500,0.982499999999994,0
