"slug","symbol","name","date","ranknow","open","high","low","close","volume","market","close_ratio","spread"
"lisk","LSK","Lisk",2016-04-06,38,2.04,3.77,1.45,3.77,222502,0,1,2.32
"lisk","LSK","Lisk",2016-04-07,38,3.92,8.29,2.02,4.99,203863,0,0.473684210526316,6.27
"lisk","LSK","Lisk",2016-04-08,38,5.01,7.89,2.5,4.53,468420,0,0.376623376623377,5.39
"lisk","LSK","Lisk",2016-04-09,38,4.06,4.59,2.4,2.44,272260,0,0.0182648401826484,2.19
"lisk","LSK","Lisk",2016-04-10,38,2.44,2.76,1.14,1.37,242123,0,0.141975308641975,1.62
"lisk","LSK","Lisk",2016-04-11,38,1.37,3.17,1.27,3.13,163666,0,0.978947368421053,1.9
"lisk","LSK","Lisk",2016-04-12,38,3.14,3.14,1.17,1.23,117448,0,0.0304568527918782,1.97
"lisk","LSK","Lisk",2016-04-13,38,1.29,1.38,0.977091,1.29,85572,0,0.776641846612063,0.4
"lisk","LSK","Lisk",2016-04-14,38,1,1.31,0.73644,1.19,114725,0,0.790725244072524,0.57
"lisk","LSK","Lisk",2016-04-15,38,1.19,1.74,1.09,1.2,98647,0,0.169230769230769,0.65
"lisk","LSK","Lisk",2016-04-16,38,1.2,1.26,0.867777,1.23,57511,0,0.923567057623661,0.39
"lisk","LSK","Lisk",2016-04-17,38,1.23,1.8,1.15,1.66,36480,0,0.784615384615385,0.65
"lisk","LSK","Lisk",2016-04-18,38,1.66,1.66,0.928835,1.02,48480,0,0.124678610503282,0.73
"lisk","LSK","Lisk",2016-04-19,38,1.02,1.96,1.02,1.85,26391,0,0.882978723404255,0.94
"lisk","LSK","Lisk",2016-04-20,38,1.85,1.85,1.3,1.33,64546,0,0.0545454545454546,0.55
"lisk","LSK","Lisk",2016-04-21,38,1.33,1.84,1.33,1.65,46650,0,0.627450980392157,0.51
"lisk","LSK","Lisk",2016-04-22,38,1.65,1.98,0.948411,1.82,38998,0,0.844890461419155,1.03
"lisk","LSK","Lisk",2016-04-23,38,1.82,2.1,1.15,1.27,182681,0,0.126315789473684,0.95
"lisk","LSK","Lisk",2016-04-24,38,1.27,1.74,0.986183,1.41,54516,0,0.562240647386575,0.75
"lisk","LSK","Lisk",2016-04-25,38,1.42,1.42,0.773489,0.773489,30326,0,0,0.65
"lisk","LSK","Lisk",2016-04-26,38,0.773862,0.802259,0.70129,0.729231,16705,0,0.276643564356436,0.1
"lisk","LSK","Lisk",2016-04-27,38,0.729496,0.835437,0.622453,0.623225,14913,0,0.00362441314553988,0.21
"lisk","LSK","Lisk",2016-04-28,38,0.623713,0.742672,0.454936,0.738716,6142,0,0.986374695863747,0.29
"lisk","LSK","Lisk",2016-04-29,38,0.739369,0.788671,0.514736,0.765815,14024,0,0.916681270536692,0.27
"lisk","LSK","Lisk",2016-04-30,38,0.765952,1.65,0.734653,1.27,66785,0,0.584886922320551,0.92
"lisk","LSK","Lisk",2016-05-01,38,1.27,1.63,0.559062,0.70878,19716,0,0.139805770846951,1.07
"lisk","LSK","Lisk",2016-05-02,38,0.708871,1.4,0.676872,1.18,38309,0,0.695793112985756,0.72
"lisk","LSK","Lisk",2016-05-03,38,1.18,1.44,0.723931,0.725287,26812,0,0.00189359028068709,0.72
"lisk","LSK","Lisk",2016-05-04,38,0.725092,1.52,0.717662,1.52,51102,0,1.00004736382899,0.8
"lisk","LSK","Lisk",2016-05-05,38,1.52,1.56,1.23,1.42,34428,0,0.575757575757576,0.33
"lisk","LSK","Lisk",2016-05-06,38,1.42,1.63,0.814017,0.814017,15278,0,0,0.82
"lisk","LSK","Lisk",2016-05-07,38,0.814081,0.85114,0.694595,0.696178,13246,0,0.0101150159744409,0.16
"lisk","LSK","Lisk",2016-05-08,38,0.696016,1.08,0.635132,0.790503,13948,0,0.349226792537649,0.44
"lisk","LSK","Lisk",2016-05-09,38,0.789914,0.789914,0.745417,0.761164,10017,0,0.353865168539325,0.04
"lisk","LSK","Lisk",2016-05-10,38,0.761222,0.85854,0.748928,0.833555,10911,0,0.772144160583942,0.11
"lisk","LSK","Lisk",2016-05-11,38,0.833497,1.51,0.833497,1.22,34101,0,0.571327420546933,0.68
"lisk","LSK","Lisk",2016-05-12,38,1.22,1.22,0.779563,0.81667,10514,0,0.0842574931880109,0.44
"lisk","LSK","Lisk",2016-05-13,38,0.816821,0.817354,0.779715,0.788618,12820,0,0.236781914893617,0.04
"lisk","LSK","Lisk",2016-05-14,38,0.788885,0.889906,0.788798,0.824642,10083,0,0.354540059347181,0.1
"lisk","LSK","Lisk",2016-05-15,38,0.824801,0.931774,0.777341,0.829394,9419,0,0.337130829015544,0.15
"lisk","LSK","Lisk",2016-05-16,38,0.829427,0.841365,0.779664,0.784433,6305,0,0.0772933549432743,0.06
"lisk","LSK","Lisk",2016-05-17,38,0.784002,1.71,0.481615,0.750805,12167,0,0.219138717030283,1.23
"lisk","LSK","Lisk",2016-05-18,38,0.750652,2.14,0.750032,1.89,50865,0,0.820120863309353,1.39
"lisk","LSK","Lisk",2016-05-19,38,1.89,2.3,1.32,1.43,46746,0,0.112244897959184,0.98
"lisk","LSK","Lisk",2016-05-20,38,1.42,3.41,1.37,3.41,57689,0,1,2.04
"lisk","LSK","Lisk",2016-05-21,38,3.41,4.81,1.96,4.08,66490,0,0.743859649122807,2.85
"lisk","LSK","Lisk",2016-05-22,38,4.08,4.5,2.25,2.74,105457,0,0.217777777777778,2.25
"lisk","LSK","Lisk",2016-05-23,38,2.74,3.48,2.36,2.95,108656,0,0.526785714285715,1.12
"lisk","LSK","Lisk",2016-05-24,38,2.96,6.97,0.417569,0.560052,439909,0,0.0217451620780172,6.55
"lisk","LSK","Lisk",2016-05-25,38,0.6213,0.6213,0.1714,0.278525,7311180,27852500,0.238108468548566,0.45
"lisk","LSK","Lisk",2016-05-26,38,0.269664,0.50095,0.269568,0.50095,13981800,50095000,0.999922212618842,0.23
"lisk","LSK","Lisk",2016-05-27,38,0.519493,0.568797,0.332442,0.385324,13013200,38532400,0.223697123519458,0.24
"lisk","LSK","Lisk",2016-05-28,38,0.388128,0.404473,0.278947,0.347767,7676530,34776700,0.548366533864542,0.13
"lisk","LSK","Lisk",2016-05-29,38,0.353642,0.409779,0.347727,0.377337,4810200,37733700,0.476811594202898,0.06
"lisk","LSK","Lisk",2016-05-30,38,0.380149,0.392596,0.34619,0.350992,2470160,35099200,0.103491379310345,0.05
"lisk","LSK","Lisk",2016-05-31,38,0.35014,0.367233,0.302913,0.312831,3073130,31283100,0.154245723172629,0.06
"lisk","LSK","Lisk",2016-06-01,38,0.31452,0.340796,0.307026,0.337991,2112400,33799100,0.916124260355029,0.03
"lisk","LSK","Lisk",2016-06-02,38,0.336351,0.33733,0.320409,0.330827,1258510,33082700,0.616449704142011,0.02
"lisk","LSK","Lisk",2016-06-03,38,0.330617,0.415074,0.330574,0.40941,3187760,40941000,0.932970414201184,0.08
"lisk","LSK","Lisk",2016-06-04,38,0.41022,0.472793,0.399712,0.4439,3251570,44390000,0.604487004103967,0.07
"lisk","LSK","Lisk",2016-06-05,38,0.446418,0.507099,0.439566,0.489628,4247850,48962800,0.741659259259259,0.07
"lisk","LSK","Lisk",2016-06-06,38,0.482042,0.489925,0.435273,0.452067,2878930,45206700,0.307020109689213,0.05
"lisk","LSK","Lisk",2016-06-07,38,0.452228,0.454274,0.399867,0.419945,2277500,41994500,0.369080882352942,0.05
"lisk","LSK","Lisk",2016-06-08,38,0.419466,0.489529,0.39907,0.47565,2980240,47565000,0.846187845303868,0.09
"lisk","LSK","Lisk",2016-06-09,38,0.473781,0.494781,0.459899,0.461552,1844730,46155200,0.047363896848138,0.03
"lisk","LSK","Lisk",2016-06-10,38,0.46116,0.467063,0.437446,0.455177,1426460,45517700,0.59902027027027,0.03
"lisk","LSK","Lisk",2016-06-11,38,0.457486,0.465547,0.440058,0.45031,1298720,45031000,0.402039215686274,0.03
"lisk","LSK","Lisk",2016-06-12,38,0.453317,0.453539,0.399531,0.421871,4868900,42187100,0.413703703703703,0.05
"lisk","LSK","Lisk",2016-06-13,38,0.423907,0.469719,0.416775,0.469521,3322740,46952100,0.997088846880908,0.05
"lisk","LSK","Lisk",2016-06-14,38,0.465959,0.48787,0.443978,0.468245,2677630,46824500,0.552779043280183,0.04
"lisk","LSK","Lisk",2016-06-15,38,0.470228,0.475469,0.447165,0.46101,1291530,46101000,0.489222614840989,0.03
"lisk","LSK","Lisk",2016-06-16,38,0.463389,0.470683,0.444695,0.455011,2348370,45501100,0.39676923076923,0.03
"lisk","LSK","Lisk",2016-06-17,38,0.455809,0.464469,0.366158,0.436197,4509350,43619700,0.712502543234995,0.1
"lisk","LSK","Lisk",2016-06-18,38,0.435185,0.446706,0.339231,0.348261,2777730,34826100,0.0839999999999998,0.11
"lisk","LSK","Lisk",2016-06-19,38,0.348124,0.38512,0.344974,0.363063,1392140,36306300,0.451097256857856,0.04
"lisk","LSK","Lisk",2016-06-20,38,0.363432,0.363432,0.304333,0.323785,1692310,32378500,0.329137055837563,0.06
"lisk","LSK","Lisk",2016-06-21,38,0.323081,0.353871,0.312605,0.328391,1779370,32839100,0.382227602905568,0.04
"lisk","LSK","Lisk",2016-06-22,38,0.328588,0.432411,0.313612,0.351084,3608690,35108400,0.315420875420875,0.12
"lisk","LSK","Lisk",2016-06-23,38,0.348071,0.368174,0.339601,0.358963,1644910,35896300,0.676993006993007,0.03
"lisk","LSK","Lisk",2016-06-24,38,0.361483,0.382345,0.332903,0.380581,2135610,38058100,0.965141700404858,0.05
"lisk","LSK","Lisk",2016-06-25,38,0.379014,0.3955,0.349076,0.354808,1435150,35480800,0.123534482758621,0.05
"lisk","LSK","Lisk",2016-06-26,38,0.357125,0.358169,0.322216,0.323548,750518,32354800,0.037,0.04
"lisk","LSK","Lisk",2016-06-27,38,0.323184,0.340674,0.293645,0.307191,973053,30719100,0.288212765957447,0.05
"lisk","LSK","Lisk",2016-06-28,38,0.308894,0.321442,0.275904,0.290045,1291760,29004500,0.310791208791209,0.05
"lisk","LSK","Lisk",2016-06-29,38,0.288189,0.310452,0.282851,0.302058,822309,30205800,0.695905797101448,0.03
"lisk","LSK","Lisk",2016-06-30,38,0.303065,0.321947,0.303065,0.311289,1019150,31128900,0.435132275132276,0.02
"lisk","LSK","Lisk",2016-07-01,38,0.307417,0.328363,0.305697,0.32422,564870,32422000,0.815991189427313,0.02
"lisk","LSK","Lisk",2016-07-02,38,0.32661,0.327005,0.300888,0.310572,570125,31057200,0.371034482758622,0.03
"lisk","LSK","Lisk",2016-07-03,38,0.3111,0.316021,0.299905,0.301406,407208,30140600,0.0932298136645981,0.02
"lisk","LSK","Lisk",2016-07-04,38,0.302731,0.306661,0.296828,0.306661,419023,30666100,1.00336734693878,0.01
"lisk","LSK","Lisk",2016-07-05,38,0.30543,0.306843,0.278945,0.290506,1223650,29050600,0.41437275985663,0.03
"lisk","LSK","Lisk",2016-07-06,38,0.289433,0.297862,0.282543,0.286694,714117,28669400,0.271307189542485,0.02
"lisk","LSK","Lisk",2016-07-07,38,0.286821,0.287186,0.258312,0.274167,578750,27416700,0.548615916955018,0.03
"lisk","LSK","Lisk",2016-07-08,38,0.274223,0.294076,0.27275,0.281619,658829,28161900,0.416384976525822,0.02
"lisk","LSK","Lisk",2016-07-09,38,0.281596,0.284193,0.26882,0.280532,380355,28053200,0.76051948051948,0.02
"lisk","LSK","Lisk",2016-07-10,38,0.280361,0.295689,0.273856,0.295689,535278,29568900,1.00151376146789,0.02
