"slug","symbol","name","date","ranknow","open","high","low","close","volume","market","close_ratio","spread"
"litecoin","LTC","Litecoin",2016-01-01,5,3.48,3.53,3.47,3.51,2791170,153910742,0.66666666666666,0.06
"litecoin","LTC","Litecoin",2016-01-02,5,3.52,3.53,3.49,3.5,3020260,153658445,0.249999999999995,0.04
"litecoin","LTC","Litecoin",2016-01-03,5,3.5,3.51,3.45,3.48,2406150,152873557,0.499999999999997,0.06
"litecoin","LTC","Litecoin",2016-01-04,5,3.48,3.51,3.48,3.5,3309740,153467942,0.666666666666667,0.03
"litecoin","LTC","Litecoin",2016-01-05,5,3.49,3.51,3.45,3.47,2104650,152390643,0.333333333333334,0.06
"litecoin","LTC","Litecoin",2016-01-06,5,3.47,3.47,3.44,3.45,2208860,151734839,0.333333333333341,0.03
"litecoin","LTC","Litecoin",2016-01-07,5,3.45,3.61,3.44,3.6,4560680,158399547,0.941176470588236,0.17
"litecoin","LTC","Litecoin",2016-01-08,5,3.6,3.64,3.53,3.57,3277990,156901051,0.363636363636364,0.11
"litecoin","LTC","Litecoin",2016-01-09,5,3.57,3.59,3.54,3.56,2934720,156586451,0.4,0.05
"litecoin","LTC","Litecoin",2016-01-10,5,3.56,3.56,3.5,3.54,2462000,155590551,0.666666666666667,0.06
"litecoin","LTC","Litecoin",2016-01-11,5,3.53,3.57,3.53,3.56,2931030,156518392,0.750000000000006,0.04
"litecoin","LTC","Litecoin",2016-01-12,5,3.55,3.56,3.49,3.49,4566050,153806460,0,0.07
"litecoin","LTC","Litecoin",2016-01-13,5,3.49,3.49,3.43,3.48,6745630,153077222,0.83333333333333,0.06
"litecoin","LTC","Litecoin",2016-01-14,5,3.47,3.48,3.45,3.47,2044890,152683622,0.666666666666667,0.03
"litecoin","LTC","Litecoin",2016-01-15,5,3.46,3.46,3,3,5117640,132055746,0,0.46
"litecoin","LTC","Litecoin",2016-01-16,5,2.97,3.11,2.92,3.09,4170270,136073727,0.894736842105263,0.19
"litecoin","LTC","Litecoin",2016-01-17,5,3.09,3.1,3.02,3.03,1905660,133437979,0.124999999999997,0.08
"litecoin","LTC","Litecoin",2016-01-18,5,3.02,3.06,2.98,3.05,2304070,134488705,0.874999999999998,0.08
"litecoin","LTC","Litecoin",2016-01-19,5,3.05,3.06,2.99,3.02,1626900,133140838,0.428571428571426,0.07
"litecoin","LTC","Litecoin",2016-01-20,5,3.01,3.43,2.99,3.39,4438610,149562676,0.909090909090909,0.44
"litecoin","LTC","Litecoin",2016-01-21,5,3.38,3.4,3.21,3.22,3665110,142203147,0.0526315789473696,0.19
"litecoin","LTC","Litecoin",2016-01-22,5,3.23,3.24,3.05,3.08,3589150,135880631,0.157894736842107,0.19
"litecoin","LTC","Litecoin",2016-01-23,5,3.08,3.15,3.08,3.1,2384900,137112128,0.285714285714286,0.07
"litecoin","LTC","Litecoin",2016-01-24,5,3.11,3.21,3.1,3.18,1806510,140583334,0.727272727272728,0.11
"litecoin","LTC","Litecoin",2016-01-25,5,3.19,3.19,3.11,3.13,1940070,138255166,0.25,0.08
"litecoin","LTC","Litecoin",2016-01-26,5,3.13,3.17,3.12,3.15,2926650,139521750,0.599999999999996,0.05
"litecoin","LTC","Litecoin",2016-01-27,5,3.16,3.32,3.16,3.29,5341690,145437275,0.812499999999999,0.16
"litecoin","LTC","Litecoin",2016-01-28,5,3.29,3.3,3.11,3.12,3075380,138078852,0.0526315789473696,0.19
"litecoin","LTC","Litecoin",2016-01-29,5,3.14,3.14,3.06,3.11,2555880,137730285,0.624999999999998,0.08
"litecoin","LTC","Litecoin",2016-01-30,5,3.12,3.12,3.08,3.08,1298980,136414737,0,0.04
"litecoin","LTC","Litecoin",2016-01-31,5,3.1,3.11,3.04,3.05,1450600,135182678,0.14285714285714,0.07
"litecoin","LTC","Litecoin",2016-02-01,5,3.07,3.1,3.06,3.08,1502430,136343190,0.5,0.04
"litecoin","LTC","Litecoin",2016-02-02,5,3.09,3.1,3.07,3.08,1279650,136331472,0.333333333333341,0.03
"litecoin","LTC","Litecoin",2016-02-03,5,3.09,3.09,3.04,3.05,1406560,135123741,0.199999999999996,0.05
"litecoin","LTC","Litecoin",2016-02-04,5,3.06,3.18,3.06,3.16,2059350,140277541,0.833333333333334,0.12
"litecoin","LTC","Litecoin",2016-02-05,5,3.17,3.17,3.14,3.14,1211900,139198718,0,0.03
"litecoin","LTC","Litecoin",2016-02-06,5,3.15,3.15,3.08,3.1,1394670,137541206,0.285714285714286,0.07
"litecoin","LTC","Litecoin",2016-02-07,5,3.11,3.13,3.08,3.09,1168970,137008440,0.199999999999996,0.05
"litecoin","LTC","Litecoin",2016-02-08,5,3.09,3.11,3.06,3.06,964279,135996338,0,0.05
"litecoin","LTC","Litecoin",2016-02-09,5,3.08,3.08,3.05,3.08,1197280,136900626,1.00000000000001,0.03
"litecoin","LTC","Litecoin",2016-02-10,5,3.09,3.13,3.08,3.1,1358800,137549499,0.4,0.05
"litecoin","LTC","Litecoin",2016-02-11,5,3.11,3.13,3.07,3.08,1263660,136722154,0.166666666666671,0.06
"litecoin","LTC","Litecoin",2016-02-12,5,3.09,3.12,3.08,3.11,1041630,138377005,0.749999999999995,0.04
"litecoin","LTC","Litecoin",2016-02-13,5,3.12,3.14,3.11,3.13,1313500,139212762,0.666666666666667,0.03
"litecoin","LTC","Litecoin",2016-02-14,5,3.15,3.21,3.15,3.21,1924190,142857614,1,0.06
"litecoin","LTC","Litecoin",2016-02-15,5,3.23,3.25,3.17,3.18,1521240,141654638,0.125000000000003,0.08
"litecoin","LTC","Litecoin",2016-02-16,5,3.2,3.22,3.18,3.21,1479430,142883821,0.749999999999995,0.04
"litecoin","LTC","Litecoin",2016-02-17,5,3.23,3.26,3.2,3.24,1857460,144357019,0.666666666666667,0.06
"litecoin","LTC","Litecoin",2016-02-18,5,3.25,3.27,3.23,3.25,1422270,144864866,0.5,0.04
"litecoin","LTC","Litecoin",2016-02-19,5,3.26,3.27,3.23,3.25,1780240,144969129,0.5,0.04
"litecoin","LTC","Litecoin",2016-02-20,5,3.27,3.5,3.26,3.46,3677250,154161953,0.833333333333334,0.24
"litecoin","LTC","Litecoin",2016-02-21,5,3.46,3.58,3.4,3.46,3518950,154494927,0.333333333333334,0.18
