"slug","symbol","name","date","ranknow","open","high","low","close","volume","market","close_ratio","spread"
"neo","NEO","NEO",2016-09-09,17,0.181483,0.558951,0.181357,0.558478,1349,0,0.998731461864407,0.38
"neo","NEO","NEO",2016-09-10,17,0.558536,0.559143,0.37096,0.391001,811,0,0.106487778958555,0.19
"neo","NEO","NEO",2016-09-11,17,0.390948,0.398459,0.37279,0.37615,879,0,0.130739299610894,0.03
"neo","NEO","NEO",2016-09-12,17,0.376312,0.376671,0.360443,0.374598,1116,0,0.873765432098764,0.02
"neo","NEO","NEO",2016-09-13,17,0.374469,0.375092,0.301766,0.309509,3337,0,0.105634379263301,0.07
"neo","NEO","NEO",2016-09-14,17,0.309516,0.337779,0.306223,0.325127,4129,0,0.598227848101265,0.03
"neo","NEO","NEO",2016-09-15,17,0.325188,0.365124,0.325024,0.349832,1982,0,0.618653366583541,0.04
"neo","NEO","NEO",2016-09-16,17,0.349726,0.389464,0.348948,0.388858,15105,0,0.985432098765432,0.04
"neo","NEO","NEO",2016-09-17,17,0.388924,0.427314,0.388896,0.426568,21060,0,0.981041666666666,0.04
"neo","NEO","NEO",2016-09-18,17,0.426591,0.427137,0.384916,0.384916,105159,0,0,0.04
"neo","NEO","NEO",2016-09-19,17,0.384877,0.384881,0.331207,0.331296,1448,0,0.00165735567970216,0.05
"neo","NEO","NEO",2016-09-20,17,0.331291,0.336507,0.309502,0.312621,1171,0,0.115518518518518,0.03
"neo","NEO","NEO",2016-09-21,17,0.312539,0.318675,0.303564,0.303794,156,0,0.0152317880794707,0.02
"neo","NEO","NEO",2016-09-22,17,0.303806,0.308768,0.252592,0.252723,54002,0,0.00233096085409239,0.06
"neo","NEO","NEO",2016-09-23,17,0.252745,0.277371,0.241462,0.243237,16845,0,0.0494428969359331,0.04
"neo","NEO","NEO",2016-09-24,17,0.243321,0.25485,0.213843,0.213843,21740,0,0,0.04
"neo","NEO","NEO",2016-09-25,17,0.213843,0.224547,0.192797,0.198994,3075,0,0.194874213836478,0.03
"neo","NEO","NEO",2016-09-26,17,0.199118,0.224506,0.193879,0.202491,9657,0,0.281437908496732,0.03
"neo","NEO","NEO",2016-09-27,17,0.202473,0.202473,0.179976,0.197913,19806,0,0.7972,0.02
"neo","NEO","NEO",2016-09-28,17,0.197915,0.21275,0.184495,0.194798,6354,0,0.364063604240283,0.03
"neo","NEO","NEO",2016-09-29,17,0.194845,0.208155,0.175516,0.191738,11050,0,0.49760736196319,0.03
"neo","NEO","NEO",2016-09-30,17,0.191685,0.194601,0.180176,0.184939,2032,0,0.330763888888888,0.01
"neo","NEO","NEO",2016-10-01,17,0.184979,0.216455,0.184979,0.202293,2748,0,0.549650793650794,0.03
"neo","NEO","NEO",2016-10-02,17,0.202302,0.202303,0.177092,0.177279,4178,0,0.00742063492063463,0.03
"neo","NEO","NEO",2016-10-03,17,0.177613,0.192425,0.177613,0.178713,913,0,0.0743243243243255,0.01
"neo","NEO","NEO",2016-10-04,17,0.178659,0.185843,0.178659,0.185843,506,0,0.997777777777777,0.01
"neo","NEO","NEO",2016-10-05,17,0.185765,0.289548,0.179917,0.289392,1864,0,0.998859489051095,0.11
"neo","NEO","NEO",2016-10-06,17,0.289361,0.291334,0.180059,0.180059,2612,0,0,0.11
"neo","NEO","NEO",2016-10-07,17,0.179898,0.20284,0.179898,0.20284,5785,0,1.00183406113537,0.02
"neo","NEO","NEO",2016-10-08,17,0.202812,0.223037,0.185864,0.205229,31830,0,0.520564516129032,0.04
"neo","NEO","NEO",2016-10-09,17,0.205045,0.205045,0.178857,0.186541,30052,0,0.293282442748093,0.03
"neo","NEO","NEO",2016-10-10,17,0.186466,0.202517,0.180081,0.193108,11204,0,0.581562500000001,0.02
"neo","NEO","NEO",2016-10-11,17,0.193114,0.195352,0.181615,0.193575,5949,0,0.872992700729927,0.01
"neo","NEO","NEO",2016-10-12,17,0.193611,0.193611,0.175684,0.186052,12201,0,0.579217877094971,0.02
"neo","NEO","NEO",2016-10-13,17,0.186072,0.186072,0.175498,0.185407,1318,0,0.934811320754717,0.01
"neo","NEO","NEO",2016-10-14,17,0.1854,0.19109,0.176211,0.191014,2335,0,0.993489932885905,0.01
"neo","NEO","NEO",2016-10-15,17,0.191007,0.191007,0.179885,0.179885,596,0,0,0.01
"neo","NEO","NEO",2016-10-16,17,0.179883,0.19069,0.175885,0.175901,16019,0,0.00108108108108029,0.01
"neo","NEO","NEO",2016-10-17,17,0.175871,0.192747,0.175284,0.192747,12989,0,0.997885714285715,0.02
"neo","NEO","NEO",2016-10-18,17,0.192736,0.289527,0.179325,0.19744,406917,0,0.164382940108893,0.11
"neo","NEO","NEO",2016-10-19,17,0.197446,0.205554,0.111325,0.117084,228476,0,0.061135881104034,0.09
"neo","NEO","NEO",2016-10-20,17,0.117083,0.117172,0.085342,0.092682,286750,0,0.230817610062893,0.03
"neo","NEO","NEO",2016-10-21,17,0.092487,0.093918,0.072287,0.080181,269793,0,0.365462962962963,0.02
"neo","NEO","NEO",2016-10-22,17,0.080197,0.096001,0.080013,0.081484,293121,0,0.0919375,0.02
"neo","NEO","NEO",2016-10-23,17,0.081487,0.085212,0.076681,0.082727,107073,0,0.711294117647058,0.01
"neo","NEO","NEO",2016-10-24,17,0.081,0.100103,0.076476,0.093762,522611,0,0.732457627118644,0.02
"neo","NEO","NEO",2016-10-25,17,0.093621,0.322439,0.092699,0.135712,365986,6785600,0.187257292120157,0.23
"neo","NEO","NEO",2016-10-26,17,0.1357,0.16963,0.121312,0.129615,494772,6480750,0.171904761904762,0.05
"neo","NEO","NEO",2016-10-27,17,0.129608,0.140409,0.124055,0.127426,169528,6371300,0.205548780487806,0.02
"neo","NEO","NEO",2016-10-28,17,0.127447,0.159842,0.12378,0.151552,545958,7577600,0.769307479224376,0.04
"neo","NEO","NEO",2016-10-29,17,0.151237,0.176248,0.151237,0.170166,714101,8508300,0.75716,0.03
"neo","NEO","NEO",2016-10-30,17,0.172946,0.18382,0.170264,0.181026,377793,9051300,0.791323529411764,0.01
"neo","NEO","NEO",2016-10-31,17,0.18161,0.229291,0.177568,0.228251,917488,11412550,0.980328820116054,0.05
"neo","NEO","NEO",2016-11-01,17,0.228232,0.239149,0.204285,0.211322,411699,10566100,0.20163323782235,0.03
"neo","NEO","NEO",2016-11-02,17,0.214646,0.219169,0.191732,0.197941,242163,9897050,0.226605839416058,0.03
"neo","NEO","NEO",2016-11-03,17,0.197962,0.19817,0.155788,0.173534,265799,8676700,0.418537735849056,0.04
"neo","NEO","NEO",2016-11-04,17,0.173574,0.183584,0.168351,0.175917,123337,8795850,0.497763157894736,0.02
"neo","NEO","NEO",2016-11-05,17,0.175934,0.181375,0.156657,0.160797,165265,8039850,0.167611336032389,0.02
"neo","NEO","NEO",2016-11-06,17,0.1608,0.16817,0.15675,0.164002,52679,8200100,0.636140350877194,0.01
"neo","NEO","NEO",2016-11-07,17,0.163957,0.174019,0.143322,0.173087,264007,8654350,0.969543973941368,0.03
"neo","NEO","NEO",2016-11-08,17,0.173073,0.173376,0.160523,0.161594,64487,8079700,0.0830232558139526,0.01
"neo","NEO","NEO",2016-11-09,17,0.161599,0.166946,0.156541,0.159859,51101,7992950,0.31903846153846,0.01
"neo","NEO","NEO",2016-11-10,17,0.159342,0.179854,0.154536,0.168272,226859,8413600,0.542924901185771,0.03
"neo","NEO","NEO",2016-11-11,17,0.168293,0.181036,0.165815,0.176226,92296,8811300,0.684934210526316,0.02
"neo","NEO","NEO",2016-11-12,17,0.172603,0.179612,0.166288,0.168695,38920,8434750,0.180977443609024,0.01
"neo","NEO","NEO",2016-11-13,17,0.168699,0.172853,0.163703,0.169917,47661,8495850,0.675434782608698,0.01
"neo","NEO","NEO",2016-11-14,17,0.170347,0.196291,0.168508,0.183786,161342,9189300,0.549568345323742,0.03
"neo","NEO","NEO",2016-11-15,17,0.183863,0.183864,0.172835,0.173875,58217,8693750,0.0945454545454558,0.01
"neo","NEO","NEO",2016-11-16,17,0.173875,0.177754,0.153992,0.162529,52767,8126450,0.358697478991597,0.02
"neo","NEO","NEO",2016-11-17,17,0.162654,0.177109,0.16256,0.17328,115600,8664000,0.739310344827585,0.01
"neo","NEO","NEO",2016-11-18,17,0.173267,0.196769,0.16942,0.172177,170258,8608850,0.100989010989011,0.03
"neo","NEO","NEO",2016-11-19,17,0.172135,0.17649,0.168427,0.169928,20977,8496400,0.185308641975309,0.01
"neo","NEO","NEO",2016-11-20,17,0.169929,0.171309,0.161549,0.170999,6888,8549950,0.964285714285716,0.01
"neo","NEO","NEO",2016-11-21,17,0.171,0.174966,0.169408,0.173476,13977,8673800,0.726428571428569,0.01
"neo","NEO","NEO",2016-11-22,17,0.173474,0.17422,0.167397,0.168892,30457,8444600,0.21985294117647,0.01
