"slug","symbol","name","date","ranknow","open","high","low","close","volume","market","close_ratio","spread"
"omisego","OMG","OmiseGO",2017-07-14,31,0.534731,0.775406,0.500232,0.58248,750698,0,0.298866279069767,0.28
"omisego","OMG","OmiseGO",2017-07-15,31,0.586446,0.652156,0.433351,0.433351,1552730,42603614,0,0.22
"omisego","OMG","OmiseGO",2017-07-16,31,0.431081,0.494342,0.319695,0.384906,1743630,37840888,0.373487972508591,0.17
"omisego","OMG","OmiseGO",2017-07-17,31,0.381684,0.598633,0.379345,0.582786,4273090,57294871,0.927683538531692,0.22
"omisego","OMG","OmiseGO",2017-07-18,31,0.574224,0.894874,0.565539,0.759819,8394650,74699344,0.589978742787732,0.33
"omisego","OMG","OmiseGO",2017-07-19,31,0.75929,0.797288,0.568905,0.583911,4236020,57405472,0.0657005253940454,0.23
"omisego","OMG","OmiseGO",2017-07-20,31,0.596119,0.717632,0.596119,0.659447,3376440,64831569,0.521218106995885,0.12
"omisego","OMG","OmiseGO",2017-07-21,31,0.669754,0.786582,0.632858,0.753032,2140420,74032100,0.781873780091087,0.15
"omisego","OMG","OmiseGO",2017-07-22,31,0.742038,0.886832,0.739422,0.878662,3596130,86383040,0.944640434192673,0.15
"omisego","OMG","OmiseGO",2017-07-23,31,0.878973,1.59,0.850754,1.53,15198100,150070355,0.918893398268398,0.74
"omisego","OMG","OmiseGO",2017-07-24,31,1.51,1.61,1.31,1.52,12526000,149133442,0.7,0.3
"omisego","OMG","OmiseGO",2017-07-25,31,1.53,1.55,1.12,1.23,8132390,121203979,0.255813953488372,0.43
"omisego","OMG","OmiseGO",2017-07-26,31,1.23,1.29,1.1,1.21,4740910,118543655,0.578947368421052,0.19
"omisego","OMG","OmiseGO",2017-07-27,31,1.21,1.41,1.2,1.38,5379280,135898677,0.857142857142857,0.21
"omisego","OMG","OmiseGO",2017-07-28,31,1.38,1.39,1.12,1.19,5438700,117105351,0.259259259259259,0.27
"omisego","OMG","OmiseGO",2017-07-29,31,1.19,1.29,1.11,1.28,2651230,126029133,0.944444444444444,0.18
