"slug","symbol","name","date","ranknow","open","high","low","close","volume","market","close_ratio","spread"
"qash","QASH","QASH",2017-11-21,91,0.482456,0.531807,0.453917,0.503455,9608310,0,0.63591784338896,0.08
"qash","QASH","QASH",2017-11-22,91,0.504107,0.535554,0.417022,0.462559,2592760,0,0.384278481012658,0.12
"qash","QASH","QASH",2017-11-23,91,0.462955,0.829454,0.429741,0.49792,3392260,0,0.17057543157368,0.4
"qash","QASH","QASH",2017-11-24,91,0.497269,0.669064,0.484358,0.668625,2903120,0,0.997655657823498,0.18
"qash","QASH","QASH",2017-11-25,91,0.630772,0.725842,0.630772,0.721115,5078390,0,0.949978969505783,0.1
"qash","QASH","QASH",2017-11-26,91,0.719136,0.751201,0.675201,0.751201,3198190,0,0.999999999999999,0.08
"qash","QASH","QASH",2017-11-27,91,0.743308,1.16,0.738365,1.16,22245000,0,1.0000830170778,0.42
"qash","QASH","QASH",2017-11-28,91,1.17,1.38,1.07,1.37,42607800,0,0.967741935483871,0.31
"qash","QASH","QASH",2017-11-29,91,1.37,1.48,1.16,1.17,16962700,0,0.03125,0.32
"qash","QASH","QASH",2017-11-30,91,1.23,1.38,0.996886,1.29,21565300,0,0.765110937092143,0.38
"qash","QASH","QASH",2017-12-01,91,1.27,1.27,0.867892,1.16,25568500,0,0.726456105446406,0.4
"qash","QASH","QASH",2017-12-02,91,1.17,1.18,1,1.07,10667500,0,0.388888888888889,0.18
"qash","QASH","QASH",2017-12-03,91,1.07,1.08,0.893744,0.916937,11576700,120418449,0.124492753623189,0.19
"qash","QASH","QASH",2017-12-04,91,0.913694,1.01,0.741734,0.991665,23245800,347082750,0.931535594483787,0.27
"qash","QASH","QASH",2017-12-05,91,0.991411,1,0.925489,0.979884,13881100,342959400,0.730134228187919,0.07
"qash","QASH","QASH",2017-12-06,91,0.97751,0.984471,0.890548,0.916724,14377300,320853400,0.278764643237486,0.09
"qash","QASH","QASH",2017-12-07,91,0.909802,0.913912,0.725015,0.777056,12158600,271969600,0.275494970884066,0.19
"qash","QASH","QASH",2017-12-08,91,0.776695,0.814001,0.696021,0.78198,12751700,273693000,0.728466101694915,0.12
"qash","QASH","QASH",2017-12-09,91,0.782465,0.782465,0.708041,0.758042,10760400,265314700,0.672056451612903,0.07
"qash","QASH","QASH",2017-12-10,91,0.759597,0.759597,0.6451,0.690941,4462490,241829350,0.40035807860262,0.11
"qash","QASH","QASH",2017-12-11,91,0.693588,0.719371,0.582934,0.617482,18366400,216118700,0.253284457478006,0.14
"qash","QASH","QASH",2017-12-12,91,0.61615,0.645194,0.564863,0.641449,12663300,224507150,0.953748443337485,0.08
"qash","QASH","QASH",2017-12-13,91,0.637412,0.806713,0.58676,0.698579,16769400,244502650,0.508268181818182,0.22
"qash","QASH","QASH",2017-12-14,91,0.698387,0.76209,0.69071,0.748053,10341200,261818550,0.803123249299719,0.07
"qash","QASH","QASH",2017-12-15,91,0.742477,0.790444,0.668639,0.706517,10861900,247280950,0.310985221674877,0.12
"qash","QASH","QASH",2017-12-16,91,0.708296,1.21,0.704662,1.19,43238500,417837000,0.960494755590738,0.51
"qash","QASH","QASH",2017-12-17,91,1.2,1.24,0.966018,0.982094,21186400,343732900,0.0586715328467152,0.27
"qash","QASH","QASH",2017-12-18,91,0.983205,1.12,0.884439,1.08,20144900,376943000,0.830055178268252,0.24
"qash","QASH","QASH",2017-12-19,91,1.08,1.11,0.923863,0.967663,19641000,338682050,0.235357334766255,0.19
"qash","QASH","QASH",2017-12-20,91,0.972433,1.01,0.871966,0.950229,13937000,332580150,0.567123188405797,0.14
"qash","QASH","QASH",2017-12-21,91,0.955009,1.09,0.909827,0.958265,16916700,335392750,0.268801331853496,0.18
"qash","QASH","QASH",2017-12-22,91,0.957511,0.960634,0.634792,0.810033,60815500,283511550,0.537879066912216,0.33
"qash","QASH","QASH",2017-12-23,91,0.807703,0.959505,0.807703,0.888159,20796800,310855650,0.530013175230567,0.15
"qash","QASH","QASH",2017-12-24,91,0.889168,0.889168,0.744276,0.862237,32082500,301782950,0.814085576259489,0.14
"qash","QASH","QASH",2017-12-25,91,0.869468,0.905455,0.849117,0.880118,14419500,308041300,0.55063943161634,0.06
"qash","QASH","QASH",2017-12-26,91,0.879772,0.919249,0.85831,0.867313,6857160,303559550,0.147832512315271,0.06
"qash","QASH","QASH",2017-12-27,91,0.870666,1,0.866495,0.966331,10953900,338215850,0.74783520599251,0.13
"qash","QASH","QASH",2017-12-28,91,0.966213,0.982556,0.845523,0.879319,7997100,307761650,0.246686131386861,0.14
"qash","QASH","QASH",2017-12-29,91,0.88378,0.902789,0.854435,0.888025,7115610,310808750,0.69400826446281,0.05
"qash","QASH","QASH",2017-12-30,91,0.889306,0.889306,0.78359,0.843835,10973500,295342250,0.56996215704825,0.11
"qash","QASH","QASH",2017-12-31,91,0.835605,0.877545,0.807898,0.865427,8381010,302899450,0.826566091954022,0.07
"qash","QASH","QASH",2018-01-01,91,0.872742,0.898892,0.850478,0.889768,14620300,311418800,0.811776859504133,0.05
"qash","QASH","QASH",2018-01-02,91,0.890063,1.04,0.866686,0.9958,24755600,348530000,0.745031736872476,0.17
"qash","QASH","QASH",2018-01-03,91,0.985175,1.12,0.942339,1.06,24439100,371679000,0.662132808103545,0.18
"qash","QASH","QASH",2018-01-04,91,1.07,1.14,1,1.14,28168300,397929000,0.999999999999999,0.14
"qash","QASH","QASH",2018-01-05,91,1.14,1.83,1.13,1.6,107352000,561571500,0.671428571428572,0.7
"qash","QASH","QASH",2018-01-06,91,1.6,2.22,1.57,2.06,63903000,719852000,0.753846153846154,0.65
"qash","QASH","QASH",2018-01-07,91,2.09,2.2,1.88,2.1,69163104,735514500,0.687500000000001,0.32
"qash","QASH","QASH",2018-01-08,91,2.1,2.1,1.58,1.81,49635100,632408000,0.442307692307692,0.52
"qash","QASH","QASH",2018-01-09,91,1.8,1.89,1.69,1.85,34922500,646187500,0.800000000000001,0.2
"qash","QASH","QASH",2018-01-10,91,1.84,1.96,1.63,1.85,42796900,648417000,0.666666666666667,0.33
"qash","QASH","QASH",2018-01-11,91,1.87,1.91,1.58,1.79,34817000,626062500,0.636363636363636,0.33
"qash","QASH","QASH",2018-01-12,91,1.8,1.93,1.77,1.87,32804300,653446500,0.625000000000001,0.16
"qash","QASH","QASH",2018-01-13,91,1.89,2.45,1.89,2.45,52097300,857076500,1,0.56
"qash","QASH","QASH",2018-01-14,91,2.46,2.49,2.08,2.44,46173400,852516000,0.878048780487805,0.41
"qash","QASH","QASH",2018-01-15,91,2.42,2.46,2.22,2.26,35886500,789708500,0.166666666666665,0.24
"qash","QASH","QASH",2018-01-16,91,2.26,2.26,1.4,1.66,44388000,580839000,0.302325581395349,0.86
"qash","QASH","QASH",2018-01-17,91,1.65,1.79,1.18,1.73,32290000,604306500,0.901639344262295,0.61
"qash","QASH","QASH",2018-01-18,91,1.73,1.87,1.63,1.71,24578100,596995000,0.333333333333334,0.24
"qash","QASH","QASH",2018-01-19,91,1.69,1.76,1.6,1.64,18786900,573737500,0.249999999999999,0.16
"qash","QASH","QASH",2018-01-20,91,1.65,1.89,1.65,1.85,8795390,648774000,0.833333333333334,0.24
"qash","QASH","QASH",2018-01-21,91,1.86,1.86,1.58,1.65,14085400,577024000,0.249999999999999,0.28
"qash","QASH","QASH",2018-01-22,91,1.66,1.69,1.34,1.48,20758000,516943000,0.4,0.35
"qash","QASH","QASH",2018-01-23,91,1.48,1.5,1.25,1.39,25107600,485485000,0.56,0.25
"qash","QASH","QASH",2018-01-24,91,1.39,1.52,1.31,1.5,19406500,524933500,0.904761904761905,0.21
"qash","QASH","QASH",2018-01-25,91,1.51,1.53,1.42,1.44,15879300,505249500,0.181818181818182,0.11
"qash","QASH","QASH",2018-01-26,91,1.44,1.49,1.25,1.39,21466900,488064500,0.583333333333333,0.24
"qash","QASH","QASH",2018-01-27,91,1.4,1.55,1.38,1.5,13827500,523953500,0.705882352941177,0.17
"qash","QASH","QASH",2018-01-28,91,1.51,1.61,1.5,1.6,17907900,561739500,0.90909090909091,0.11
"qash","QASH","QASH",2018-01-29,91,1.61,1.61,1.44,1.46,15089500,510198500,0.11764705882353,0.17
"qash","QASH","QASH",2018-01-30,91,1.45,1.49,1.18,1.23,23668200,431319000,0.161290322580645,0.31
"qash","QASH","QASH",2018-01-31,91,1.23,1.23,1.15,1.2,16543700,419660500,0.625000000000001,0.08
"qash","QASH","QASH",2018-02-01,91,1.2,1.22,0.959042,1.01,16254600,352012500,0.195241379310345,0.26
"qash","QASH","QASH",2018-02-02,91,1.01,1.01,0.74628,0.931709,15983000,326098150,0.703181645809632,0.26
"qash","QASH","QASH",2018-02-03,91,0.935619,1.07,0.881449,1.04,9776650,364868000,0.840673382820785,0.19
"qash","QASH","QASH",2018-02-04,91,1.05,1.05,0.823394,0.856472,8638730,299765200,0.145975286849073,0.23
"qash","QASH","QASH",2018-02-05,91,0.852295,0.861047,0.630162,0.664232,9370440,232481200,0.147553053269814,0.23
"qash","QASH","QASH",2018-02-06,91,0.668145,0.805744,0.540195,0.803973,12357500,281390550,0.993514124293785,0.27
"qash","QASH","QASH",2018-02-07,91,0.793675,0.900891,0.730201,0.78551,8706400,274928500,0.324012888107792,0.17
"qash","QASH","QASH",2018-02-08,91,0.7799,0.875638,0.779682,0.832798,4804810,291479300,0.553291666666667,0.1
"qash","QASH","QASH",2018-02-09,91,0.835382,0.958397,0.809171,0.955921,3464780,334572350,0.98357908847185,0.15
"qash","QASH","QASH",2018-02-10,91,0.955608,0.986256,0.831186,0.870888,5798290,304810800,0.255976789168279,0.16
"qash","QASH","QASH",2018-02-11,91,0.867828,0.874084,0.790082,0.839732,3854840,293906200,0.591071428571429,0.08
"qash","QASH","QASH",2018-02-12,91,0.842562,0.905486,0.842326,0.896142,4594740,313649700,0.851518987341772,0.06
"qash","QASH","QASH",2018-02-13,91,0.897051,0.899058,0.836445,0.852987,3634480,298545450,0.264249201277956,0.06
"qash","QASH","QASH",2018-02-14,91,0.851883,0.94689,0.851883,0.943823,5146450,330338050,0.967789473684211,0.1
"qash","QASH","QASH",2018-02-15,91,0.943533,0.966307,0.919916,0.950844,5403890,332795400,0.666551724137933,0.05
"qash","QASH","QASH",2018-02-16,91,0.950052,0.972492,0.933646,0.968927,4039720,339124450,0.90930412371134,0.04
"qash","QASH","QASH",2018-02-17,91,0.967879,1.06,0.964928,1.06,5323920,372445500,0.999705573080968,0.1
"qash","QASH","QASH",2018-02-18,91,1.07,1.07,0.956529,0.973036,5162380,340562600,0.145436123348018,0.11
"qash","QASH","QASH",2018-02-19,91,0.972089,1.04,0.972089,1.02,5598330,356226500,0.705611192930781,0.07
"qash","QASH","QASH",2018-02-20,91,1.02,1.05,0.961375,0.962888,5950770,337010800,0.0170767494356658,0.09
"qash","QASH","QASH",2018-02-21,91,0.958053,0.962117,0.836774,0.863759,5188840,302315650,0.21536312849162,0.13
"qash","QASH","QASH",2018-02-22,91,0.864026,0.894768,0.810242,0.810242,4163580,283584700,0,0.08
"qash","QASH","QASH",2018-02-23,91,0.809934,0.868612,0.799291,0.84002,4175430,294007000,0.587720057720058,0.07
"qash","QASH","QASH",2018-02-24,91,0.839918,0.86787,0.79496,0.815397,2633470,285388950,0.280342935528121,0.07
"qash","QASH","QASH",2018-02-25,91,0.815955,0.830831,0.783805,0.807226,2688350,282529100,0.498319148936171,0.05
"qash","QASH","QASH",2018-02-26,91,0.808097,0.846083,0.790812,0.839854,2876830,293948900,0.886835443037975,0.06
"qash","QASH","QASH",2018-02-27,91,0.840511,0.872502,0.833267,0.84086,3040270,294301000,0.193698979591839,0.04
"qash","QASH","QASH",2018-02-28,91,0.840258,0.853219,0.806439,0.806948,3622380,282431800,0.010876068376068,0.05
"qash","QASH","QASH",2018-03-01,91,0.807594,0.831652,0.80399,0.825036,2579970,288762600,0.759783393501805,0.03
"qash","QASH","QASH",2018-03-02,91,0.825708,0.834554,0.807892,0.824377,4133610,288531950,0.617415730337078,0.03
"qash","QASH","QASH",2018-03-03,91,0.825377,0.837468,0.807512,0.814813,2744700,285184550,0.243366666666667,0.03
"qash","QASH","QASH",2018-03-04,91,0.814477,0.818494,0.783808,0.810675,3508960,283736250,0.774265129683,0.03
"qash","QASH","QASH",2018-03-05,91,0.81161,0.82631,0.805821,0.816483,3097250,285769050,0.520097560975607,0.02
"qash","QASH","QASH",2018-03-06,91,0.814832,0.814832,0.764718,0.778019,3119240,272306650,0.265489021956088,0.05
"qash","QASH","QASH",2018-03-07,91,0.777024,0.790733,0.651849,0.68843,5937710,240950500,0.263362131029517,0.14
"qash","QASH","QASH",2018-03-08,91,0.687628,0.701548,0.633028,0.643248,4818750,225136800,0.149197080291971,0.07
"qash","QASH","QASH",2018-03-09,91,0.640722,0.67874,0.580856,0.675663,3856500,236482050,0.968406537282941,0.1
"qash","QASH","QASH",2018-03-10,91,0.677773,0.699526,0.62725,0.638811,2600970,223583850,0.159903181189489,0.07
"qash","QASH","QASH",2018-03-11,91,0.637438,0.689413,0.617616,0.677419,2639060,237096650,0.832910863509748,0.07
"qash","QASH","QASH",2018-03-12,91,0.676082,0.706863,0.638347,0.659323,10304700,230763050,0.30621897810219,0.07
"qash","QASH","QASH",2018-03-13,91,0.657454,0.671947,0.633008,0.650593,3375830,227707550,0.452056555269922,0.04
"qash","QASH","QASH",2018-03-14,91,0.650264,0.662431,0.577223,0.589068,5087480,206173800,0.139025821596244,0.09
"qash","QASH","QASH",2018-03-15,91,0.589867,0.594544,0.542546,0.581736,4252120,203607600,0.753653846153847,0.05
"qash","QASH","QASH",2018-03-16,91,0.580618,0.585953,0.554191,0.560338,3645100,196118300,0.193301886792453,0.03
"qash","QASH","QASH",2018-03-17,91,0.561036,0.561036,0.496233,0.498721,3823890,174552350,0.0383950617283958,0.06
"qash","QASH","QASH",2018-03-18,91,0.498544,0.52211,0.420541,0.52211,5473090,182738500,0.999694881889764,0.1
"qash","QASH","QASH",2018-03-19,91,0.524604,0.539754,0.50213,0.532357,3722740,186324950,0.803909574468085,0.04
"qash","QASH","QASH",2018-03-20,91,0.536309,0.567339,0.509188,0.560886,4735230,196310100,0.888281786941581,0.06
"qash","QASH","QASH",2018-03-21,91,0.562045,0.714579,0.561369,0.708028,6606090,247809800,0.957304177545692,0.15
"qash","QASH","QASH",2018-03-22,91,0.711539,0.714198,0.613109,0.672518,5863930,235381300,0.587626112759643,0.1
"qash","QASH","QASH",2018-03-23,91,0.675624,0.729663,0.617315,0.729663,5522520,255382050,1.00042742653606,0.11
"qash","QASH","QASH",2018-03-24,91,0.736176,0.780782,0.72414,0.738865,5650330,258602750,0.260159010600707,0.06
"qash","QASH","QASH",2018-03-25,91,0.728652,0.742126,0.712656,0.725917,3943300,254070950,0.449525423728816,0.03
"qash","QASH","QASH",2018-03-26,91,0.72454,0.727788,0.602463,0.638603,5179840,223511050,0.288427773343975,0.13
"qash","QASH","QASH",2018-03-27,91,0.636242,0.64968,0.593784,0.594409,3544930,208043150,0.0111806797853307,0.06
"qash","QASH","QASH",2018-03-28,91,0.594393,0.681343,0.585312,0.652478,5328920,228367300,0.699645833333333,0.1
"qash","QASH","QASH",2018-03-29,91,0.650895,0.65323,0.578154,0.592827,4030910,207489450,0.19537949400799,0.08
"qash","QASH","QASH",2018-03-30,91,0.591709,0.610131,0.56044,0.597692,3893360,209192200,0.749537223340039,0.05
"qash","QASH","QASH",2018-03-31,91,0.59712,0.633009,0.590318,0.612975,3925770,214541250,0.530608899297425,0.04
"qash","QASH","QASH",2018-04-01,91,0.613144,0.620922,0.559865,0.578685,3519290,202539750,0.308019639934535,0.06
"qash","QASH","QASH",2018-04-02,91,0.581016,0.610433,0.578081,0.59333,4236600,207665500,0.47064814814815,0.03
"qash","QASH","QASH",2018-04-03,91,0.594119,0.633274,0.585235,0.625248,4535080,218836800,0.833604166666668,0.05
"qash","QASH","QASH",2018-04-04,91,0.623772,0.62737,0.548567,0.560342,3883920,196119700,0.149428934010152,0.08
"qash","QASH","QASH",2018-04-05,91,0.558574,0.565569,0.524736,0.540807,4367320,189282450,0.393897058823531,0.04
"qash","QASH","QASH",2018-04-06,91,0.539155,0.550379,0.493114,0.495323,3883220,173363050,0.0385514834205937,0.06
"qash","QASH","QASH",2018-04-07,91,0.496301,0.547088,0.496301,0.532082,3527040,186228700,0.704350393700789,0.05
"qash","QASH","QASH",2018-04-08,91,0.531541,0.570141,0.531541,0.556136,3648460,194647600,0.637176165803107,0.04
"qash","QASH","QASH",2018-04-09,91,0.559,0.574427,0.523449,0.53098,3790630,185843000,0.147666666666666,0.05
"qash","QASH","QASH",2018-04-10,91,0.532414,0.535937,0.510464,0.530537,3725150,185687950,0.787176470588236,0.03
"qash","QASH","QASH",2018-04-11,91,0.530316,0.554584,0.527091,0.554298,3333860,194004300,0.989345454545454,0.03
"qash","QASH","QASH",2018-04-12,91,0.553008,0.61836,0.534891,0.614548,4807590,215091800,0.953976047904191,0.08
"qash","QASH","QASH",2018-04-13,91,0.615958,0.641495,0.595221,0.618242,4447300,216384700,0.497213822894168,0.05
"qash","QASH","QASH",2018-04-14,91,0.61632,0.642249,0.606218,0.618893,3856330,216612550,0.352083333333333,0.04
"qash","QASH","QASH",2018-04-15,91,0.618531,0.658327,0.618531,0.658327,3405660,230414450,0.999899497487436,0.04
"qash","QASH","QASH",2018-04-16,91,0.657918,0.660546,0.615644,0.636392,3849870,222737200,0.462093541202672,0.04
"qash","QASH","QASH",2018-04-17,91,0.636636,0.642897,0.619543,0.623809,3538940,218333150,0.182307692307692,0.02
"qash","QASH","QASH",2018-04-18,91,0.62433,0.65353,0.623318,0.651419,3821580,227996650,0.93049668874172,0.03
"qash","QASH","QASH",2018-04-19,91,0.651839,0.731201,0.649559,0.731201,5233200,255920350,1.00051470588235,0.08
"qash","QASH","QASH",2018-04-20,91,0.730874,0.779957,0.697598,0.769173,4857680,269210550,0.868628640776698,0.08
"qash","QASH","QASH",2018-04-21,91,0.772742,0.78973,0.724008,0.755267,4766250,264343450,0.475783866057839,0.07
"qash","QASH","QASH",2018-04-22,91,0.761489,0.793522,0.738255,0.773287,4960510,270650450,0.633490054249547,0.06
"qash","QASH","QASH",2018-04-23,91,0.769646,0.792833,0.756556,0.758726,4176840,265554100,0.059779614325069,0.04
"qash","QASH","QASH",2018-04-24,91,0.757961,0.890255,0.753829,0.890255,6257080,311589250,1.00019061583578,0.14
"qash","QASH","QASH",2018-04-25,91,0.886335,0.886384,0.71892,0.73178,5435540,256123000,0.076776119402985,0.17
"qash","QASH","QASH",2018-04-26,91,0.736336,0.792535,0.710964,0.778453,4819800,272458550,0.827071078431371,0.08
"qash","QASH","QASH",2018-04-27,91,0.778359,0.782931,0.729146,0.731278,3663570,255947300,0.0396282527881045,0.05
"qash","QASH","QASH",2018-04-28,91,0.728885,0.756402,0.711863,0.741096,3681420,259383600,0.656921348314606,0.04
"qash","QASH","QASH",2018-04-29,91,0.74096,0.936766,0.74096,0.918467,6904510,321463450,0.906573033707866,0.2
"qash","QASH","QASH",2018-04-30,91,0.916596,0.941625,0.861204,0.865547,8001890,302941450,0.0540174129353232,0.08
"qash","QASH","QASH",2018-05-01,91,0.864059,0.864756,0.822303,0.863162,3639860,302106700,0.961388235294117,0.04
"qash","QASH","QASH",2018-05-02,91,0.860825,0.88119,0.850748,0.852326,6115580,298314100,0.0519078947368447,0.03
"qash","QASH","QASH",2018-05-03,91,0.85213,0.867767,0.83279,0.852574,4303320,298400900,0.565257142857143,0.03
"qash","QASH","QASH",2018-05-04,91,0.850715,0.860608,0.809678,0.824544,3283600,288590400,0.292062868369353,0.05
"qash","QASH","QASH",2018-05-05,91,0.826578,0.89701,0.799365,0.814019,4526610,284906650,0.150143442622951,0.1
"qash","QASH","QASH",2018-05-06,91,0.813417,0.826574,0.749739,0.790713,2603420,276749550,0.533515624999999,0.08
"qash","QASH","QASH",2018-05-07,91,0.790304,0.790403,0.726322,0.764877,2103150,267706950,0.601482059282371,0.06
"qash","QASH","QASH",2018-05-08,91,0.763127,0.78798,0.732217,0.740976,1761750,259341600,0.156971326164874,0.06
"qash","QASH","QASH",2018-05-09,91,0.736311,0.740558,0.704,0.739961,1835100,258986350,0.982540983606558,0.04
"qash","QASH","QASH",2018-05-10,91,0.739551,0.742023,0.67916,0.684939,2364510,239728650,0.0918759936406992,0.06
"qash","QASH","QASH",2018-05-11,91,0.686763,0.686843,0.600374,0.620066,2618650,217023100,0.227653179190752,0.09
"qash","QASH","QASH",2018-05-12,91,0.619232,0.656902,0.595811,0.623351,1678640,218172850,0.450736497545008,0.06
"qash","QASH","QASH",2018-05-13,91,0.620176,0.680414,0.608014,0.66906,2480790,234171000,0.843176795580109,0.07
"qash","QASH","QASH",2018-05-14,91,0.667518,0.667518,0.614986,0.632589,1954790,221406150,0.335295238095237,0.05
