"slug","symbol","name","date","ranknow","open","high","low","close","volume","market","close_ratio","spread"
"augur","REP","Augur",2016-01-01,35,2.18,2.21,2.03,2.17,1364,0,0.777777777777778,0.18
"augur","REP","Augur",2016-01-02,35,2.17,2.22,1.73,2.21,149,0,0.979591836734694,0.49
"augur","REP","Augur",2016-01-03,35,2.21,2.21,2.04,2.06,366,0,0.11764705882353,0.17
"augur","REP","Augur",2016-01-04,35,2.06,2.39,2.06,2.38,449,0,0.969696969696969,0.33
"augur","REP","Augur",2016-01-05,35,2.38,2.46,2.01,2.01,731,0,0,0.45
"augur","REP","Augur",2016-01-06,35,2.01,2.12,1.95,2.03,390,0,0.470588235294117,0.17
"augur","REP","Augur",2016-01-07,35,2.04,2.26,1.96,1.97,925,0,0.0333333333333334,0.3
"augur","REP","Augur",2016-01-08,35,1.97,2.4,1.95,2.4,288,0,1,0.45
"augur","REP","Augur",2016-01-09,35,2.4,2.41,2.16,2.17,879,0,0.0399999999999991,0.25
"augur","REP","Augur",2016-01-10,35,2.17,2.29,2.15,2.29,244,0,1,0.14
"augur","REP","Augur",2016-01-11,35,2.29,2.31,2.27,2.31,89,0,1,0.04
"augur","REP","Augur",2016-01-12,35,2.31,2.37,2.05,2.31,337,0,0.812500000000001,0.32
"augur","REP","Augur",2016-01-13,35,2.3,2.31,2.25,2.29,310,0,0.666666666666667,0.06
"augur","REP","Augur",2016-01-14,35,2.29,2.3,2.27,2.29,46,0,0.666666666666667,0.03
"augur","REP","Augur",2016-01-15,35,2.18,2.18,1.93,1.93,691,0,0,0.25
"augur","REP","Augur",2016-01-16,35,1.93,2.07,1.88,2.05,700,0,0.894736842105263,0.19
"augur","REP","Augur",2016-01-17,35,2.05,2.07,2.01,2.02,67,0,0.166666666666671,0.06
"augur","REP","Augur",2016-01-18,35,2.02,2.09,1.99,2.06,460,0,0.700000000000001,0.1
"augur","REP","Augur",2016-01-19,35,2.09,2.2,2.07,2.17,809,0,0.76923076923077,0.13
"augur","REP","Augur",2016-01-20,35,2.16,2.51,2.15,2.48,1380,0,0.916666666666667,0.36
"augur","REP","Augur",2016-01-21,35,2.48,2.49,2.4,2.42,302,0,0.222222222222222,0.09
"augur","REP","Augur",2016-01-22,35,2.42,2.42,2.29,2.32,24,0,0.230769230769229,0.13
"augur","REP","Augur",2016-01-24,35,2.3,2.39,2.26,2.26,93,0,0,0.13
"augur","REP","Augur",2016-01-25,35,2.26,2.29,2.14,2.15,220,0,0.0666666666666653,0.15
"augur","REP","Augur",2016-01-26,35,2.16,2.4,2.15,2.35,1891,0,0.800000000000001,0.25
"augur","REP","Augur",2016-01-27,35,2.35,2.85,2.25,2.84,4223,0,0.983333333333333,0.6
"augur","REP","Augur",2016-01-28,35,2.85,2.85,2.4,2.66,1184,0,0.577777777777778,0.45
"augur","REP","Augur",2016-01-29,35,2.66,2.66,2.29,2.58,2189,0,0.783783783783784,0.37
"augur","REP","Augur",2016-01-30,35,2.58,2.81,2.22,2.38,1735,0,0.271186440677966,0.59
"augur","REP","Augur",2016-01-31,35,2.38,2.42,1.79,2.14,479,0,0.555555555555556,0.63
"augur","REP","Augur",2016-02-01,35,2.14,2.65,1.73,2.37,2033,0,0.695652173913044,0.92
"augur","REP","Augur",2016-02-02,35,2.37,2.59,2.17,2.25,943,0,0.190476190476191,0.42
"augur","REP","Augur",2016-02-03,35,2.25,2.6,1.68,2.48,2326,0,0.869565217391304,0.92
"augur","REP","Augur",2016-02-04,35,2.48,2.67,2.32,2.49,920,0,0.485714285714287,0.35
"augur","REP","Augur",2016-02-05,35,2.49,2.89,2.45,2.88,1048,0,0.977272727272727,0.44
"augur","REP","Augur",2016-02-06,35,2.88,2.88,2.77,2.8,1050,0,0.272727272727271,0.11
"augur","REP","Augur",2016-02-07,35,2.8,2.83,2.79,2.8,404,0,0.249999999999995,0.04
"augur","REP","Augur",2016-02-08,35,2.8,2.84,2.78,2.78,2112,0,0,0.06
"augur","REP","Augur",2016-02-09,35,2.78,2.83,2.78,2.81,781,0,0.600000000000005,0.05
"augur","REP","Augur",2016-02-10,35,2.78,2.81,2.78,2.81,1552,0,1.00000000000001,0.03
"augur","REP","Augur",2016-02-11,35,7.09,7.09,3.03,3.19,2122,0,0.0394088669950739,4.06
"augur","REP","Augur",2016-02-12,35,3.19,3.79,3.02,3.54,10572,0,0.675324675324675,0.77
"augur","REP","Augur",2016-02-13,35,3.54,3.76,3.26,3.76,4840,0,1,0.5
"augur","REP","Augur",2016-02-14,35,3.76,3.84,3.33,3.46,1873,0,0.254901960784313,0.51
"augur","REP","Augur",2016-02-15,35,3.46,4,3.46,3.76,16200,0,0.555555555555555,0.54
"augur","REP","Augur",2016-02-16,35,3.77,4.06,3.77,3.87,4135,0,0.344827586206897,0.29
"augur","REP","Augur",2016-02-17,35,3.87,4.25,3.86,4.16,6218,0,0.76923076923077,0.39
"augur","REP","Augur",2016-02-18,35,4.17,4.37,3.82,4.1,2746,0,0.509090909090909,0.55
"augur","REP","Augur",2016-02-19,35,4.1,4.27,3.88,4.18,4840,0,0.769230769230769,0.39
"augur","REP","Augur",2016-02-20,35,4.19,4.41,4.05,4.33,4382,0,0.777777777777778,0.36
"augur","REP","Augur",2016-02-21,35,4.33,4.45,3.95,4.25,5238,0,0.6,0.5
"augur","REP","Augur",2016-02-22,35,4.25,4.38,3.28,4.38,3574,0,1,1.1
"augur","REP","Augur",2016-02-23,35,4.38,4.42,4.23,4.25,3159,0,0.105263157894735,0.19
"augur","REP","Augur",2016-02-24,35,4.25,4.81,3.59,4.8,11470,0,0.991803278688525,1.22
"augur","REP","Augur",2016-02-25,35,4.8,4.92,4.21,4.63,14119,0,0.591549295774648,0.71
"augur","REP","Augur",2016-02-26,35,4.63,4.96,4.19,4.88,3908,0,0.896103896103895,0.77
"augur","REP","Augur",2016-02-27,35,4.89,4.99,4.38,4.39,3924,0,0.0163934426229505,0.61
"augur","REP","Augur",2016-02-28,35,4.39,4.43,4.31,4.41,9,0,0.833333333333338,0.12
"augur","REP","Augur",2016-02-29,35,5.08,5.17,4.59,5.17,5832,0,1,0.58
"augur","REP","Augur",2016-03-01,35,5.16,5.22,4.97,5.18,13615,0,0.84,0.25
"augur","REP","Augur",2016-03-02,35,5.18,7.32,5.16,7.21,30134,0,0.949074074074074,2.16
"augur","REP","Augur",2016-03-03,35,7.21,8.03,6.04,8.01,57120,0,0.989949748743718,1.99
"augur","REP","Augur",2016-03-04,35,8.01,8.14,7.21,7.89,20310,0,0.731182795698924,0.93
"augur","REP","Augur",2016-03-05,35,7.89,8.07,7.15,7.21,28457,0,0.0652173913043474,0.92
"augur","REP","Augur",2016-03-06,35,7.21,8.28,7.13,8.19,18326,0,0.921739130434782,1.15
"augur","REP","Augur",2016-03-07,35,8.19,8.53,7.04,8.49,19487,0,0.973154362416108,1.49
"augur","REP","Augur",2016-03-08,35,8.5,8.52,7.56,8.28,25264,0,0.75,0.96
"augur","REP","Augur",2016-03-09,35,8.28,8.51,7,8.17,22374,0,0.774834437086093,1.51
"augur","REP","Augur",2016-03-10,35,8.17,9.17,7.73,9.16,43686,0,0.993055555555555,1.44
"augur","REP","Augur",2016-03-11,35,9.16,9.31,8.34,9.3,29441,0,0.989690721649485,0.97
"augur","REP","Augur",2016-03-12,35,9.3,10.31,8.36,10.29,65512,0,0.98974358974359,1.95
"augur","REP","Augur",2016-03-13,35,10.29,10.36,8.57,10.17,5436,0,0.893854748603352,1.79
"augur","REP","Augur",2016-03-14,35,10.17,10.39,8.7,10.31,20413,0,0.952662721893492,1.69
"augur","REP","Augur",2016-03-15,35,10.3,12.93,10.01,12.92,48919,0,0.996575342465754,2.92
"augur","REP","Augur",2016-03-16,35,12.92,16.35,11.77,15.03,127764,0,0.7117903930131,4.58
"augur","REP","Augur",2016-03-17,35,15.06,16.49,10.92,12.66,31184,0,0.312387791741472,5.57
"augur","REP","Augur",2016-03-18,35,12.66,16.38,12.43,12.53,8312,0,0.0253164556962024,3.95
"augur","REP","Augur",2016-03-19,35,12.52,14.77,12.51,14.37,1721,0,0.823008849557522,2.26
"augur","REP","Augur",2016-03-20,35,14.36,14.44,11.52,12.78,3102,0,0.431506849315068,2.92
"augur","REP","Augur",2016-03-21,35,12.77,12.77,9.5,11.6,47335,0,0.642201834862385,3.27
"augur","REP","Augur",2016-03-22,35,11.6,13.79,10.06,13.51,46246,0,0.924932975871314,3.73
"augur","REP","Augur",2016-03-23,35,13.51,13.51,10.11,12.12,14210,0,0.591176470588235,3.4
"augur","REP","Augur",2016-03-24,35,12.13,12.14,11.31,11.63,17800,0,0.385542168674699,0.83
"augur","REP","Augur",2016-03-25,35,11.63,11.68,11.1,11.51,36710,0,0.706896551724138,0.58
"augur","REP","Augur",2016-03-26,35,11.52,11.7,9.58,10.65,60487,0,0.504716981132076,2.12
"augur","REP","Augur",2016-03-27,35,10.65,11.73,10.57,11.1,29161,0,0.456896551724137,1.16
"augur","REP","Augur",2016-03-28,35,11.09,11.85,11.09,11.4,56555,0,0.407894736842106,0.76
"augur","REP","Augur",2016-03-29,35,11.4,12.47,9.38,9.39,15626,0,0.00323624595469249,3.09
"augur","REP","Augur",2016-03-30,35,9.4,11.62,9.37,10.74,2913,0,0.608888888888889,2.25
"augur","REP","Augur",2016-03-31,35,10.75,11.69,8.39,9.96,11651,0,0.475757575757576,3.3
"augur","REP","Augur",2016-04-01,35,9.96,10.34,7.59,9.5,16541,0,0.694545454545455,2.75
"augur","REP","Augur",2016-04-02,35,9.51,9.6,7.67,9.51,16642,0,0.953367875647668,1.93
"augur","REP","Augur",2016-04-03,35,9.52,9.52,9.33,9.45,25517,0,0.631578947368417,0.19
"augur","REP","Augur",2016-04-04,35,9.46,9.53,8.17,9.27,35980,0,0.808823529411764,1.36
"augur","REP","Augur",2016-04-05,35,9.03,9.56,8.47,9.48,31211,0,0.926605504587156,1.09
