"slug","symbol","name","date","ranknow","open","high","low","close","volume","market","close_ratio","spread"
"siacoin","SC","Siacoin",2016-01-01,47,0.000017,0.000022,0.000017,0.000022,1036,190970,Inf,0
"siacoin","SC","Siacoin",2016-01-02,47,0.000022,0.000022,0.000022,0.000022,869,191523,0,0
"siacoin","SC","Siacoin",2016-01-04,47,0.000022,0.000022,0.000013,0.000017,2322,154197,Inf,0
"siacoin","SC","Siacoin",2016-01-05,47,0.000017,0.000022,0.000013,0.000017,3097,154301,Inf,0
"siacoin","SC","Siacoin",2016-01-06,47,0.000017,0.000022,0.000017,0.000017,2210,153889,0,0
"siacoin","SC","Siacoin",2016-01-07,47,0.000017,0.000018,0.000014,0.000018,638,165046,Inf,0
"siacoin","SC","Siacoin",2016-01-08,47,0.000018,0.000018,0.000014,0.000018,1274,164044,Inf,0
"siacoin","SC","Siacoin",2016-01-09,47,0.000018,0.000027,0.000018,0.000022,5043,203405,Inf,0
"siacoin","SC","Siacoin",2016-01-10,47,0.000022,0.000035,0.000022,0.000027,11334,245484,Inf,0
"siacoin","SC","Siacoin",2016-01-11,47,0.000027,0.000027,0.000022,0.000027,2457,247034,Inf,0
"siacoin","SC","Siacoin",2016-01-12,47,0.000027,0.000027,0.000018,0.000022,1921,201040,Inf,0
"siacoin","SC","Siacoin",2016-01-13,47,0.000022,0.000026,0.000017,0.000022,2735,200359,Inf,0
"siacoin","SC","Siacoin",2016-01-14,47,0.000022,0.000026,0.000017,0.000022,1081,200182,Inf,0
"siacoin","SC","Siacoin",2016-01-15,47,0.000022,0.000025,0.000018,0.000022,750,204888,Inf,0
"siacoin","SC","Siacoin",2016-01-16,47,0.000022,0.000023,0.000018,0.000019,433,181358,Inf,0
"siacoin","SC","Siacoin",2016-01-17,47,0.000019,0.000023,0.000019,0.000019,1798,179790,0,0
"siacoin","SC","Siacoin",2016-01-18,47,0.000019,0.000023,0.000015,0.000019,2764,182745,Inf,0
"siacoin","SC","Siacoin",2016-01-19,47,0.000019,0.000023,0.000019,0.000019,2900,180131,0,0
"siacoin","SC","Siacoin",2016-01-20,47,0.000019,0.000025,0.000019,0.000021,834,199992,Inf,0
"siacoin","SC","Siacoin",2016-01-21,47,0.000021,0.000029,0.00002,0.000029,4793,274379,Inf,0
