"slug","symbol","name","date","ranknow","open","high","low","close","volume","market","close_ratio","spread"
"storm","STORM","Storm",2017-12-20,181,0.016186,0.031434,0.014483,0.016157,330757,0,0.0984705882352942,0.02
"storm","STORM","Storm",2017-12-21,181,0.02536,0.030191,0.016309,0.026098,902528,0,0.704244604316547,0.01
"storm","STORM","Storm",2017-12-22,181,0.026214,0.027799,0.018022,0.023107,188377,0,0.518877551020408,0.01
"storm","STORM","Storm",2017-12-23,181,0.023323,0.025613,0.020573,0.023048,294605,0,0.495,0.01
"storm","STORM","Storm",2017-12-24,181,0.023298,0.026789,0.019748,0.024863,482241,0,0.730714285714285,0.01
"storm","STORM","Storm",2017-12-25,181,0.023844,0.028324,0.021563,0.027888,426157,67651786,0.93014705882353,0.01
"storm","STORM","Storm",2017-12-26,181,0.027851,0.032575,0.020987,0.028179,1116930,68357940,0.62,0.01
"storm","STORM","Storm",2017-12-27,181,0.028207,0.034014,0.025718,0.034014,1094110,82511101,0.999518072289157,0.01
"storm","STORM","Storm",2017-12-28,181,0.032558,0.041773,0.032558,0.038674,1766170,93815872,0.664782608695653,0.01
"storm","STORM","Storm",2017-12-29,181,0.039057,0.056605,0.036399,0.053627,2808230,130087833,0.852871287128713,0.02
"storm","STORM","Storm",2017-12-30,181,0.050716,0.053515,0.03902,0.046059,1116000,111730012,0.485448275862069,0.01
"storm","STORM","Storm",2017-12-31,181,0.043232,0.072469,0.043232,0.061238,5270940,148785080,0.616643835616438,0.03
"storm","STORM","Storm",2018-01-01,181,0.062706,0.074348,0.051035,0.067488,4057350,163971446,0.706137339055794,0.02
"storm","STORM","Storm",2018-01-02,181,0.0666,0.101463,0.066274,0.098712,21009200,239834030,0.921534090909091,0.04
"storm","STORM","Storm",2018-01-03,181,0.098882,0.103928,0.090534,0.093791,7173600,227877364,0.243059701492537,0.01
"storm","STORM","Storm",2018-01-04,181,0.095074,0.154594,0.087777,0.144899,10084300,352050108,0.855119760479042,0.07
"storm","STORM","Storm",2018-01-05,181,0.14736,0.211928,0.132436,0.179656,19192400,436496555,0.593962264150944,0.08
"storm","STORM","Storm",2018-01-06,181,0.175205,0.185289,0.147311,0.15137,7577750,367772206,0.106815789473684,0.04
"storm","STORM","Storm",2018-01-07,181,0.151302,0.168795,0.135759,0.138766,7030130,338289756,0.0911212121212124,0.03
"storm","STORM","Storm",2018-01-08,181,0.137468,0.163401,0.126285,0.148054,10739500,360971731,0.586765498652291,0.04
"storm","STORM","Storm",2018-01-09,181,0.146408,0.246579,0.143471,0.211249,30800100,515048004,0.657400581959263,0.1
"storm","STORM","Storm",2018-01-10,181,0.206089,0.222088,0.151416,0.161204,15622000,393032859,0.138444130127298,0.07
"storm","STORM","Storm",2018-01-11,181,0.161977,0.16876,0.109384,0.12098,9480250,294962379,0.195218855218855,0.06
"storm","STORM","Storm",2018-01-12,181,0.12215,0.13324,0.115159,0.124733,4673360,304112600,0.528950276243094,0.02
"storm","STORM","Storm",2018-01-13,181,0.124755,0.145059,0.11906,0.142196,7352950,346689291,0.889846153846154,0.03
"storm","STORM","Storm",2018-01-14,181,0.143365,0.143365,0.113908,0.119711,5196320,291868419,0.19671186440678,0.03
"storm","STORM","Storm",2018-01-15,181,0.11897,0.122228,0.098315,0.098315,3336010,239703379,0,0.02
"storm","STORM","Storm",2018-01-16,181,0.096572,0.096572,0.054111,0.067552,3073760,164697893,0.316258823529412,0.04
"storm","STORM","Storm",2018-01-17,181,0.067414,0.078425,0.044223,0.072518,4328130,176807491,0.82733918128655,0.03
"storm","STORM","Storm",2018-01-18,181,0.071333,0.084728,0.065558,0.075756,3540840,187024940,0.531145833333333,0.02
"storm","STORM","Storm",2018-01-19,181,0.074261,0.076577,0.065149,0.070514,1724110,174083380,0.470614035087719,0.01
"storm","STORM","Storm",2018-01-20,181,0.071245,0.083585,0.070089,0.081266,1701360,200626157,0.827925925925926,0.01
"storm","STORM","Storm",2018-01-21,181,0.082707,0.082707,0.062521,0.066893,1224850,165143702,0.216435643564356,0.02
"storm","STORM","Storm",2018-01-22,181,0.067815,0.075302,0.055399,0.063691,1647950,157239922,0.416683417085427,0.02
"storm","STORM","Storm",2018-01-23,181,0.063539,0.067634,0.058151,0.062439,1062390,154147289,0.451368421052632,0.01
"storm","STORM","Storm",2018-01-24,181,0.06252,0.077947,0.061058,0.070922,2830830,175587591,0.583668639053254,0.02
"storm","STORM","Storm",2018-01-25,181,0.071194,0.07573,0.065987,0.070047,1964560,173419555,0.418556701030927,0.01
"storm","STORM","Storm",2018-01-26,181,0.069008,0.094521,0.069008,0.086533,10021000,214237146,0.687254901960784,0.03
"storm","STORM","Storm",2018-01-27,181,0.085963,0.120359,0.085285,0.102489,16103400,253741143,0.49014245014245,0.04
"storm","STORM","Storm",2018-01-28,181,0.10221,0.107202,0.094518,0.094518,4021140,234005886,0,0.01
"storm","STORM","Storm",2018-01-29,181,0.094758,0.095719,0.078415,0.083373,4548600,206413217,0.286589595375723,0.02
"storm","STORM","Storm",2018-01-30,181,0.083404,0.084001,0.061865,0.061865,2895930,153164194,0,0.02
"storm","STORM","Storm",2018-01-31,181,0.06148,0.068861,0.054875,0.065835,1825890,162994067,0.782857142857143,0.01
"storm","STORM","Storm",2018-02-01,181,0.065882,0.066297,0.050713,0.051909,1388320,128515981,0.0766666666666664,0.02
"storm","STORM","Storm",2018-02-02,181,0.051891,0.051891,0.032333,0.047187,2021010,116826295,0.757857142857143,0.02
"storm","STORM","Storm",2018-02-03,181,0.047127,0.053804,0.039841,0.050455,1046640,124914698,0.758142857142857,0.01
"storm","STORM","Storm",2018-02-04,181,0.050414,0.051819,0.040521,0.041781,979685,103440942,0.111504424778761,0.01
"storm","STORM","Storm",2018-02-05,181,0.041381,0.042567,0.029885,0.031833,1000950,78811793,0.153385826771654,0.01
"storm","STORM","Storm",2018-02-06,181,0.03184,0.038402,0.02649,0.038402,1577810,95075003,1.00100840336134,0.01
"storm","STORM","Storm",2018-02-07,181,0.03779,0.03928,0.033208,0.034976,1204490,86593198,0.28983606557377,0.01
"storm","STORM","Storm",2018-02-08,181,0.034881,0.038656,0.034831,0.038089,725151,94300329,0.857368421052631,0
"storm","STORM","Storm",2018-02-09,181,0.038123,0.048002,0.035929,0.047862,2201990,122265870,0.986198347107438,0.01
"storm","STORM","Storm",2018-02-10,181,0.047969,0.056671,0.041837,0.044582,4938980,121923327,0.185472972972973,0.01
"storm","STORM","Storm",2018-02-11,181,0.04447,0.04447,0.036895,0.03877,3279550,106029226,0.24671052631579,0.01
"storm","STORM","Storm",2018-02-12,181,0.03881,0.042972,0.037627,0.038542,1465690,105405419,0.172641509433962,0.01
"storm","STORM","Storm",2018-02-13,181,0.037555,0.038216,0.035219,0.036601,1045170,100096081,0.460666666666667,0
"storm","STORM","Storm",2018-02-14,181,0.036838,0.039244,0.036094,0.03863,804392,105644440,0.792499999999999,0
"storm","STORM","Storm",2018-02-15,181,0.038929,0.042266,0.037652,0.039469,1176430,161220930,0.395,0
"storm","STORM","Storm",2018-02-16,181,0.039407,0.040448,0.03525,0.035788,1053510,146182265,0.103461538461539,0.01
"storm","STORM","Storm",2018-02-17,181,0.036857,0.039118,0.03569,0.038898,1692380,158886928,0.943529411764707,0
"storm","STORM","Storm",2018-02-18,181,0.038573,0.043378,0.036816,0.038628,1750900,157782015,0.274545454545455,0.01
"storm","STORM","Storm",2018-02-19,181,0.0385,0.042193,0.037506,0.041346,741757,168884657,0.817021276595745,0
"storm","STORM","Storm",2018-02-20,181,0.041938,0.044021,0.034418,0.034418,2903940,140588258,0,0.01
"storm","STORM","Storm",2018-02-21,181,0.034405,0.034534,0.028957,0.029841,2461300,121890513,0.157857142857143,0.01
"storm","STORM","Storm",2018-02-22,181,0.029918,0.031593,0.026764,0.027979,1775870,114287239,0.253125,0
"storm","STORM","Storm",2018-02-23,181,0.027878,0.031094,0.026669,0.029355,543066,119906979,0.610454545454545,0
"storm","STORM","Storm",2018-02-24,181,0.029408,0.031524,0.026285,0.028477,518420,116321423,0.421538461538461,0.01
"storm","STORM","Storm",2018-02-25,181,0.028484,0.029036,0.025014,0.026474,604925,108138530,0.365,0
"storm","STORM","Storm",2018-02-26,181,0.026461,0.030712,0.026461,0.030068,864058,122818150,0.838837209302326,0
"storm","STORM","Storm",2018-02-27,181,0.03015,0.032188,0.029511,0.03031,828354,123808283,0.295925925925926,0
"storm","STORM","Storm",2018-02-28,181,0.03026,0.03361,0.028622,0.02903,668374,118580266,0.0815999999999997,0
"storm","STORM","Storm",2018-03-01,181,0.029065,0.03154,0.028867,0.030382,808557,124102790,0.561111111111111,0
"storm","STORM","Storm",2018-03-02,181,0.030333,0.030618,0.028041,0.030127,695702,123060781,0.802307692307693,0
"storm","STORM","Storm",2018-03-03,181,0.0301,0.031903,0.028657,0.030546,554112,124772682,0.590312500000001,0
"storm","STORM","Storm",2018-03-04,181,0.030501,0.031305,0.027855,0.027893,408677,113935955,0.0111764705882352,0
"storm","STORM","Storm",2018-03-05,181,0.027878,0.02982,0.026886,0.029421,651048,120176570,0.874137931034482,0
"storm","STORM","Storm",2018-03-06,181,0.029383,0.030837,0.025877,0.025909,938391,105829854,0.00640000000000016,0
"storm","STORM","Storm",2018-03-07,181,0.025951,0.026721,0.020708,0.021764,626274,88899969,0.176,0.01
"storm","STORM","Storm",2018-03-08,181,0.0221,0.0226,0.017794,0.018981,482544,77530187,0.247291666666667,0
"storm","STORM","Storm",2018-03-09,181,0.018906,0.019348,0.014888,0.017247,857471,70449757,0.524222222222222,0
"storm","STORM","Storm",2018-03-10,181,0.017154,0.018748,0.015295,0.017127,117287,69960409,0.523428571428571,0
"storm","STORM","Storm",2018-03-11,181,0.017156,0.018513,0.015907,0.018263,158047,74598185,0.906153846153846,0
"storm","STORM","Storm",2018-03-12,181,0.01825,0.031294,0.017453,0.027757,41869700,113377575,0.746666666666667,0.01
"storm","STORM","Storm",2018-03-13,181,0.027587,0.027787,0.02399,0.02594,19888600,105956888,0.513157894736842,0
"storm","STORM","Storm",2018-03-14,181,0.02587,0.026158,0.01894,0.020024,11994100,81792988,0.150555555555556,0.01
"storm","STORM","Storm",2018-03-15,181,0.019951,0.020337,0.018212,0.019336,7723850,78983118,0.535238095238095,0
"storm","STORM","Storm",2018-03-16,181,0.019237,0.023014,0.018242,0.021308,13400500,87124463,0.63875,0
"storm","STORM","Storm",2018-03-17,181,0.021081,0.02244,0.01863,0.019206,8558890,78529694,0.151578947368421,0
"storm","STORM","Storm",2018-03-18,181,0.019163,0.019163,0.0156,0.01874,5762950,76623470,0.872222222222222,0
"storm","STORM","Storm",2018-03-19,181,0.01866,0.019768,0.018288,0.019102,6159320,78106906,0.542666666666668,0
"storm","STORM","Storm",2018-03-20,181,0.019312,0.019884,0.018132,0.019279,5260760,78830224,0.637222222222223,0
"storm","STORM","Storm",2018-03-21,181,0.019329,0.027916,0.019302,0.026871,37226000,109870752,0.880116279069767,0.01
"storm","STORM","Storm",2018-03-22,181,0.026583,0.030436,0.024327,0.025076,25148000,102533305,0.122786885245902,0.01
"storm","STORM","Storm",2018-03-23,181,0.025061,0.082442,0.022964,0.070538,1831430016,288418698,0.799563025210084,0.06
"storm","STORM","Storm",2018-03-24,181,0.076034,0.080086,0.052799,0.052931,1116290048,216427489,0.00483516483516484,0.03
"storm","STORM","Storm",2018-03-25,181,0.054165,0.060263,0.051179,0.054504,552409984,222858437,0.365384615384615,0.01
"storm","STORM","Storm",2018-03-26,181,0.054308,0.054308,0.043294,0.045585,431744992,186389548,0.208272727272727,0.01
