"slug","symbol","name","date","ranknow","open","high","low","close","volume","market","close_ratio","spread"
"nem","XEM","NEM",2016-01-01,19,0.000151,0.000173,0.000151,0.000162,1361,1457604,Inf,0
"nem","XEM","NEM",2016-01-02,19,0.000162,0.000177,0.000161,0.000165,1140,1484343,Inf,0
"nem","XEM","NEM",2016-01-03,19,0.000165,0.000175,0.00016,0.000175,573,1573830,Inf,0
"nem","XEM","NEM",2016-01-04,19,0.000175,0.000244,0.000168,0.000203,7346,1824435,0.35,0
"nem","XEM","NEM",2016-01-05,19,0.000203,0.000205,0.000183,0.000186,1676,1678194,Inf,0
"nem","XEM","NEM",2016-01-06,19,0.000186,0.000195,0.000182,0.000188,1372,1690686,Inf,0
"nem","XEM","NEM",2016-01-07,19,0.000188,0.000264,0.000188,0.000252,20869,2265822,0.64,0
"nem","XEM","NEM",2016-01-08,19,0.000252,0.000323,0.000222,0.000272,30481,2447586,0.5,0
"nem","XEM","NEM",2016-01-09,19,0.000272,0.000275,0.000232,0.000256,9030,2304657,Inf,0
"nem","XEM","NEM",2016-01-10,19,0.000256,0.000272,0.000244,0.000256,3027,2304414,Inf,0
"nem","XEM","NEM",2016-01-11,19,0.000257,0.000257,0.000232,0.000239,11982,2148849,Inf,0
"nem","XEM","NEM",2016-01-12,19,0.000238,0.000267,0.000232,0.00026,7721,2338794,Inf,0
"nem","XEM","NEM",2016-01-13,19,0.000258,0.000259,0.000242,0.000248,6263,2233935,Inf,0
"nem","XEM","NEM",2016-01-14,19,0.000248,0.000304,0.000248,0.000285,39981,2563767,0.37,0
"nem","XEM","NEM",2016-01-15,19,0.000285,0.000328,0.000256,0.000256,37975,2304270,0,0
"nem","XEM","NEM",2016-01-16,19,0.000255,0.00028,0.000253,0.000278,10071,2502549,Inf,0
"nem","XEM","NEM",2016-01-17,19,0.000278,0.0003,0.000278,0.000294,9379,2644353,Inf,0
"nem","XEM","NEM",2016-01-18,19,0.000284,0.000364,0.000282,0.000352,68567,3166416,0.7,0
"nem","XEM","NEM",2016-01-19,19,0.000352,0.000532,0.000346,0.000468,126416,4209876,0.61,0
"nem","XEM","NEM",2016-01-20,19,0.000461,0.000651,0.00045,0.000606,252740,5449887,0.78,0
"nem","XEM","NEM",2016-01-21,19,0.000582,0.000632,0.000419,0.000468,81548,4214313,0.245,0
"nem","XEM","NEM",2016-01-22,19,0.00047,0.00047,0.000412,0.00045,52632,4049091,0.38,0
"nem","XEM","NEM",2016-01-23,19,0.000453,0.000511,0.000428,0.000455,68777,4090995,0.27,0
"nem","XEM","NEM",2016-01-24,19,0.000466,0.000466,0.000397,0.000413,28556,3720339,0.16,0
"nem","XEM","NEM",2016-01-25,19,0.000413,0.00043,0.000367,0.000379,27464,3408075,0.12,0
"nem","XEM","NEM",2016-01-26,19,0.000379,0.000427,0.000372,0.000418,26105,3758886,0.46,0
"nem","XEM","NEM",2016-01-27,19,0.000417,0.000448,0.000389,0.000422,35648,3796812,0.33,0
"nem","XEM","NEM",2016-01-28,19,0.000422,0.000438,0.00039,0.000396,19034,3562272,Inf,0
"nem","XEM","NEM",2016-01-29,19,0.000396,0.000432,0.000374,0.000432,19446,3884940,0.58,0
"nem","XEM","NEM",2016-01-30,19,0.000428,0.000478,0.000425,0.000466,35814,4193865,0.41,0
"nem","XEM","NEM",2016-01-31,19,0.000458,0.000502,0.000431,0.000491,46422,4418379,0.6,0
"nem","XEM","NEM",2016-02-01,19,0.000494,0.000515,0.000434,0.000507,52135,4562730,0.73,0
"nem","XEM","NEM",2016-02-02,19,0.000507,0.000662,0.000487,0.000588,114264,5291982,0.505,0
"nem","XEM","NEM",2016-02-03,19,0.000581,0.000712,0.000574,0.00063,91762,5665671,0.560000000000001,0
