"slug","symbol","name","date","ranknow","open","high","low","close","volume","market","close_ratio","spread"
"zcash","ZEC","Zcash",2016-10-29,20,4293.37,5941.8,2006.47,2044.47,2532790,973672,0.00965611524319434,3935.33
"zcash","ZEC","Zcash",2016-10-30,20,2014.38,2028.46,504.54,574.82,1009210,597302,0.0461179064517823,1523.92
"zcash","ZEC","Zcash",2016-10-31,20,570.91,2217.64,472.73,1624.58,4333820,2940105,0.660120006189431,1744.91
"zcash","ZEC","Zcash",2016-11-01,20,1599.72,2027.05,1189.33,1333.74,4802060,3722440,0.172384567635964,837.72
"zcash","ZEC","Zcash",2016-11-02,20,1326.29,1409.07,872.41,942.78,3936160,3737043,0.131125852495062,536.66
"zcash","ZEC","Zcash",2016-11-03,20,940.66,1067.59,863.81,887.26,2783300,4732771,0.115075080969673,203.78
"zcash","ZEC","Zcash",2016-11-04,20,887.66,889.8,601.84,603.98,2469390,4198689,0.00743158772051669,287.96
"zcash","ZEC","Zcash",2016-11-05,20,599.52,634,501.69,504.57,1984150,4425019,0.0217670622024034,132.31
"zcash","ZEC","Zcash",2016-11-06,20,504.27,507.5,320.54,321.79,2390590,3464374,0.00668592212237912,186.96
"zcash","ZEC","Zcash",2016-11-07,20,319.23,345.94,236.01,236.01,1808930,3063970,0,109.93
"zcash","ZEC","Zcash",2016-11-08,20,233.78,308.64,178.98,308.64,2578200,4744312,1,129.66
"zcash","ZEC","Zcash",2016-11-09,20,331.69,374.12,222.51,255.58,3706020,4592070,0.21812545346613,151.61
"zcash","ZEC","Zcash",2016-11-10,20,254.94,257.49,224.83,226.17,1255400,4698609,0.0410287813839551,32.66
"zcash","ZEC","Zcash",2016-11-11,20,224.67,226.17,183.24,183.36,1173130,4380420,0.00279524807826705,42.93
"zcash","ZEC","Zcash",2016-11-12,20,183.02,189.54,144.11,144.11,1167540,3901254,0,45.43
"zcash","ZEC","Zcash",2016-11-13,20,143.17,146.23,117.26,117.26,1401920,3585167,0,28.97
"zcash","ZEC","Zcash",2016-11-14,20,117.55,117.82,97.18,105.07,1418260,3597444,0.382267441860464,20.64
"zcash","ZEC","Zcash",2016-11-15,20,105.15,131.23,97.43,109.34,2030660,4167297,0.352366863905325,33.8
"zcash","ZEC","Zcash",2016-11-16,20,109.71,115.62,96.92,96.95,1443840,4085745,0.00160427807486637,18.7
"zcash","ZEC","Zcash",2016-11-17,20,97.48,100.42,85.39,87.64,915597,4079559,0.149700598802395,15.03
"zcash","ZEC","Zcash",2016-11-18,20,87.33,88.84,70.47,70.64,1032890,3597785,0.00925421883505725,18.37
"zcash","ZEC","Zcash",2016-11-19,20,71.12,72,64.63,65.7,822655,3655613,0.145183175033922,7.37
"zcash","ZEC","Zcash",2016-11-20,20,65.29,67.63,60.27,60.27,598211,3646316,0,7.36
"zcash","ZEC","Zcash",2016-11-21,20,59.96,60.23,53.94,54.02,711312,3546538,0.0127186009538959,6.29
"zcash","ZEC","Zcash",2016-11-22,20,54.01,72.02,53.39,57.9,1326320,4103476,0.242082662372517,18.63
"zcash","ZEC","Zcash",2016-11-23,20,57.54,87.68,57.4,77.56,2391080,5931096,0.665785997357992,30.28
"zcash","ZEC","Zcash",2016-11-24,20,78.43,102.42,69.08,97.19,4090150,7998709,0.843131373725255,33.34
"zcash","ZEC","Zcash",2016-11-25,20,96.64,106.89,88.17,91.33,3525760,8050200,0.168803418803419,18.72
"zcash","ZEC","Zcash",2016-11-26,20,91.13,92.36,76.02,77.3,1902290,7283838,0.0783353733170135,16.34
"zcash","ZEC","Zcash",2016-11-27,20,77.33,80.42,66.66,69.83,1465100,7018955,0.230377906976744,13.76
"zcash","ZEC","Zcash",2016-11-28,20,69.26,75.52,66.21,70.96,1262350,7603727,0.510204081632653,9.31
"zcash","ZEC","Zcash",2016-11-29,20,71.84,77.66,67.96,68.72,1275680,7828565,0.0783505154639181,9.7
"zcash","ZEC","Zcash",2016-11-30,20,68.76,72.94,66.71,68.69,1389900,8288191,0.317817014446229,6.23
"zcash","ZEC","Zcash",2016-12-01,20,68.46,68.46,62.49,63.03,1247650,8068817,0.0904522613065325,5.97
"zcash","ZEC","Zcash",2016-12-02,20,63.63,64.5,60.32,60.32,1201460,8150890,0,4.18
"zcash","ZEC","Zcash",2016-12-03,20,59.85,60.85,58.66,59.53,837752,8468557,0.397260273972605,2.19
"zcash","ZEC","Zcash",2016-12-04,20,59.46,62.11,58.35,58.39,825231,8728494,0.0106382978723402,3.76
"zcash","ZEC","Zcash",2016-12-05,20,58.39,58.59,50.81,50.93,1036500,7971750,0.0154241645244213,7.78
"zcash","ZEC","Zcash",2016-12-06,20,50.97,53.08,47.48,48.74,1386070,7982567,0.225000000000001,5.6
"zcash","ZEC","Zcash",2016-12-07,20,48.74,61.18,47.71,54.61,1479950,9332866,0.512249443207127,13.47
"zcash","ZEC","Zcash",2016-12-08,20,54,57.45,53.28,53.3,797234,9493216,0.00479616306954341,4.17
"zcash","ZEC","Zcash",2016-12-09,20,53.38,53.44,49.71,50.37,674180,9331820,0.176943699731903,3.73
"zcash","ZEC","Zcash",2016-12-10,20,50.35,50.54,48.11,49.78,539462,9577913,0.68724279835391,2.43
"zcash","ZEC","Zcash",2016-12-11,20,49.6,50.56,48.34,48.48,512219,9674088,0.0630630630630601,2.22
"zcash","ZEC","Zcash",2016-12-12,20,48.48,50.12,48.33,49.92,650266,10320124,0.888268156424583,1.79
"zcash","ZEC","Zcash",2016-12-13,20,50.02,50.02,46.55,46.78,600625,10006855,0.0662824207492807,3.47
"zcash","ZEC","Zcash",2016-12-14,20,46.82,47.24,43.13,44.33,801444,9799136,0.291970802919707,4.11
"zcash","ZEC","Zcash",2016-12-15,20,44.41,44.41,40.08,40.31,658957,9198005,0.0531177829099316,4.33
"zcash","ZEC","Zcash",2016-12-16,20,40.48,42.3,40.06,40.22,417793,9464826,0.0714285714285699,2.24
"zcash","ZEC","Zcash",2016-12-17,20,40.22,40.22,35.8,35.84,668641,8689268,0.00904977375565752,4.42
"zcash","ZEC","Zcash",2016-12-18,20,35.82,40.63,35.14,36.44,603727,9096419,0.2367941712204,5.49
"zcash","ZEC","Zcash",2016-12-19,20,36.55,37.48,33.91,34.47,544746,8848321,0.15686274509804,3.57
"zcash","ZEC","Zcash",2016-12-20,20,34.56,40.06,34.24,36.02,1105810,9506381,0.305841924398626,5.82
"zcash","ZEC","Zcash",2016-12-21,20,36.17,39.32,35.77,36.29,892439,9838594,0.146478873239436,3.55
"zcash","ZEC","Zcash",2016-12-22,20,36.29,48.57,36.28,47.76,2591110,13299488,0.934092758340114,12.29
"zcash","ZEC","Zcash",2016-12-23,20,48.02,63.97,45.97,52.05,4812040,14866097,0.337777777777778,18
"zcash","ZEC","Zcash",2016-12-24,20,51.99,54.89,47.51,48.24,1362700,14113973,0.0989159891598921,7.38
"zcash","ZEC","Zcash",2016-12-25,20,48.52,50.01,44.06,45.85,927218,13741412,0.300840336134454,5.95
"zcash","ZEC","Zcash",2016-12-26,20,45.89,46.91,42.67,43.59,896655,13377691,0.216981132075472,4.24
"zcash","ZEC","Zcash",2016-12-27,20,43.5,48.31,42.16,44.38,1034630,13936801,0.360975609756098,6.15
"zcash","ZEC","Zcash",2016-12-28,20,44.02,54.11,43.72,48.49,2236980,15576049,0.459095283926853,10.39
"zcash","ZEC","Zcash",2016-12-29,20,48.43,52.93,48.43,50.99,1191160,16747702,0.568888888888889,4.5
"zcash","ZEC","Zcash",2016-12-30,20,50.52,52.24,49.97,50.38,960167,16907616,0.180616740088107,2.27
"zcash","ZEC","Zcash",2016-12-31,20,50.48,50.48,48.01,48.1,534660,16488152,0.0364372469635641,2.47
"zcash","ZEC","Zcash",2017-01-01,20,48.05,49.06,47.97,48.47,530961,16958488,0.458715596330275,1.09
"zcash","ZEC","Zcash",2017-01-02,20,48.36,50.26,48.14,49.79,795244,17773112,0.778301886792452,2.12
"zcash","ZEC","Zcash",2017-01-03,20,50.09,51.71,48.61,50.04,1131760,18226556,0.461290322580645,3.1
"zcash","ZEC","Zcash",2017-01-04,20,49.8,57.25,49.72,57.03,1998750,21181298,0.970783532536521,7.53
"zcash","ZEC","Zcash",2017-01-05,20,57.22,59.77,47.7,49.84,2845970,18862766,0.177299088649544,12.07
"zcash","ZEC","Zcash",2017-01-06,20,49.79,52.24,45.74,47.46,1202660,18296056,0.264615384615384,6.5
"zcash","ZEC","Zcash",2017-01-07,20,47.71,47.87,44.01,47.38,1084960,18612858,0.873056994818654,3.86
"zcash","ZEC","Zcash",2017-01-08,20,47.39,48.17,45.62,46.11,831332,18438524,0.192156862745099,2.55
"zcash","ZEC","Zcash",2017-01-09,20,46.12,46.47,45.59,46.1,668273,18768059,0.579545454545452,0.88
"zcash","ZEC","Zcash",2017-01-10,20,46.22,46.37,45.03,45.66,749575,18914452,0.47014925373134,1.34
"zcash","ZEC","Zcash",2017-01-11,20,45.63,46.04,39.76,40.05,1211260,16876688,0.0461783439490445,6.28
"zcash","ZEC","Zcash",2017-01-12,20,40.07,45.42,39.44,42.81,1387920,18346341,0.563545150501673,5.98
"zcash","ZEC","Zcash",2017-01-13,20,42.66,44.47,42.28,43.21,691680,18832903,0.424657534246575,2.19
"zcash","ZEC","Zcash",2017-01-14,20,43.21,44.04,42.9,43.64,575149,19328930,0.649122807017546,1.14
"zcash","ZEC","Zcash",2017-01-15,20,43.63,45.41,43.02,45.15,806839,20309411,0.891213389121337,2.39
"zcash","ZEC","Zcash",2017-01-16,20,45.1,45.23,43.3,43.46,667903,19868737,0.082901554404147,1.93
